QueryText,KccAns
What is the control of fruit and  shoot bore in bhindi ,you can carbyrl dust 20-25 kg in a hactare for control its
what is til  white fly control   ,spray  acetamiprid  5 ml pump
how to control fruit drop in jackfruit,apply to you spray of planofix 5 mlpump for control its
what is sowing time of bishops weed,octumber to november are suitable time of bishops weed
how to control of naerosis in soybean,should be apply spray mancozeb mlpump
what is give you information fuit borer controller of binjal ,tryzophos-30mlpump spray crop in brinjal
how to control becterial blight in brinjal,applied vavistin 15kgha with irrigation water
What is the control of purple blotches in onion,you can spray of mencozeb 20-25 mlpump of crop for control its
how to control leaf curl in onion,spraying for dimethod 35mlpump
how to increase milk production of buffalo,you can give gylox powder 100 gram in a day for increase milk production of buffalo
provide me fishries farming information,0755-2552082 fishries department bhopal for more detail information
what is give you infomation aphid controller of green gram,immidacloprid-15mlpump spray crop in green gram
what is give you information catter pillar controller of cotton,melathion-30mlpump spray crop in cotton
what is give you information damping off controller of bottole gourd,dithane m-4520gpump spray cop in bottole gourd
FRUIT BORER OF BRINJAL,SPRAY ENDOSULPHAN 35 EC  15 MLLT OF WATER 
Askijng about cultivation of cowpea,Answer given detail to farmer 
VARITIES OF SCENTED RICE,PUSA BASMATISUGANDHAKAMINI
FERTILIZER DOSES OF COCONUT,FERTILIZER ARE NPK  1:2:2 KGPLANT 
VARIETIES OF MOONG,VARIETIES ARE PUSA VISHALSONASAMARST  PS-16 ETC 
asking about seed rate of kharif bhindi,bhawani krishnaindranilanokhi
STEM BORER OF MAIZE,DUSTING WITH CARBOFURAN 3 G  7 KGHECT 
WEATHER CONDATION IN KHAGARIA,ANSWER GIVEN TO DETAIL 
Varieties of Tomato,Varieties are North Amrit-501601BSS-422Pusa Hybrid-1Arka VikashPusa Gaurav LabonitaPanjab CHHuharKanchan and seed rate are 500-700gmhect and disstance diterminat variety 6045 and Inditerminate variety is 6050cm Hybrid seed rate 400-500gmhect
FRUIT CRACKING IN MANGO,SPRAY BOREX  2 GMLIT WATER
Asking about fruit borer in Bhindi,Spray Endosulphon  2mllit of water
SOWING TIME MARCH - APRIL ,SOWING TIME ARE MARCH - APRIL
FRUIT BORER OF BRINJAL,SPRAY ENDOSULPHAN 35 EC  15 MLLT OF WATER 
ASKING ABOUT VARITIES OF MAIZE,VARITIES ARE HAVING SHAKTIMAN-12 SUWANDEWAKI
stem borer of sugarcane,drench the Chloropyriphos   methyl demetom  20 ml10 ltr water each in furrow
Control measures against red spider mites,Maintain field sanitationPlant debris after pruning should be destroyedDifferent neem formulations containing azadirachtin depending upon strength of botanical viz1  20ml and 5  05 mll can be sprayedSpray following chemical insecticides Insecticide Dose Pre-Harvest interval Dicofol 185 EC 25 mll 100 days Fenpyroximate 5EC 10mll 60 days Difenthiuron 50EC 08 mll 45 days Sulphur 80WP 200gl 15 days Abamectin 19 EC 030mll 7 days Azadirachtin1 200 mll 3 days
Reddning in cotton,Spray 100gm Magnesium sulphate  50gm Urea in 10lit of water Spray 2 DAP at boll development stage
Control for leaf curl,Alternate spray of dicofol  25 mllit of water followed by wettable sulphur  025 to avoid resistance development Two spray of systemic insecticide is essential for control of thrips and insect vector
attack of thrips on cotton ,spraying of emida croplid 5 ml in 10 lit of water
Cultivation details,Given all required information
ask fertlizers dose of onion ,fertlizers dose of onion 15:15:15 135 kg  urea 45 kg acre
Control against pod borer,Spray NSKE 5 twice followed by triazophos 005 Apply any one of insecticides at 25 kgha endosulfan 4D quinalphos 4D carbaryl 5D
Leaf blight,Spray the crop with Mancozeb or Zineb at 15 kgha
Flower dropping,spray Planofix  5ml10liter of water
blight of onion,spray copper oxychloride  25gm  streptocycline  1 gm in 10 ltr water take second spraying after 15 days containing bavistin and streptocycline  25 gm and 1 gm respectively in 10 ltr water
ask micronutrent on watermelon ,spraying of microla 25 ml in 20 ml humic acid in 10 lit of water
control measure for onion blight,spray copper oxychloride  25gm  streptocycline  1 gm in 10 ltr water take second spraying after 15 days containing bavistin and streptocycline  25 gm and 1 gm respectively in 10 ltr water
ask with on maize ,dranching of bavistin 25 gm in 10 lit of water
varieties of shimala mirch ,apply arka mohinigouravvasantgreen gold 
sowing time of gram,20 october - 8 November
sowing time of zaid season groundnut,15 January - 15 February
varieties of brinjal ,krushnaruchiraarunapusa kranti
dissconected,dissconected
control measure for tur pod borer,spray quinolphosh 25ec20ml10litof water
Reddning in cotton,Spray 100gm Magnesium sulphate  50gm Urea in 10 lit of water
attack of thrips on cotton ,spraying of emida cropid 5 ml in 10 lit of water
infection of tambera in wheat ,spraying of mancozeb 25 gm in 10 lit of water
Control for leaf blight,Spray the crop with Mancozeb or Zineb at 15 kgha
Yellowing of leaves,Spray Microlla  25ml10liter of water
infection of blight on onion ,spraying of coc 25 gm in 10 lit of water
infection of blight on onion ,spraying of coc 25 gm in 10 lit of water
market rate of cotton,average rate is rs 5600qtl
control measure for tur pod borer,spray quinolphosh 25ec20ml10litof water
varities of groundnut ,tag -24sb-11m-13tg-26
attack of thrips on chilli ,spraying of rogar 15 ml in 10 lit of water
infection of brinjal ,spraying of coc 25 gm in 10 lit of water
control measure for tur pod borer,spray quinolphosh 25ec20ml10litof water
red leaf of cotton ,spraying of mgso4 100 gm  urea 50 gm in 10 lit of water
late sowing time of wheat,upto 15 December irrigated
control measure for gram dumping of or wilt disease,use disease resistant varities dreching of bavisstin 10gm10litof water
ask sowing season of summer watermelon ,sowing season of summer watermelon jan-feb
attack of jassids on chilli ,spraying of emida croplid 5 ml in 10 lit of water
attack of thrips on cotton ,spraying of rogar 15 ml in 10 lit of water
red leaf of cotton,spray MgSo4 100gm50gm urea10litof water
control measure for wheat rust,spray mancozeb25gm10litof water
Varieties of cow pea,Varieties - Pusa phalguni Pusa do phasali Pusa komal etc
dos of N:P:K ,apply 15:15:15 65kg and SSP 65 kgacre
market rate of wheat,Date Variety APMC Unit Quantity HRate LRate Average 131210 ---- PUNE QUINTAL 3978 2800 1400 2100    ---- ---- CHOPDA QUINTAL 10 1401 1225 1401    ---- ---- NAGPUR QUINTAL 131 1700 1123 1411    ---- ---- MUMBAI QUINTAL 9726 2200 1450 1825    ---- ---- SHRIRAMPUR  QUINTAL 30 1631 1200 1475    ---- ---- DEULGAON RAJA  QUINTAL 15 1500 1250 1360    ---- ---- MANTHA  QUINTAL 11 1550 1150 1350    ---- BANSI MURUM  QUINTAL 7 1000 1000 1000
infection of bhindi ,spraying of coc 25 gm in 10 lit of water
rainfall data,12th dec-Scattered Clouds  13th dec-Scattered Clouds
Qwhich vegetable crop suitable this time,Ans At this time you can sown Bhindi crop
POD BORER IN TUR,SPRAY 3ML SPINOSAD OR 20ML QUINOLPHOS IN 10 LIT OF WATER
THRIPS IN ONION,SPRAY DIMETOATE 10ML IN 10 LIT OF WATER
varieties of okra,arka anamika
2ND FERTILIZER DOSE FOR IRRIGATED WHEAT,50 KG UREA PER ACRE
BLIGHT IN POTATO,SPRAY 20GM DITHANE M-45 OR COC IN 10 LIT OF WATER
CONTROL MEASURE FOR RUST IN WHEAT,SPRAY PROPICONAZOLE 10ML IN 10 LIT OF WATER
2ND FERTILIZER DOSE FOR IRRIGATED WHEAT,50KG UREA PER ACRE
RUST IN WHEAT,SPRAY TILT 10ML IN 10LIT OF WATER
2ND FERTILIZER DOSE FOR ONION,45KG UREA PER ACRE
FRUIT ROT IN CHILLI,SPRAY DITHANE M-45 OR Z-78 25GM IN 10 LIT OF WATER
POWDERY MILDEW IN CHILLI,SPRAY SULPHER 25GM OR KARATHANE 10ML IN 10 LIT OF WATER
fertliser dose of potato,apply 165 kg suphala 75 kg urea 35 kg mop acre
CONTROL MEASURE FOR JOWAR RUST,SPRAY M-45MANCOZEB25GM10LITOF WATER
MARKET RATE OF ONION,800-2000 RSQTL
THRIPS IN ONION,SPRAY DIMETHOATE 10ML IN 10 LIT OF WATER
ask about varieties of sugarcane,co-8603294012
CONTROL MEASURE OF POD BORER OF TUR,SPRAY CYPERMETHRIN 4 ML IN 10 LITER OF WATER
control measure of stem borer on jower,spray trizophos  deltamethrin 25 ml in 10 liter of water
market rate soyabean,rs 2300-2400qt
market rate of tur,rs 5400  qt
fertiliser dose of pomogranate 3 yr tree,apply 15 kg compost  825 gm suphala and urea  tree
POD BORER IN TUR,SPRAY SPINOSAD 3ML  50ML NEEMOIL IN 10 LIT OF WATER AT AN INTERVAL OF 10 DAYS
QUANTITY OF DAP TO SPRAY ON GRAM,200GM DAP IN 10 LIT OF WATER AT AN INTERVAL OF 8-12 DAYS
POD BORER IN TUR,SPRAY QUINOLPHOS 20ML OR SPINOSAD 3ML  30ML NEEMOIL IN 10 LIT OF WATER
POD BORER IN TUR,SPRAY 20ML QUINOLPHOS IN 10 LIT OF WATER
FLOWER DROP IN TUR,SPRAY 3ML PLANOFIX IN 10 LIT OF WATER
SOWING SEASON FOR FODDER JOWAR,MARCH- APRIL
fertiliser dose of sugarcane,apply 215:115:115  kg npk ha
Basal dose,Apply DAP 100kgMOP 30kg per acre
RHIZOME FLY IN TURMERIC,DRENCH 20ML QUINOLPHOS  20GM COC  50ML NEEMOIL IN 10 LIT OF WATER AT AN INTERVAL OF 10 DAYS
control measure of drop flower of tur,spray planofix 4 ml in 10 liter of water
control measure of leaf eating catterpiller on tur,spray cypermethrin 4 ML IN 10 LITER OF WATER
PL TELL ME VARITIES OF CUMIN CROP,RZ-19 RZ-209
black gram season and variety,black gram season feb - mar and variety ADT 5
leaf folder control measure in paddy,spray monocrotophos 2ml  neem oil 3ml  lit of water
ASKED WHETHER HE CAN SPRAY FERTILIZER AND A PESTICIDE TOGETHER,ADVICED HIM NOT TO APPLY TOGETHER
ASKED ABOUT THE CONTROL OF STEM BORER IN RICE,RECOMMENDED TO SPRAY CARBOFURON 3G GRANULES 10KGACRE
ASKED ABOUT CONTROL FOR MOSAIC,REMOVE ROGGING THE PLANTS
ASKED ABOUT THE FERTILISER RECOMMENDATION IN PADDY,RECOMMENDED 48-24-20
ASKED ABOUT CONTROL FOR THRIPS DAMAGE,RECOMMENDED TO SPRAY ACEPHATE 15GRLITRE
ASKED ABOUT THE VARITIES IN PADDY,RECOMMENDED TO CHOOSE RDR-355 WGL-32100
ASKED ABOUT THE CONTROL OF SUCKING PEST IN RED GRAM,RECOMMENDED TO SPRAY ROGOR15GRLIT
ASKED ABOUT CONTROL FOR THRIPS DAMAGE,RECOMMENDED TO SPRAY ACEPHATE 15GRLITRE
ASKED ABOUT CONTROL FOR JASSIDS,RECOMMENDED TO SPRAY DIMETHOATE 2MLLT
ASKED ABOUT CONTROL FOR BROWN SPOT,RECOMMENDED TO SPRAY MANCOZEB MIXED WITH 3UREA
ASKED ABOUT CONTROL FOR APHIDS DAMAGE,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
ASKED ABOUT THE CONTROL OF RICE BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE 06 GMLTR
ASKED ABOUT THE CONTROL OF SUCKING PEST IN BENGAL GRAM,RECOMMENDED TO SPRAY ACEPHATE15GRAMSLITER
ASKED ABOUT THE CONTROL OF THRIPS IN CHILLIES,RECOMMENDED TO SPRAY ACEPHATE15GRAMSLITER
ASKED ABOUT THE CONTROL OF GLH IN SUNFLOWER,RECOMMENDED TO SPRAY THIODICARB 15MLLT
ASKED ABOUT CONTROL FOR Mg DEFICIENCY,RECOMMENDED TO SPRAY MgSO4 2GRLITRE
ASKED ABOUT INFORMATION ON RABBITS,ESC TO AH
ASKED ABOUT CONTROL FOR DIE-BACK FRUITROT,RECOMMENDED TO SPRAY SPRAY MANCOZEB 3GMLT
ASKED ABOUT THE CONTROL OF TOBACCO CATERPILLAR,RECOMMENDED TO SPRAY QUINOLPHAS 2 MLLTR
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
ASKED BOUT THE CONTROL OF WEEDS,RECOMMENDED TOSPRAY BENTHIOCARP 15LTRACRE
ASKED ABOUT CONTROL OF STEM BORER IN PADDY,RECOMMENDED TO SPRAY CLORIPHIRIPHOS 2ML1L WATER
ASKED ABOUT CONTROL FOR SUCKING PESTS,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
ASKED ABOUT CONTROL OF TERMITES,RECOMMENDED TO SPRAY LINDANE POWDER
ASKED ABOUT CONTROL OF RHINOCERUS BEETLE,RECOMMENDED TO SPRAY CARBARILSAND 25GM1HOLE
ASKED ABOUT CONTROL OF RHINOCERUS BEETLE,RECOMMENDED TO SPRAY CARBARILSAND 25GM1HOLE
ASKED ABOUT CONTROL FOR STEM BORER DAMAGE,RECOMMENDED TO SPRAY CHLORPYRIPOS 25MLLITRE
ASKED ABOUT CONTROL FOR STEM BORER DAMAGE,RECOMMENDED TO SPRAY CHLORPYRIPOS 25MLLITRE
ASKED ABOUT SOWING OF OIL PALM SEASON,RECOMMENDED TO SOW IN RAINY SEASON
ASKED ABOUT SOWING OF OIL PALM SEASON,RECOMMENDED TO SOW IN RAINY SEASON
ASKED ABOUT VARIETIES OF BEERA,RECOMMANDED VARITY SUREKASS-401
LEAF SPOTS IN RIDGE GOURD,MANCOZEB 2GMLT OF WATER
ASKED ABOUT CONTROL FOR BPH,RECOMMENDED TO SPRAY ACEPHATE 15GRLITRE
ASKED ABOUT SEED TREATMENT IN RICE,RECOMMNDED TO TREAT THE SEEDS WITH MANCOZEB 4GMKG SEED
ASKED ABOUT THE PROCESS OF RAISING DAIRYFARM,ESC TO AH
ASKED ABOUT CONTROL OF WEEDS IN PADDY,RECOMMENDED TO SPRAY BENTHIOCARB 125LT ACRE
ASKED ABOUT WEED CONTROL IN PADDY,RECOMMENDED TO SPRAY BENTHIOCARB 15ML
ASKED ABOUT FERTILIZER APPLICATION,RECOMMENDED TO APPLY 200KGS N 200KGS P 400KGS K PER ACRE PLANTS
ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO SPRAY BUTACLORE 15-2 LITACRE
ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO SPRAY BUTACHLORE 15LIT 200LIT WATERACRE
ASKED ABOUT THE WEEDICIDE AFTER 25 DAYS OF CROP STAND,ESC TO ATIC
ASKED ABOUT CONTROL FOR GALLMIDGE DAMAGE,RECOMMENDED TO SPRAY CARBOFURON GRANULES 10KGS PER ACRE
ASKED ABOUT THE CONTROL OF WEEDS,RECOMMENDED TO SPRAY ALACHLOR  15 LITACRE
CONTROL FOR ZINC DEFFICIE,RECOMMENDED TO SPRAY ZINCSULPHATE 2GMLIT
ASKED ABOUT FERTILIZER APPLICATION,RECOMMENDED TO SPRAY 32KGS N 24KGS P 16KGS K
ASKED ABOUT CONTROL FOR WEEDS,RECOMMENDED TO SPRAY BENTIOCORP 15LITACRE
ASKED ABOUT THE CONTROL OF BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE  06glit OF WATER
ASKED ABOUT THE CONTROL OF HISPA,RECOMENDED FOR THE APPLICATION OF MONOCROTOPHOS16MLLIT
ASKED ABOUT THE CONTROL OF SOWING SEASON,SUGGESTED TO SOW IN OCTOBER
ASKE ABOUT FERTLISER DOSAGE,INFORMED TO THAT DOSAGE IS 32KG N24KG P16-20KG K
ASKED ABOUT THE CONTROL OF BLAST,RECOMMENDED TO SPRAY TRICYCLOZOLE  05glit OF WATER
ASKED ABOUT THE INFORMATION ON BIO-FERTILISERS,GIVEN THE REQUIRED INFORMATION TO THE FARMER ON BIO-FERTILISERS
ASKED ABOUT THE CONTROL OF LEAFBLOTCH,RECOMENDED FOR THE APPLICATION OF CARBANDEZIM 1GLIT
ASKED ABOUT THE CONTROL OF WEEDS,RECOMENDED TO SPRAY PENDIMETHALYN 13-16LITACRE
ASKED ABOUT THE CONTROL OF SUCKING PEST,RECOMENDED TO SPRAY DIMETHOATE 2MLLIT
ASKED ABOUT THE CONTROL OF GREEN LEAF HOPPER IN RICE,RECOMMENDED TO SPRAY ETHOPENPHOS15MLLIT
ASKED ABOUT THE CONTROL OF STEM BORER IN RICE,RECOMMENDED TO SPRAY MONOCROTOPHOS 16MLLIT
ASKED ABOUT THE CONTROL OF DIE-BACK AND FRUIT ROT,RECOMMENDED TO SPRAY CAPTAN 15 GRLIT
ASKED ABOUT THE CONTROL OF GLH,RECOMMENDED TO SPRAY ETHOFENPHOS 15MLLIT
ASKED ABOUT THE CONTROL OF TUNGRO VIRUS,RECOMMENDED TO SPRAY ETHOFENPHOS 15 MLLIT
ASKED ABOUT THE CONTROL OF GREEN LEAF HOPPER,RECOMENDED TO SPRAY MONOCROTOPHOS 2MLLIT
ASKED ABOUT THE CONTROL OF SHEATH-BLIGHT,RECOMMENDED TO SPRAY HEXACONOZOLE 2 MLLIT
ASKED ABOUT THE CONTROL OF BPH,RECOMMENDED TO SPRAY BPMC 2 MLLIT
ASKED ABOUT THE CONTROL OF MITES,RECOMMENDED TO SPRAY DICOFAL 3MLLIT
ASKED ABOUT THE CONTROL OF MITES,RECOMMENDED TO SPRAY DICOFAL 3MLLIT
ASKED ABOUT THE CONTROL OF MITES,RECOMMENDED TO SPRAY DICOFAL 3MLLIT
ASKED ABOUT THE CONTROL OF SUCKINGPEST,RECOMMENDED TO SPRAY BORAX 3gmLIT
ASKED ABOUT THE GROWING SEASON AND CROP PERIOD OF 1010 PADDY VARIETY,RECOMMENDED TO RAISE IN RABI
ASKED ABOUT THE CONTROL OF SUCKINGPEST,RECOMMENDED TO SPRAY BORAX 3gmLIT
ASKED ABOUT THE GROWING SEASON AND CROP PERIOD OF 1010 PADDY VARIETY,RECOMMENDED TO RAISE IN RABI
ASKED ABOUT THE SOIL TYPE FOR SOWING GROUNDNUT,RECOMMENDED SOIL TYPES ARE SANDYRED SOILS
ASKED ABOUT CM PASHUKRANTHI PATAKAMU,INFORMMED TO AS PER THE PROVIDED DATA
ASKED ABOUT THE WEATHER REPORT,INFORMED AS PER THE PROVIDED DATA
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY VALIDACIN 2 MLLIT
ASKED ABOUT THE WEATHER REPORT,INFORMED AS PER THE PROVIDED DATA
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY VALIDACIN 2 MLLIT
ASKED ABOUT THE PHONE NUMBER OF JD ANIMAL HUSBANDRY,PROVIDED HIM WITH THE CONTACT NO
ASKED ABOUT THE PHONE NUMBER OF JD ANIMAL HUSBANDRY,PROVIDED HIM WITH THE CONTACT NO
ASKED ABOUT THE CONTROL OF SHEATHBLIGHT,RECOMMENDED TO SPRAY VALIDACIN 2 MLLIT OR HEXACONOZOLE 2 MLLIT
ASKED ABOUT THE CONTROL OF THRIPS,RECOMMENDED TO SPRAY FASALON 3 MLLIT OR MONOCROTOPHOS 15 MLLIT
ASKED ABOUT THE VARIETIES,RECOMMENDED VARIETIES ARE IGFRI-3808TNDN-1
ASKED ABOUT THE CONTROL OF MIDZE FLY IN CHILLI,RECOMMENDED TO SPRAY QUINOLPHOS 2MLLIT
ASKED ABOUT THE VARITIES,RECOMMENDED VARITY OFGREEN GOLD
ASKED ABOUT THE CONTROL OF CUSCUTA,RECOMMENDED TO SPRAY PERSUIT 200MLLTR
ASKED ABOUT THE CONTROL OF MANGO HOPPERS,RECOMMENDED TO SPRAY PHASPHOMIDON 05MLLT
ASKED ABOUT THE CONTROL OF STEM BORER IN MAIZE,RECOMMENDED TO SPRAY MONOCROTOPHOS2MLLIT
ASKED ABOUT THE CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL,RECOMMENDED TO SPRAY PROFINOPHOS2MLLIT
ASKED ABOUT THE CONTROL OF FRUIT DROP,RECOMMENDED TO APPLY POTASH AND BLITOX 3GMLTR
ASKED ABOUT CONTROL FOR FLOWER DROPPING,RECOMMENDED TO SPRAY PLANOPHIX 1ML5LT
ASKED ABOUT THE CONTROL OF SHEATHBLIGHT IN PADDY,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLIT
ASKED ABOUT THE CONTROL OF BPH IN RICE,RECOMMENDED TO SPRAY ACEPHATE 15GMLT
ASKED ABOUT THE CONTROL OF LEAF WEBBER IN MANGO,RECOMMENDED TO SPRAY QUINOLPHOS 2MLLT
ASKED ABOUT CONTROL FOR LEAF FOLDER,RECOMMENDED TO APPLY QUINALPHOS 2MLLT
ASKED ABOUT SOWING SEASON,RECOMMENDED TO GIVE 20-25CMS IN BETWEEN THE PLANTS
ASKED ABOUT THE CONTROL OF STEM BORER IN MAIZE,RECOMMENDED CARBOFURAN GRANULES3KGSACRE
ASKED ABOUT CONTROL FOR THRIPS,RECOMMENDED TO SPRAY IMEDACHLOPRID 2MLLT
ASKED ABOUT THE CONTROL OF SMUT IN SUGAR CANE,RECOMMENDED TO SPRAY PROPICONAZOLE05MLLITER
ASKED ABOUT THE CONTROL ROT ROT IN GROUND NUT,RECOMMENDED TO SPRAY MANCOZED3GRAMSLITER
ASKED ABOUT CONTROL FOR SUCKING PESTS,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
ASKED ABOUT CONTROL FOR SUCKING PESTS,RECOMMENDED TO SPRAY ROGOR 2MLLITRE
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
ASKED ABOUT THE CONTROL OF STONE WEEVIL,RECOMMENDED TO SPRAY MONOCROTOPHAS 16MLLTR
ASKED ABOUT THE CONTROL OF FRUIT BORER IN MANGO,ESCALATION TO LEVEL TO 2
ASKED ABOUT CONTROL OF TURCICUM LEAF BLIGHT,RECOMMENDED TO SPRAYMANCOZEB 2GMLT
ASKED ABOUT CONTROL FOR RATS,RECOMMENDED TO MAKE THE MIXER OF BROMADIOLONE OIL PADDY MIXTURE AND PUT IT INTO THE HOLE
ASKED ABOUT CONTROL FOR POWDERY MILDEW DAMAGE,RECOMMENDED TO SPRAY WETTABLE SULPHER 3GRLITRE
ASKED ABOUT THE CONTROL OF ROOT ROT IN GROUND NUT,RECOMMENDED TO SPRAY MANCOZED600GRAMSACRE
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY HEXACONOZOLE 2MLLTR
ASKED ABOUT THE CONTROL OF STEM BORER,RECOMMENDED TO SPRAY CARTAPHYDROCHLORIDE 2 GMLTR
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPREAY TRYCYCLOZOLE06GRAMSLITER
ASKE ABOUT THE CONTROL OF FRUIT DROP IN MANGO,RECOMMENDED TO SPRAY PLANOFIX1MLLITER
ASKED ABOUT BHENDI VARIETIES,RECOMMENDED VARIETIES ARE ARKAANAMIKA ARKAABAYA
ASKED ABOUT THE CONTROL OF EARLY BLIGHT,RECOMMENDED TO SPRAY MANCOZEB 3GMLTR
ASKED ABOUT VARIETIES FOR KHARIF SEASON,RECOMMENDED TO CHOOSE YALAMANCHILI 11 OR 17
ASKED ABOUT INFORMATION ON SETS TREATMENT,RECOMMENDED TO MALATHION 2ML1L WATER SOAK THE SETS IN SOLUTION FOR 15 MIN
ASKED ABOUT CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY HEXACONAZOLE 2ML1L WATER
ASKED ABOUT CONTROL FOR SHAETH BLIGHT,RECOMMENDED TO SPRAY CONTOFF 2MLLITRE
ASKED ABOUT CONTROL OF SHEATH BLIGHT,RECOMMENDED TO SPRAY HEXACONAZOLE 2ML1L WATER
ASKED ABOUT MITE DAMAGE IN COCONUT,RECOMMENDED TO SPRAY DICOFAL 5MLLT
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT IN PADDY,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLITER
ASKED ABOUT THE CONTROL OF BLAST IN PADDY,RECOMMENDED TO SPRAY TRYCYCLOZOLE06GRAMSLITER
ASKED ABOUT THE CONTROL OF SHEATH BLIGHT IN PADDY,RECOMMENDED TO SPRAY HEXACONAZOLE2MLLITER
