QueryText,KccAns
ASKING WEED MANAGEMENT IN GROUND NUT,RECOMMENDED FOR APPLY FLUCHLORALIN 45EC  12 LITER ACARE
Farmer asked query on Weather,33    28
Fungas attaik in Groundnut,Hexaconajole 05EC 2mllitre paani me milaakar spray karen
plant protection in groundnut crop,Triazophose 40 EC 2 mlliter pani me milakar chidkav kare
wilt on ground nut,wilt on ground nut - dreanching redomil gold  humic acid
ask for the white fly in the gnut,I suggested for the imidachloprid-10 mlpump as a spray
TELL EM WEATHAR INFORMATION CHITTAURARH,NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY
ASKED ABOUT TO DISEASE CONTROL IN GROUNDNUT,50 WP  250
root rot,RECOMMENDED TO SPRAY CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE
Asking about Groundnut early tikka leaf spot management,:        :   - 4
Asked about aphids management in groundnut,:    :
Farmer asked query on Weather,-        -       -
-Farmer asked fungus in root control information of ground nut,WP
FERTILIZER SPRAY FOR GROWTH   pea nut,-
TERMITE IN GROUNDNUT,RECOMMENDED TO SPRAY CHLOROPYRIPHUS DUST 10 KG ACRE FOR CONTROL OF TERMITE IN GROUNDNUT
ASKING FOR NUTRIENT MANAGEMENT,RECOMMENDED - APPLY DAPMOPUREAGYPSUM
ASKING ABOUT PREVENTIVE FUNGICIDE USE IN GROUNDNUT,CARBENDAZIM 50 WP
fertilizers dose for gn,50kg sufall50kg sspacre
FERTILIZER DOSE IN GNUT,NPK-8:1616ACRE
asked about weed management in groundnut,-
Farmer asked Thrips control information of  groundnut,SC
ask for wilt in g nut,drenching bavistin 15 gm per pum
GROUNDNUT CATERPILLER,advised to spray CHLORIPYRIPHOS  500 ml per acre
Asking about Jassid management in Groundnut,Recommended to spray Neemoil 3ml teepol 1ml10 lit of water
asking about groundnut seeds availability,recommended for contact to agriculture office
Farmer Asked sucking pests control information of  groundnut crop,WG   WS 8
Farmer asked query on Weather,:    -        : :           34  C    25 C     6
about germination,use fym
SEED TRITMENT OF GROUNDNUT,SEED TRITMENT OF GROUNDNUT2 GM THAYRM KG
Groundnut sowing time information,10
Farmer asked query on Seed treatment in groundnut,Recommended to treat with Tebuconazole or mancozeb and trichoderma viridi and imidachloprid
Ask about termitewhite grub control information in peanut,EC                         GR
Asked about Zinc sulphate applied  for Groundnut,:       :       10
60 din ke moongphali me kharpatwar ho gaya hai,60 din ke moongphali me kharpatwar ki koe dawa nahi padega
ASKED ABOUT TO SEED RATE IN GROUNDNUT,38-40
Information about control of fungus control in groundnut crop,Copper Oxychloride 50 WP 2
TELL ME  BLACK ROOT  CONTROL IN GROUNDNUT,USE CARBENDAZIM 250 GM BHEEGA IN ROOT ZONE WITH IRRIGATION
Ask about larvae control information Hairy Caterpillar in groundnut crop,EC 15
ASK ABOUT FUNGUS REACTION IN GROUNDNUT,100
asked about sucking pest,Spray Neem Solution 20 ml10 Liter of Water
TELL ME WHITE GRUB CONTROL IN GROUND NUT,SPRAY OF FIPROLIN 5  2 LITER PER HA
ASKED ABOUT SUCKING PEST ON GROUNDNUT,-   15
LEAVESR ARE YELLOWISH IN GROUNDNUT,SPRAY FERASH SUKPHET 5 GML WATER
root rottening,recommended blitox 3gliter
WILT IN GROUNDNUTSPRAY SAAP 2 GRAM AND PLANTOMYCIN 1 GRAM PER 1 LTR WATER,WILT IN GROUNDNUTSPRAY SAAP 2 GRAM AND PLANTOMYCIN 1 GRAM PER 1 LTR WATER
ABOUT INSECT CONTROL IN GROUNDNUT,25   4
Farmer asked White Fly problem in groundnut crop,SP
fertilizer dose for groundnut,advised to apply 200 kg zypsum and 10 kg urea per acre
fungus attack,Spray Redomil Gold 30 gm 15 Lit of Water
Ask about Groundnut information,1 kilo
FARMER ASKED QUERY ABOUT WHICH OF THEM IS SPRAYED EITHER WEEDICIDE OR PESTICIDE IN GROUNDNUT,RECOMMENDED TO SPRAY THE WEEDICIDE FIRST AND AFTER THAT PESTICIDE IS SPRAYED
Asking about Groundnut seed treatement,Recommended for apply Pseudomonas fluorescens  10 gram  kg seed
WANT TO KNOW GROUNDNUT VARIETIES,RECOMMENDED GROUNDNUT VARIETIES ARE SOMNATH GIRNAR-1 JL-24 MH-2 ETC
Farmer asked about rust of groundnut,wp
GROUNDNUT GYPSUM REQUIREMENT,APPLY 200 KG GYPSUM PER ACRE
Ask about Weed control in Ground nut Crop,60       Shaked
micronutrient deficiency,spray micromax 5g per lit
Ask about white fly control in groundnut,40         ppm
Methyl bacterium Spray for Ground nut,Recommended for spray Methyl bacterium 100 ml  10 lit of water
weed management in ground nut,RECOMMENDED TO SPRAY PENDIMETHALIN  1-125 LITREACRE
Farmer asked Aphid  problem in groundnut and cotton crop,25             SL 7-8
Asked about Zinc Solubilizing Bacteria application for groundnut,:          :  1   20
spot,hexaconozole 2mllitre
Ask about weed control in crop groundnut,25 to 30 days - 5 EC
Asking about leaf blight management in groundnut,:       :  2
TELL ME CONTROL OF WEED IN GROUDNUT SOWING TIME,SPRAY OF PENDIMETHILIN 30 EC 25-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION
TELL ME BACTIRIAL BLIGHT CONTROL IN GROUNDNUT,SPRAY OF COPPER OXICHLORIDE 45 GM   STREPTOCYCLIN 2 GM PER 15 LITER WATER
WEATHERV REPORT OF EGRAMIDNAPORE EAST,Sunny much of the time and beautiful
Stem rot,SPRAY COPPER OXY CHLORIDE 3GM1 LITER WATER
Farmer asked Odishi  dose information  in groundnut  crop,35     35 WG   4
Ask about groundnut information,500        40
Farmer asked query on Weather,5                     10
how to control Dry Bubble in mashroom,Pick and destroy infected mushroom to prevent spreadUse clean equipmentBubble can destroy with salt
Farmer need information regarding control measures of fungal attack in ground nut crop,recommended for to control of fungal attack in ground nut crop use thiophinate mithyl 25 gram and streptocyclin 2 gram at 15 liter of water
GROUND NUT ROOT ROT MANAGEMENT,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  OR MANCOZEB  3 GRAMS  LIT OF WATER
asking about Root rot and Stem rot management in Groundnut,:         :   1     20
varity,sabha mansuri pant sankar dhan 1 2
asked about water management in groundnut crop,water management in groundnut crop20-30 days after sowing
priy kisan  bhai ko  mousam ki  jankari  chahiye,priy kisan bhai apke yaha badal bne rahege  baris ki sambhvana bni hai kheto ki sichai na kre
leaf folder in groundnut,spray monocrotophos 2 ml lit of water
TIKKA LEAF SPOT IN GROUND NUT,RECOMMENDED TO SPRAY CHLOROTHALANILKAVACH DACONIL BRAVO  400 GRAMS PER ACRE
Farmer asked fungus in root control information of groundnut crop,:   1 kilo
Farmer wants to know about how to control insect sucking pest in groundnut crop,Recommended for control sucking pest in groundnut crop spray imidachloprid 178  SL 5 to 7 ml  per pump
Asked about Plant protection in Groundnut,Recomended to spray-Acephate 1gliter of water
MOONGPHALI KI BUAI KA SAMAY,JULY MONTH ME MOONG PHALICHANDRACHITRAKAUSHAL KI BUAI KARE
TELL ME BIHARI CATTERPILLAR CONTROL IN GROUNDNUT,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER
Tell me about Termite control of Ground nut crop,20 EC 3
asking for groundnut root grub management,recommended for apply neem cake 10 kgacre
TO CONTROL ATTACK OF WILT IN GROUNDNUT PLANTS,DRENCHING OF REDOMIL GOLD 30 GM IN 10 LTR OF WATER TO CONTROL ATTACK OF WILT IN GROUNDNUT PLANTS
tell me guar sowing time,guar sowing time 15 jun to july
FARMER ASKED ABOUT SUMMER GROUNDNUT CROP FERTILIZER DOSE,-                                                    -                    -
Farmer asked query on Weather,36      11
SUCKING PEST IN GROUNDNUT,RECOMMENDED FOR SPRAY TATAMIDA 1ML 3 LIT WATER FOR SUCKING PEST IN GROUNDNUT
Asked about leaf caterpillar management in Groundnut,:    :   5  SG - 4
ask about gnut fertilizer,I suggests to  urea 10 kgvinha
Asking about Groundnut sowing season,Recommended for Groundnut sowing season of June - July
tobacco caterpillar in groundnut,recommended for spray quinalphos 2mllit
FARMER ASKED ABOUT CONTROL OF ATTACK OF CATERPILLAR AND FERTILIZER DOSE FOR GROUNDNUT,-     -              - :: -     -
sucking pest in groundnut,spray 2ml Dimethoate in 1ltr water
tobacco caterpiller in groundnut : spray mono wait spray after 15days,tobacco caterpiller in groundnut : spray mono wait spray after 15days
BLIGHT ON GROUNDNUT,Spray Bavistane 15 gm15 Liter of WaterCarbandazin-Basf
Groundnut leaf roller management,Recommended for spray Profenophos 2ml litre of water
ASKED ABOUT TO DISEASE CONTROL IN MUNGFALI,75    3
TELL ME CONTROL OF FLOWER DROOPING IN GROUNDNUT,1    4
Farmer asked termitewhite grub control information of Groundnut crop,GR          EC
FARMER ASKED QUERY ON  SEED TREATMENT  OF GROUND NUT,RECOMMENDED TO  SEED TREATMENT  OF GROUND NUT- MANCOZEB- 3GR 1 KG SEED AND  IMIDACHLOPRID-5 GR1KG SEEDS
TELL ME WEED CONTROL IN GROUNDNUT CROP,SPRAY OF PENDIMETHILIN 30 EC 25-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION
WEED CONTROL,NIRAYI KARE JYADA DIN HO GYA DWA KA PRYOG NAHI KARE
top dressing fertilizer management for goundnut,apply gypsum 150 kg  ac
TELL ME ABOUT ROT ROT CONTROL IN GROUNDNUT,USE CARBENDAZIM 250 GM BHEEGA IN ROOT ZONE WITH IRRIGATION
ASK ABOUT HARVESTING TIME OF POTATO,5
Disease control information in groundnut crop,50   25
ask about sucking pest in oraganic method,--
groundnut,Dichlorvos 76 EC 2mlml
Farmer asked query on Fertilizers  management in GROUNDNUT,RECOMMENDED TO APPLY UREA 9 KGSACRE  MOP 10 KGSACRE
Farmer asked about attack of white fly on groundnut,- 30
farmer asked query about on weather,CLOUDY WEATHER NO CHANCE OF SHOWERS IN YOUR AREA
Asking about Red spider mite in chilli,:     :      2
Fungus Attack,Spray taba  15 gm15lit of Water
Leaf spot in groundnut,recommended for Leaf spot in groundnut spray mancozeb  carbendazim SAAF25gmlit of water
leaf miner control in groundnut,recommended for spray dimethoate 3 mlneem oil 3mlteepol 1mllit of water
ASKED ABOUT TO DISEASE CONTROL IN  GROUND NUT,50  250
ASKED ABOUT INSECTICIDES FOR SPODOPTERA DAMAGE IN GROUND NUT,RECOMMENDED TO SPRAY  QUINOLPHASE 2ML 1LIT WATER
yellow rog in groundnut,faresh salphat 5 gram par liter water sprey SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
Asking about Information for groundnut uniform maturity and foliar spray for groundnut rich,:  :      :
Farmer asked query on ROOT ROT  management in GROUND NUT,-RECOMMENDED TO DRENCH COPPER OXYCHLORIDE  BLITOX 3 GRAMS  1 LITRE OF WATER    3
Attack of wilt in cotton soybean,Drenching Redomil gold 30 gm  15 liter of water
Pod development in groundnut plant,Recommended to spray Calbor or Chamak  45 gm per 15 lit of water to supply source of boron for pod development in groundnut plant
how to control SUCKING IN groundnut crop,recommend for spray to Imidacloprid 178  SL 5-7 MLPUMP
GROUNDNUT NUTRIENT MANAGEMENT,Recommended for spray borax 5gmliter water
insectiside,profex super 15 ml15 ltr water
groundnut variety,groundnut variety TMV 7 ALR 3
Groundnut foliar spray,Recommended for spray groundnut rich 2 kg acre
how to control white grub,Apply Regent Fipronil  5kgacer or Fatera  Coragen  4kgacer
ASKED ABOUT VARIETIES OF GROUND NUT,VARIETIES OF GROUND NUT-PHULE UNNATIT G 26
SEED TREATEMENT OF GROUNDNUT,APPLY CARBENDAZIM  3 GMKG OF SEED
Ask about variety information in Groundnut crop,GJG -32  GJG -34
TELL ME ABOUT SOWING TIME IN GROUNDNUT,15    20
Ask about sucking pests problem in crop Suggested:,Spinosad 45 SC  5mlpump spray
Asking about Total duration of Groundnut Bunch types,:     :  90 - 130
varities of moong phalli,punjab mungpalli no-1 punjab mungpalli no-4
Ask about Leaf spot control in Ground nut crop,EC -
TELL ME LOW GROWTH OF GROUNDNUT,SPRAY OF MULTIPLAX MICRONUTRIENT 4 GM PER LITER WATER
attack of white grub,Use Thimet 4 kgacrediethyl S- phosphorodithioatemvac
Farmer asked Larvae control information of groundnut,40         ppm
Farmer asked query on Weather,35        8     8
Farmer asked query on Weather,Weather forecast in Bargarh District at  Sohella Block   There is possibility of  no rain fall with in next 5 days and sky will be partly cloud for these days
WANT TO KNOWN ABOUT SEED TREATMENT OF GROUND NUT,TREAT THE SEED WITH THIRAM 4 G OR CARBENDAZIM AT 3 GKG OF SEEDS BEFORE SOWING
ROOT ROT  IN GROUNDNUT,USE CARBENDAZIM 250 GRAM  BIGA
Farmer asked query regarding Ca dosage for Ground Nut crop,200                45
ASKED FOR GROUNDNUT VARIETY,GROUNDNUT VARIETY  TAG-24 JL24
ROOT ROT IN G NUT,RECOMMENDED FOR SPRAY SAAF 2GML OF WATER FOR ROOT ROT IN G NUT
watermanagment,information gave
Ask about variety information in Groundnut crop,-2  TG -37 TAG -24
FERTILIZER MANAGEMENET IN GROUNDNUT,RECOMMENDED DOSAGE GYPSUM 200 KG  ACRE
farmer want about  weather information for district,Dear Kisan Bhai According to the information received from Indian Meteorological Department there is possibility of light rainfall in the next 5 days in your district and in the Tahsil Any weather can remain open Todays temperature is 32 degrees
TELL ME PLANT PROCTION IN ARHAR,USE CHLOROPYRIFOS 20 EC 40 ML PER PALNT WITH IRRIGATION
ground nut sucking pest,RECOMMENDED TO SPRAY ACETAMIPRIDE ACRE     40 GRAMS  RECOMMENDED TO SPRAY SPINOSAD 75 MLACRE
Farmer asked seed treatment of fungus problem in Ground nut,WP
ASKED ABOUT INFORMATION GROUNDNUT CROP,RIZOBIUM 250 GM10 KG SEED VAPRAVE
TELL ME ABOUT INSECT CONTROL IN  GROUNDNUTS,25   4
TELL ME WEATHER INFORMETION,RAIN POSSIBILITY IN NEXT 3-4 DAYS IN YOUR DISTIC
Asked about Bio fertilizers  Groundnut seed availability,:         :
Farmer asked fungus control information of Groundnut crop,4    WP -
Farmer need information regarding seed rate of groundnut,100          80
THRIPS IN GROUNDNUT,RECOMMENDED TO SPRAY DIMETHOATE  400ML ACRE
ASKING ABOUT SOWING TIME IN GROUNDNUT,RECOMMENDED FOR SOWING TIME IN GROUNDNUT MARCH -APRIL
SUCKING PEST  IN GROUND NUT,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 MLAcre
Farmer asked fungus in root Organic control information,--:
Groundnut gypsum dosage,recommended for apply gypsum 2 quintals acre
growth problem of groundnut crop,amino acid8-10kgacre me buwai kijiye
ASKING ABOUT THE APPLICATION OF MICRONUTRIENT IN GROUND NUT,RECOMMENDED FOR SPRAY GRADE 2    2-3 GMML  LIT OF WATER
FARMER  ASKED ABOUT TO NUTRIENT MANAGEMENT  IN GROUNDNUT CROP,5    5
Asked about plant protection,Suggested to spray Profenophos - 2ml per litre of water
for flower growth,Spray Boom flower 20ml15lit of Water
Farmer asked Aphid problem in crop,-   15                SC
Groundnut leaf spot,Groundnut leaf spot: spray saaf 2 gram per liter of water
moongfai me sudi lgi hai,Dichlorvos 76 EC 350 mlacre ka spray kre
Farmer asked query on Weather,:   -     : :            34  C    26 C     8
FARMER ASKED ABOUT SEED TREATMENT OF GROUNDNUT CROP,:-   -   -
asked about gnut aphids attack,30 15
For quality yield in Ground nut,Recommended to spray  Fantac Plus 1ml in 2litres of water for quality yield in Ground nut
GROUNDNUT VARIETIES,KADIRI-6 AND NARAYANI
gnut variety information,gg-20 2 5
attack pest,Confidor super  Confidor 10ml15 Lit of Water
groundnut varieties,groundnut varieties--tag24
Farmer asked weed control in Groundnut crop,30 EC     70     -  -
weed control in groundnut,spray pendimethylin 800mlac on 3rd day of sowing
Termite control in Groundnut crop,Chlorpyriphos 20 EC 125
PLANT PROTECTION,QUINOLPHOS 2MLLITRE
ask abt gnut crop,suggested apply proepr info
Farmer asked fungus control information of Groundnut crop,WP 40
FARMER ASKED ABOUT SUCKING PEST ATTACK CONTROL ON GROUNDNUT CROP,-   25-    15
Fertiliser in Groundnut,Aplly 125:25 N P Kg per ha
farmer want to know information about how to control sucking pest in groundnut crop,recommended for to control of fungal attack spray  carbandazim  mancozeb 40gmand streptocyclin 2 gram at 15 liter of water
Information regarding weather,Some clouds and some chance of rain fall today
FARMER ASKED QUERY ON WEED MANAGEMENT IN GROUNDNUT AT 60 DAYS,SUGGEST TO DO INTER CULTIVATION
Attack of White Fly on groundnut,WG
Weed Management in Ground nut crop,Weed Management in Ground nut crop-Pendimethalin  1 ltr a i ha as pre emergence spray
Attack of  Wilt Drenching,Drenching Bavistane 30 gm15 liter of water Copper Oxichloride-syngenta
Asking about groundnut seed treatment information,Recommended for Treat the seeds with Carbendazim  2 gkg of seed 24 hours before sowing
Farmer needs information regarding control of weeds in groundnut crop,45
FARMER ASKED ABOUT VARIETY OF GROUNDNUT,- -           -
Asked about Plant Protection in tur dal,Recommended to spray flubendimide 025mllitr
Groundnut top dressing fertilizer management,Recommended for apply gypsum 150kg acre
vareities,phule pragati g2
ASKING ABOUT SOME VARIETIES IN GROUNDNUT PLANT,-   -
ASKED ABOUT TO MICRO NUTRIENT MANAGEMENT IN GROUND NUT,4 ML
TELL ME BLACK ROOT CONTROL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 250 GM PER BHIGA
groundnut top dressing fertilizer management,Recommended for apply zypsum 75 kg  acre
Farmer asked query on Weather,:   -     : :             34  C    22 C     6
ASKED ABOUT TO NEMETODE CONTROL IN,3
weed management,weed management -pendemehtylene  apply
asked about groundnut variety,Suggested : All information provided -  Thanks for calling in kisaan call center
asking about groundnut varieties of groundnut,-     -    -
SEED TREATMENT IN GROUNDNUT,BAVISTIN 5-7 GRAM  KG SEED
ask forn groundnut leaf spot,suggest:sprey Hexaconazole 10 ml  10 lit water
aphids management in groundnut,Recommended for spray Fipronil 2 mllit of water
groundnut foliar spray,A booster with nutrients and growth regulators for Groundnut
Asking about Stem rot in groundnut,Recommended for drenching Carbendazim 2g  litre of water
cultivation groundnut,self management
Farmer want to know Information about weed management of  groundnut crop,Flusiflex       400ml
ask for gnut chlorosis,suggest:hirakasi powder 100gm leman flawer 10 gram
seed rat infarmetion of groundnut,100 kg of pungent species of peanut And 80 kg of proliferation and semi-spreading species Seed per hectare use has been found to be excellent
Asking about groundnut seed availability Kadhiri lepakshi 1812,:       :
Asking about Seed treatment of Groundnut,:      :                80
ASKING ABOUT DOSE OF SULPHUR 80 WPWGWDG,SPRAY   SULPHUR 80 WPWGWDG   3 GM  LIT OF WATER
aphids,imidachloprid 05mllitre
Farmers query about nutrient management in groundnut,: :  0 :0 :50             -         I
problem in groundnut,halki sechai ker de
TELL ME CONTROL TARMITE,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
Asking about Tobacco caterpillar and Aphids management in groundnut,Recommended for spray profenophos 2 ml  acephate 1g  lit of water
fiower growth,Spray Boom flower 20ml15lit of Water
