QueryText,KccAns
TELL ME ABOUT OF WHITE GRUB CONTROL IN GROUNDNUT,USE CARTAP  HYDROCHLORIDE 3 KGBHIGA WITH IRRIGATION
Ask about weed control information in groundnut crop,165   -   8 EC
FARMER ASKED ABOUT VARIETIES OF SUMMER SEASON GROUNDNUT,-   - -      -
Farmer asked about fertilizer dose in Groundnut crop,:::
tobaco caterpiller in groundnut,recommended for spray quinolphos 2mlneemoil 3mlteepol 1mllit of water
FERTILIZER FOR GROUND NUT,UREA 25 KILO EKAR TAKAVE
TELL ME ROOT ROT CONTROL IN GROUNDNUT,50  1
Attack of Sucking pest,:- 10000ppm
Asked about plant protection   in groundnut,Recommended to Spray lancer gold Acephate 50  Imidacloprid 18 SP  2g per lit of water
stem rot in ground nut,recommended to spray saaf-2gmlit of water
Farmer asked fungus in root control information of GNUT,50             250
groundnut pest,quinolphos 2 ml per liter
TELL ME ABOUT INSECT CONTROL IN  PEANUT,--  5   1    3
Ask about use fertilizer information in Groundnut crop,DAP  10
GROUND NUT NUTRIENT MANAGEMENT,GROUND NUT NUTRIENT MANAGEMENTRECOMMENDED TO APPLY ZYPSUM 200 KGACRE
INSECT CONTROL IN GROUNDNUT,SPRAY OF TRIZOPHOS 40 EC 2 ML PER LITER WATER
groundnut foliar spray,recommended for spray zinc sulphate 2 gmferrous sulphate 5 gm boron 2 gm  litre of water
Farmer asked Semilooper Problem in groundnut crop,EC
TERMITE IN GROUND NUT,USE CLOROPAYRIPHOS 20 EC 1 LTR BIGHA WHEN IRRIGATION
TELL ME BLAC ROT CONTROL IN GROUNDNUT,USE CARBENDAZIM 250 GM BHEEGA IN ROOT ZONE WITH IRRIGATION
Asked about termite prevention management for Groundnut field,:     :          10
rootrot in groundnut,recommended for soil application trichoderma 1kg mixed FYM
TELL ME ABOUT THE CONTROL OF INSECT IN GOUNDNUT,15
basal fertilizer management for  groundnut,apply DAP 50kg ac
Askedabout Increase yield for groundnut,:       :     2
farmer want to know information about How to control of fungal attack in groundnut crop,use copper oxy chloride 35  gram and streptocyclin 2 gram at 15 liter of water
ASKING ABOUT CONTROL OF EXCESS GROWTH OF GROUNDNUT FIELD,-- -
Roden control for groundnut,Apply zinc phosphide 100 gm mix with raw rice
Asked about Organics application in Groundnut,:        :
ASKED ABOUT HOW TO INCREASE YIELD IN GROUNDNUT,Triacontanol 005 EC
Asked about nutrient management in Groundnut,Suggested to spray Samrudhi - 2 ml per litre of water
Asked about Plant Protection  in Groundnut,Recommended to Spray dimethoate 2 ml per liter of waterAndRecommended to Spray Quinolphos 2 ml per liter of water
Ask about yellowingfertilizer dosein groundnut crop,20-25
foliar spray in groundnut,recommended for spray groundnut rich 2 kg  200 litre of water
Asked about leaf folder management in groundnut,:      : :      15
asked about seed rate of groundnut,seed rate of groundnut - 100 kg 25 ekar
Asking about leaf miner in groundnut,:        :  2     3     1   1
FARMER ASKED ABOUT RATE CONTROL IN  GROUNDNUT,20
Asking about groundnut TNAU foliar application,:         :  200
ask about fungus problem in groundnut  crop,WG  -                  40         ppm
Tobacco caterpillar in groundnut,Recommended for spray quinalphos 2 ml  litre
VARIETIES OF GROUND NUT,VARIETIES OF GROUND NUT ARE PHULE PRAGATISMRUTIKISANJAWANAK-12TG-3
fertilizer for groundnut,fertilizer for groundnut   1846 1 bag acre
Leaf caterpillar management in groundnut,Recommended for spray thiacloprid 1 ml   sticking agent 1 ml  litre of water
WEED MANAGEMENT OF GROUND NUT,ALACLOR 50 EC  2 LITER  ACRE
GROUND NUT CATERPILLER,advised to spray CHLORIPYRIPHOS  500 ml per acre
ASKED ABOUT CATERPILLAR ATTACK ON GROUNDNUT,-  30
attack of blight on groundnut,Spray Redomil Gold 30gm15Lit of Water
Farmer asked Larvae control information of  groundnut,EC 15
GROUND nut white grub,drenching with chloropyriphose5mlliter water
Asked for plant protection,Spray Dimethoate 30 EC  17 mllit water
TELL ME WEATHER INFORMATION,NO  RAIN POSSIBILITY  IN NEXT 5 DAYS
ask about catterpiller,suggested quinalphos 30 ml per pump
better flowering in groundnut,spray boomflower 2ml in 1ltr water
Asked about Groundnut Top dressing application at earthing up,:      :  5    12
flowering,Spray Boom flower 20ml15lit of Water
fertilizer,DAP-50 kg acer
TELL ME CONTORL OF ROT ROOT IN GROUNDUTE,DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION
fertilizer,ureagypsum
Asking about groundnut TNAU foliar application,:     : :     2  200
aphids,spray rogar or phosolone 2 mili per litre of water
FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN GROUNDNUT,NO NEED TO USE ANY NUTRIENTS IF YOU GAVE GYPSUM TO CROP
Asked about Pollination timing for Groundnut,:      :  6- 8
Top dressing fertilizer application of Groundnut,Recommended for apply Gypsum- 80 kg  Borax- 5 kgacre
TELL ME SOWING TIME  N GT NUT,JUNE - MONTH  SOWING TIME  N GT NUT
ground nut root rot,RECOMMENDED TO SPRAY CARBENDAZIM  200 GRAMS PER ACRE
Farmer asked seed treatment of fungus problem in groundnut crop,Ws                   WG                DS
tobacco cut worm in groundnut,spray quinalphos 2 ml  lit of water
Farmer asked fungus in root control information of in groundnut,WP
COLAR ROT CONTROL IN GROUNDNUT,USE TRICHODERMA 25 KGHA MIX WITH FYM 100 KG
Information about insect control in groundunt,03 GR 10Kg
farmer asked about thrip problem ground  nut crop,WG -
plant protection related to query,4 ml
WHITE GRUB IN GROUNDNUT,APPLY CARBOFURAN 3G  5KGACRE FOR WHITE GRUB IN GROUNDNUT
Farmer needs information regarding fertilizer dose for Groundnut  crop,:-  140      34
FERTILIZER APPLICATION IN GROUNDNUT,200                45
Ask about seed rate information in Groundnut crop,30
ask about sowing time of gnut,I suggested JAN ending
Asked about white grub management in groundnut,:    :     2
ground nut sucking pest management,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML 150 LITRES OF WATER  ACRE
TELL ME PEST IN GROUNDNUT,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER
TELL ME BLACK ROOT ROUT IN GROUNDNUT,DRENCHING OF CARBENDAZIM 2 GM PER LITER
caterpillar in groundnut,spraying of chloropyriphos 20ec25mllit water
Ask for the Fertilizer in groundnut,Advise tothe 125:25 N P kg per ha
Asking about control of stem rot,SPRAY THIOPHANATE METHYL 70 WP  1 GM  LIT OF WATER
variety,african tall
Farmer wants to know about how to Increase Growth of Groundnut crop,Mungfali          : :   :::
ASKED ABOUT FERTILIZER DOSE FOR  GROUNDNUT,-
ask for ground nut white garb,sugg to chorophariphosh 4 literha
Asked about Can spray borax in Groundnut,:      :
Ground nut nutrient management,Recommended to apply Urea-15 Kg and Potash-26 Kg per acre Also try to spray calcium and sulphur to meet plant requirements
TELL ME MICRO NUTRIENT MANAGEMENT GROUND,4 ML
fertilizer management in ground nut,recommended 8 kg uria16 kg ssp20 kg mop per acer
Ground nut pest attack,Spray chloropyripos 2mllit
farmer want to know how to control yellowish in groundnut crop,recommended sulphur 20 ml per pump
Askign about Groundnut leaf caterpillar,:     :  - 2
ask for fertilizer information,I SUGGESTED TO 110 KG DAP and 11 kg urea
farmer ask about sucking pest control in groundnut crop,80-100 GRAMPUMP SPRAY
Farmer asked about post emergent weed management in groundnut,Recommended to go for manual weeding
asked about information  groundnut,Spray Chloropyriphos 30ml15 Lit of Water
TELL ME FERTILIZER IN GROUNDNUT,15 KG SSP  10 KG POTAS  5 KG UREA BEGHA GROUDNUT
GNUT  LARVAE CONTROL,spray quinalphos 20 mlpump
TELL ME BLACK ROOT CONTROL IN GROUNDNUT,CARBENDAZIM 250 GM PER BIGHA USE IN ROOT ZONE
ask for groundnut fungiside information,suggest: spray  mancozeb 35gmpump
CONTROL OF APHIDS IN GROUNDNUT,RECOMMENDED FOR SPRAY FIPRONIL 5  1 ML  LIT OF WATER
Asking about root rot management in groundnut,:      :     1  20
ASKED ABOUT  ATTACK OF WILT ON GROUNDNUT,WP -40
TELL ME WEED CONTROL IN,SPRAY OF PENDIMETHILIN 30 EC 25-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION
tell me variety for groundnut,m 13rs-1 variety for groundnut
Farmer asked query on Weather,ETAH  SAKIT                       39    3      11
farmer want to know information about How to control of fungal attack in ground nut crop,recommended for to control of fungal attack in gram crop use captan  hexaconazol 40 gm and streptocyclin 2 gram at 15 liter of water
GROUND NUT TOBACCO CATTER PILLER MANAGEMENT,RECOMMENDED Lambda cyhalothrin 300 MLACRE
Farmer asked query on Fertilizers  management in GROUNDNUT,RECOMMENDED TO APPLY UREA 8 KGSACRE  MOP  15 KGSACRE
fertilizer use,recommended to apply gypsum 200 kg per acre
Farmer asked weed control in Groundnut crop,-  EC    -
weed mgt in ground nut,spray targa super 2 ml in 1 litre of water for weed mgt in ground nut
Ask about water management in groundnut crop,-
TELL ME WHHITE GURB CONTROL INGROUNDNUT,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE
asked about groundnut pest,recommended to spray chlorophriphos25mllit
Asked about plant protection in Groundnut,Suggested to spray Dimethoate - 2 ml per litre of water
TELL ME INSECT CONTROL IN BAJRA,20   4
Asking about weather forecast,MOSTLY CLEAR WEATHER NO CHANCES OF RAINFALL
Give me information about root borer in groundnut crop,Carbofuran 3G 8-10
gram pod borer in ground nut,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 MLAcre
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT,- -           -    -  501   -24
ask for groudnut seed rate information,suggest: in groudnut required seeds 80 to 100 kgha
top dressing fertilizer managegeemt for ground nut,apply 150 kg gypsum ac
Ask about fungus Control in groundnut,WP -
Ask about fungus problem in ground nut,Suggested: Organic - trichoderma viride 700 gramvigha dusting with sand or organic fertilizer
TELL ME SEED TREATMENT IN GROUNDNUT,SEED TREATMENT OF CARBENDAZIM 2 GM PER LITER
Farmer need information regarding seed rate of groundnut crop,100          80
Alternaria leaf disease in groundnut,recommended for spray mancozeb 2gmlit of water
groundnut leaf spot,recommended for spray mancozeb 2 gm litre of water
Disease control in oil crop spray machozeb M-45  2 gm or bavastin  1 gm liter water              -45  2    1        Termites control in oil crop Seed treatment with chloropyriphos 20 EC or quinalphos 25 EC  15 ml  kg seed           20 EC or  25 EC  15 ml        PulsesMoong  sowing time of moong complete month of march  1 to 10 july               varieties of moong muskan  satya  basanti  MH-421Disease control in oil crop,Disease control in oil crop spray machozeb M-45  2 gm or bavastin  1 gm liter water
Asked about Groundnut sowing season,:     :   -
thrips attack in ground nut,recomended to spray fipronil 2milliliteracre
groundnut leaf spot,Leaf spot-mancozeb 2gmlit
Farmer asked about fertilizer dose in groundnut crop,-      -
ask for groundnut wilt,mancozeb 25 gram per pump and to spray
TELL ME ABOUT INSECT CONTROL IN  PEANUT,25   4
fertilizer,apply gypsum 200kgac
Leaf Eating Caterpillar,Spray Chloropyriphos 20ml15 Lit of Water
white grub in groundnut,Cartap Hydrochloride 4G 400 gmecar dalkar pani lagaye
FARMER ASKED QUERY ON FERTILIZER APPLICATION IN GROUND NUT,RECOMMENDED TO UREA 20KG
Ask about Yellowing of Ground nut Crop,2
TELL ME PLANT PROCTION IN GROUNDUTE,DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION
ask about wilt in ground nut,I suggested to spray mencozeb 30 gmpump for  wilt in ground nut
TELL ME CONTROL OF ROOT ROT IN GROUNDNUT,SPRAY OF HEXACONAZOLE 5 EC 15 ML PER LITER WATER
Ask about use fertilizer information in Groundnut crop,8-10
Groundnut mite management,recommended for spray propargite 2 ml  litre of water
Ask for some problem in groundnut,Suggest: Blue copper 40 gmpump
Asked about Caterpillar management in groundnut,:     : :      2
TELL ME WHITE FLY CONTROL IN GROUNDNUT,30  2
farmer query water management in groundnut crop,-     4
WHITE GURB IN GROUNDNUT,USE FIPRONIL 03 3 KGBIGHA BROADCASTING IN FIELD WHEN IRRIGATION
Asked about cultural practices,advised to spray imidocloprid 05gmltrand calcium sulpahte 10kgacre
Sumitomo Sumi Pleo  DOSAGE,Dosage: 250 ML Per Acre  Pyridalyl 10 ECAn emulsifiable concentrate contact and stomach insecticide for the control of Lepidoptera larvae and leaf miners on potatoes and tomatoes
Asked about how to use groundnut booster,:          :
Aphids in groundnut,Recommended for spray Dimethoate  2ml  litre of water
Asking about groundnut top dressing fertilizer management,Recommended for apply gypsum 150kg  borax 4 kg  ac
ASKED ABOUT ATTACK OF WHITE GRUB ON GROUNDNUT,APPLY PHORATE - 10 KILO  ACRE
TELL ME NUTRIENT MANAGEMENT,-90 -                                                                  1        8
TELL ME ROOT ROT CONTROL IN GROUNDNUT,SPRAY OF FIPROLIN 5  2 LITER PER HA
SOWING BEFORE FERTILIZER,FYM
Asking about Irrigated Groundnut Basal fertilizer application,:       :
Asking about foliar spray for groundnut,:     : :      1
Asking about foliar spray for groundnut rich,:     : :     2  200
CONTROLOF WHITEGRAB IN GROUNDNUT,DIMITHOETE 2 MLLITER WATER SPRAY
TELL ME  CONTROL OF WEED IN GROUNDNUT SOWING TIME,SPRAY OF PENDIMETHILIN 30 EC 25-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION
asked about varieties of groundnut,varieties of groundnut: daptari phule unnati phule vyas
ROOT ROT IN GROUNDNUT,ROOT ROT IN GROUNDNUT-SPRAY SAAFMANCOZEBCARBENDAZIM 2GRAM PER LITRE WATER
SUCKING PEST IN GROUND NUT,RECOMMENDED TO SPRAY ACEPHATE ANTAF ARTIN LUCID   300 GRAMS PER ACRE
Varieties of groundnut-,Varieties of groundnut-Kisan JawanSmrutiAK-12-24
varieties of groundnut,varieties of groundnut- phule unap TAG-24
proper growth in groundnut,RECOMMENDED TO SPRAY UREA 5 GR1 LITRE OF WATER
basal fertilizer management for groundnut,apply DAP 50 kg  gypsum 75 kg  acre
ask about fungus in crop,Suggested: Hexaconazole Contaf 5 SC 30 mlpump spray
groundnut leaf miner,Spray quinalphos 25 EC 2ml  lit of water
TELL ME MICRO NUTRIENT MANAGEMENT IN   GROUNDNUT,4 ML
mungfali ka dana kam ban raha hai,aapane zila krishi adhikari se  samperk kare
Farmer asked Army worm Problem in crop groundnut,SC 7-8
Leaf eating CP,Spray chloroyripos 2mllit
sucking pest attack,Spray Actra 5 gm15 Liter of WaterThiomithoxom 25-Syngenta
TELL ME SEED TREATMENT IN GROUNDNUT,SEED TREATMENT  OF CARBENDAZIM 2 GM PER KG
Asking about Tobacco caterpillar management in groundnut,:       :
Farmer asked Larvae control information of Groundnut crop,SC 8
APPL-FERTILISER,GYPSUM UREA
FARMER  ASKED ABOUT TO TERMITE CONTROL IN GROUNDNUT CROP,20   4
Farmer asked fungus control information of groundnut crop,wp
Information about control of Termite in Groundnut crop,4G 8
ASKING ABOUT WEEDICIDES APPLICATION IN GROUND NUT FIELD 25 DAYS AFTER SOWING,20
WEED CONTROL IN G NUT FOR MOTHA,NOTHING
Asked about Aphids management in groundnut,Recommended for spray Imidacloprid 4ml 10 litre of water
application dose of Methylobacterium,recommended for spray PPFM 200 mlacre
TELL ME GREEN GRUBS CONTROL IN GROUNDNUT,INDOXICARB 145 SL 1 ML LITER SPRAY KARE
weed management for groundnut 1 month crops,Recommended for hand weeding
Farmer want to know information about how to control white fly in groundnut crop,Recommended for Spray imidachloprid 178SL 5 to 7 ml  per pump
TELL ME FANGUS CONTROL OF GROUNDNUT,BLACK ROT CONTROL IN GROUNDNUT USE TRIGODRAMA 25 KG WITH 100 KG FYM  PER HA
TELL ME  PEST CONTROL IN  GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE
TELL ME,SPRAY OF QUINOLPHOS 25 EC 2 ML PER LITER WATER
groundnut gram pod borer,Spray monocrotophos  16mll or acephate  15gl or triazophos  2mll of water
fertilizer requirements for summer groundnut,65kg sufla  65kg murate of potash acre
GROUND NUT SUCKING PEST MANAGEMENT,RECOMMENDED TO SPRAY ACEPHATE 15 GRAMS   LITRES OF WATER
FARMER ASKED ABOUT ATTACK OF BLIGHT ON GROUNDNUT,:- 30      CARBENDAZIN 50 WP
ASKING PLANTING MATERIAL GROUND NUT,-  -  -    --     ------ -- -
INFORMATION ABOUT GROUNDNUT FERTILIZERS,APPLY 9 KILOS UREA AND 200 KILOS GYPSUM DURING  FIRST FLOWERING STAGE
Ask for the fertilizer dose fo groundnut,use of 100 gm ureapump and spray it
ROOT ROT MANAGEMENT IN GROUNDNUT,RECOMMENDED TO DRENCH 1G CARBENDAZIMLITRE OF WATER
asked about varieties of groundnut,varieties of groundnut- TAG-24 SB- 11
larvae  sucking pestsSuggested:,profenofos 40  cypermethrin 4 mix available in market 15 mlpump spray
ASKED ABOUT TO SEED TREATMENT IN GROUNDNUT,50    2
asking about Attack of Aphids on groundnut,Attack of Aphids on groundnut - Spray Actra 5 gm15 Liter of WaterThiomithoxom 25-Syngenta
Aphid control management in groundnut,Recommended for spray dimethoate 2 ml  1 litre of water
Ask about fungus problem in groundnut,EC 30-35
For better growth of groundnut,Recommended to spray Planofix  Alpha naphthyl acetic acid 45 SL    3ml per 15 litre of water
groundnut variety,groundnut variety--tag-24tg-21
Farmer asked seed treatment of fungus problem ingroundnut crop,WG
disease control in groundnut,BLACK ROT CONTROL IN GROUNDNUT USE TRIGODRAMA 25 KG WITH 100 KG FYM  PER BIGHA
HERBICIDE,HERBICIDE - PARSUIT
About Mangala Bio 20 20:20:20,Mangala Bio 20 is a highly concentrated emulsion containing major and chelated micronutrients along with plant hormones
ground nut root grub,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 1000 MLAcre
ASKING ABOUT DOSE OF GYPSUM IN GROUNDNUT FIELD,80-100 KG  ACRE
Pod bug in Groundnut,Recommended for apply vasampu podi 10 kg  sambal  acre
asked for nutrients for groundnut,30
white grub problem of groundnut,TREATMENT OF 40 KG SEED 1 LITER CHLOROPYRIPHOS SE
ASKED ABOUT TO NUTRIENT MANAGEMENT GROUNDNUT,33 5
spodoptera in groundnut,recomended tracer 3ml10lit water
Ask about fungus problem in Root,blue copper 40gm pump
TELL ME ROOT ROT DISEASE CONTROL GROUNDNUT,HEXAKENAJOL 1MLLITER SPRAY
herbicide,Glycel 3 ml Glyphosate  super confidor 10 ml1 liter of water
ask about weed control in groundnut,165   -  8 EC   -
Asking about leaf miner and leaf caterpillar in groundnut,:      2
GROUNDNUT SEED MANAGEMENT,GROUNDNUT SEED MANAGEMENTRECOMMENDED TO SEED TREAT WITH  MANCOZEB 3 GRAMS 0R CARBENDAZIM 1 GR  KG OF SEEDS
TELL ME BLACK ROOT  CONTROL IN GROUNDNUT,USE CARBENDAZIM 250 GM BHEEGA IN ROOT ZONE WITH IRRIGATION
ask about fertilizer management,i suggested DAP 54 kiloha
mugfali me illi lag rahi he,emida clopid 10 mllit panispary
Asking about Leaf miner management for Groundnut,:        :  15  1
TELL ME SEED TREATMENT OF GROUNDNUT,USE OF CARBANDAZIM 2 GMCHLOROPYROPHOS 6 GMRHIZOBIUM CULTURE 600 GM
asking for the leaf caterpillar and leaf spot disease management in groundnut,recommended for the spray of profenophos 2 ml  bavistin 2 gram in 1 litre of water
REAGRDING RHIZOBIUM CULTURE IN GROUND NUT,1
tobacco caterpillar management,tobacco caterpillar management  recommended  carbosufan 300ml acre
Ask about larvae control information,Suggested: Abamectin 18 EC 5 ml pump spray Very costly
spodoptera damage in gnut,quinolphos 2 mllt
TELL ME WEEDICIDE IN GROUNDNUT,NO WEEDICIDE HAND WEEDING
FARMER  ASKED ABOUT ATTACK OF BLIGHT ON GROUNDNUT CROP,WP-     30        -
ask abt fert in gnut,i have sugested UREA at 1 bagha
ASKING ABOUT GOVERNMENT SCHEMES,For govt schemes contact Taluka Agriculture Officer
gnut red leaf spot  control,spray mancozeb 25 gmpump
FOR BETTER GROWTH OF GROUNDNUT,ADD 50 KG GYPSUM ACRE AT PEG FORMATION
Asked about tobacco cutworm management in groundnut,:       :   10   4
FARMER ASKED ABOUT THE CONTROL OF INSECT GROUNDNUT,40   4    15
ASKED ABOUT ATTACK OF SUCKING PEST ON GORUNDNUT,-   25 5 15
farmer asked about seed treatment in groundnut,recommended to go for insecticide seed treatment with imidacloprid  2 ml per kg seed and go for fungicidal treat with mancozeb  3 g per kg seed and then treat with Trichoderma  8g per kg seed
Asked about Weed management in Groundnut,Quizalopop- p- ethyl 5 EC  300 mlacre
WHITE CRUB IN GROUNDNUT,USED CARTAP 4KG  BIGHA
ASK ABT WHITE GRUB PROBLEM,SUGGESTED 3 ML CHLORPYRIPHOS SEED TREATMENT  1 KG SEED
ASKED ABOUT FERTILIZER SPRAY FOR GROUNDNUT,-
POD BORER,CONTACT EXPERT
Farmer asked query on Weather,:        :                34     26      7
farmer want weather report,there will be a little bit rain fall during 45 april in your area
aSKED  ABOUT  TO INSECT CONTROL IN  PEANUT,1 5
Ask about weed control information in groundnut crop,165   - 8 EC3
APHID IN GROUNDNUT,RECOMMENDED SPRAY ROGOR2MLLIT
Ask for the larva control,sugg to cypermethrin 10 ml per pump and to spray
TELL ME PEST CONTROL IN   GROUNDNUT,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER
root rot management,TRICODERMA VIRIDE FORMULATION  PREPARATION: TRICODERMA VIRIDE 2 KGS COW DUNG 90 KGS NEEM KERNAL POWDER 10 KGS
improved varieties of groundnut,haryana mungphali 4punjab mungphali no 1
FARMER ASKED THE NUTRIENT MANAGEMENT IN GROUNDNUT,5
Ask about the,suggest:quinalphose 30 ml per pump and to spreysuggest:corazen 5 ml per pump and tosprey
TELL ME CONTROL OF LEAF SPOT,USE CHLOROTHELONIL 25 GM PER LITER OF WATER
Farmer asked query on Weather,:        :                   33     24       5
Asking about top fertilizer management for groundnut,:    : :      2      15
TELL ME VARITIES OF GROUNDNUT,VARITIES OF GROUNDNUT-HNG-10
asked about sowing time of sorghum,sowing time of sorghum-tag 24tg 26
farmer asked about varieties of ground nut,- -
top fertilizer for groundnut,Recommended for apply gypsum 150 kgacre
Asking about Ground top dressing fertilizers for Rainfed ground nut,:          80      4
TELL ME FERTILIZER USE IN GROUNDNUT,FERTILIZER USE IN GROUNDNUT   5 KG SULPHER
Growth control in Gnut,Liosin 3mllit water
ASK ABOUT GROUNDNUT GRUB,Chlorpyriphos 30 ml  10 lit water
asking about Groundnut sowing season,Recommended for season of sowing for groundnutDecember - January
TELL ME CONTROL TIKA DISEASES OF GROUNDNUT,HEXACONAZOL 2 ML  LITTER WATER SPRAY
Asked about leaf feeder management in groundnut,recommended for spray dimethoate 2mlneem oil 3mlteepol 1mllit of water
Asked about Plant protection in GROUNDNUT,Recommended to spray Chloropyriphos 20 EC - 2 ml per lit water
Fertilizer management in groundnut,Recommended for no spray and no fertilizer application
FARMER ASKED CONTROL OF RUST ATTACK IN GROUND NUT CROP,-   -
ASK ABOUT VARIETY,I SUGGESTED GG-20 VARIETY
Termite control information of Paddy crop,30   500 ml
asked for groundnut fertilizer,application gypsum at 200kg per acre
ground nut kee variety bata de,ground nut kee variety - chitrachandra
