QueryText,KccAns
ASKING ABOUT CONTROL OF STEM ROT IN GROUNDNUT,SPRAY  THIOPHANATE METHYL 70 WP  1 GM    LIT OF WATER
Ask aboutweedtreatments,tergasuper 10 ml pump spray
ask for groundnut growth information,provided information
weed management in ground nut,recommended to stamp 1litacre
vareity of groundnut,m 13chitra
Farmer asked about seed treatment in groundnut crop,1   2                   25ml
TELL ME ABOUT SEED TREATMENT IN GROUNDNUT,USE CHLOTHIANIDIN 2 GM PER KG SEED FOR SEED TREATMENT IN GROUNDNUT
ROOT ROT,SPRAY COPPER OXYCHLORIDE 2GLTR OR ZINEB 3GLTR
LAT OF GROUNDNUT,CLOROPYRIFOS 1 LITER  BHIGA
caterpiler,Spray Profex Super 30 ml  15 lit of water
Asking about Groundnut Rich spray time,Recommended for Groundnut rich stage of spray Peak flowering and pod development
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT CROP,- -  -      -    -  -  -     -
early leaf spot in groundnut,recommended for spray mancozeb 2glit
Asked about plant protection in   groundnut,suggested to spray dimethoate 2mllit
Farmer asked weed control in cotton crop,-- 9  EC    -        -       -
ASKED ABOUT TO MICRO NUTRIENT MANAGEMENT GROUNDNUT,4 ML
about groundnut season details,recommended season are : Karthigaipattam Nov- Dec  PurattasipattamSep- Oct
TELL ME CONTORL OF TERMITE CONTORL IN GROUNDUTE,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
farmer ask about whitegrub in groundnut crop,-              250   10
Farmer Asked sucking pests control information in Groundnut crop,EC 30
FARMER ASKED QUERY ON  WEED MANGEMENT IN GROUNDNUT,RECOMMENDED MANUAL WEEDING IN GROUND NUT
ASKING ABOUT ATTACK OF SUCKING PEST ON  groundnut,8  15
ASKED ABOUT TO INSECT CONTROL IN GRONDNUT,178     05
mungphali me kharpatwar,niraai kare
nutrient management in groundnut,nutrient management in groundnut RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS1 LITRE OF WATER
Farmer needs information regarding control measures of termite groundnut crop,06   4
Tobacco caterpillar in groundnut,Recommended for spray dichlorovas 300mlac
TELL ME COLAR ROOT IN GROUNDNUT,USED TRICODRAMA 25KG  HA
GROUNDNUT ROOT ROT MANAGEMENT,GROUNDNUT ROOT ROT MANAGEMENTRECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER
FARMER ASKED QUERY ON SEED TREATMENT IN GROUNDNUT,RECOMMENDED TO TREAT ONE KG OF GROUNDNUT SEED WITH 3 GRAMS MANCOZEB  8 GRAMS TRICHODERMA VIRIDE  2 ML IMIDACHLOPRIDE
groundnut leaf spot thikka  early,blitax 3 gram  liter water
fdertilizer,ureamicrola
Farmer asked query on Weather,:             :        -                    - 32C   -  23C       8
Farmer asked fungus in root control information of fennel crop,WP
fertilizer,give urea gypsum 25kgacer
availability of seeds,suggest him to contact AO
TELL ME WHIT GRUB CONTROL IN GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
groundnut leaf eating caterpiller,RECOMMENDED TO SPRAY CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE
Fruit dropping,1 ml 45
asking about manuring of groundnut,recommended for apply Trichoderma viride 2kg  Farm yard manure 25kgacre
seed rate of ground nut,KISAN BHAI MOONGFALI KI BEEJDAR 60 -70 KILOGRAM  HACTRE SE KAREN
TELL ME ABOUT WHITE GRUB CONTROL IN GROUNDNUT CROP,25  4
NUTRIENT MANAGEMENT IN GROUNDNUT,--ROCEMMENDED TO APPLY GYPSUM 200KGS ACRE
Farmer asked fungus control information of carbandazim,WP -
ask for termite control information,suggest:chloropyriphose 25 mlpumpsuggest:chloropyriphose 25 mlpump
TELL ME BORER CONTROLE IN GROUNDNUT,SPRAY OF PROFENOFOS  CYPERMETHRIN 15 ML PER LITER WATER
STEM ROT,MANCOZEB 400GMACRE
TELL ME ABOUT NUTRIENT MENAGEMENT IN GROUNDNUT CROP,ZINK SULPHATE DOSE FOR WHEAT - 20-25 KGHA ON SOIL TESTING BASE
Asked about borax application in groundnut,:    2
ASKED ABOUT FERTILIZER,I SUGGESTED DAP AND UREA 9 KG VIGHA AT BASAL
TELL ME TIKKA CONTROL IN GROUNDNUT,SPRAY OF MENCOZEB 2 GLITRE WATER
Ask about Flower Drop problem,Suggested: Boom Flower Nitrobenzene 15 mlpump sprayc
Ask about blank pod problem information in groundnut Crop,100
Ask about Anti-biotic and anti-fungal in peanut,WP -
asking about stem rot management in groundnut,recommended for Trichoderma viride 1 kg mixed with 20 kg of FYM
POOR GROWTH IN GROUNDNUT,APPLY DAP AND POTASSIK FERTILISER AS AS PER REQUIREMENT
WEED MANAGEMENT IN GROUNDNUT,WEED MANAGEMENT IN GROUNDNUT - APPLY OXYFLUROFEN GARGAON- 200 ML PER HACTORE
Information about weather,Kisan bhai aapke shetra mein 18 aeptember ko barish ki sambhavna  hai
Seed Treatment in Groundnut,Seed should be treated with Fungicide like Thiram 2 gmkg seed
thikka leaf spot management,recommended to spray chlorothalonil 400 gram  acre
Asked about Weed management in  GROUNDNUT,Suggested to go for hand weeding and intercultural operation
Attack of  Wilt,Redomil Gold 30 gmhumic Acid 30 mlMephonaxonmancozebsyngnt
Asked about Pest management disease management in groundnut,Spray SAAF 2gram and Imidacloprid 05mllit
Ask about growth problem in groundnut crop,25
Ask about fungal issue in groundnut,EC 10
Ask about sucking pest control in ground nut crop,-  -
TELL ME ABOUT DISEASE CONTROL IN  GROUNDNUT,5    2
HELICOVERPA DAMAGE,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE 80-100 GRAMS PER ACRE
disease problem in pea nut,copper oxychlorider 50 WP 2-3  gram liter pani ka ghol banaker spray kare
Leaf miner in Ground nut,Recommended for spray Profenophos 2 ml Teepol 1 ml  litre of water
Asked about plant protection,samrudhi 3ml of water
Asked about Tobacco caterpillar management in Groundnut,:           :
dose,apply Dap 1 bag per acre
Ask about seed treatment in groundnut crop,1
ASK ABOUT LARVAL PROBLEM IN GEOUNDNUT,SC
APHIDS IN GROUNDNUT,RECOMMENDED TO SPRAY DIMETHOATE 30 EC 2 ML PER LITRE OF WATER TO CONTROL APHIDS IN GROUNDNUT
FARMER ASKED ABOUT  FERTILIZER DOSE FOR GROUNDNUT,-  -
Asked about dying of groundnut plant information,:      :
Ask about seed treatments of White Grub in Groundnut crop,30  FS
Farmer asked query on Weather,31    15     7
ASK FOR GNUT FERTILIZER INFORMATION,I SUGGESTED TO GIVE DAP 15 KGVIGHA
Asking about Groundnut seed treatement,Recommended for apply Pseudomonas fluorescens  10 gkg seed
FARMER ASKED ABOUT SOWING PERIOD OF GROUNDNUT AND VAERITY  OF CROP,:- -  -    - --  -       -
TELL ME CONTROL OF INSECT IN GROUNDNUT,SPRAY OF TRIZOPHOS 40 EC 2 ML PER LITER WATER
harvesting,yellowing of leaves
Asked about prevent root rot and stem rot management in groundnut,:         :  1  1
ask about irrigation information in Groundnut crop,-    -    -     -    -        -
FARMER ASKED ABOUT FERTILIZER DOSE OF GROUND NUT CROP,- :: -
TELL ME CUT WORM CONTROL IN GROUNDUT,145   1
Farmer asked about groundnut crop,90    3
Asking about Powdery Mildew management in Groundnut,:       : :       2
Asking about Aphid management for Groundnut,:       :  2
Asked about Sucking pest management for Groundnut leaf hole symptoms,:        :   2
TELL ME CONTROLE IN FUNGS CONTROLE IN GROUNDNUT,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
Ask about PGR AND  Information  or Ask about flower drop problem,45  5
stem rot in groundnut,soil application of Trichoderma viride  500 gac mixed with 15 kg FYM
TELL ME WEATHER REPORT IN NAAGUR,RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY
verities,-- -
ask about fungus problem in root,Suggested: Organic - trichoderma viride 500 gramvigha dusting with sand or organic fertilizer
Farmer asked termite control information of Groundnut crop,300
TELL ME PEST CONTROLE IN GROUNDNUT,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER
Ask about general informationSuggested,Ask about general informationSuggested: All information provided - Thanks for calling in kisaan call center
Aphids attack in groundnut,Recommended for spray Imidacloprid 178 SL 2mlliter of water
Farmer need information regards seed rate of ground nut for half acre,Farmer can sown 16 kg seed for half acre
ASKED ABOUT WILT  ATTACK IN GROUND NUT,:-      -
seed treatment for groundnut,Treat the seeds with Trichoderma viride  4 gkg seed or Pseudomonas fluorescens  10 gkg seed
GROUND NUT LEAF SPOT MANAGEMENT,GROUND NUT LEAF SPOT MANAGEMENT :  RECOMMENDED TO SPRAY SAAF 2GRLT WATER
Asking about  caterpillar management in groundnut,:      : 10      4
TELL ME PRE SOWING TIME CONTROL OF GROUNDNUT,USE QUINOLPHOS 15 DUST 25 KG PER HA MIX IN SOIL
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,50    1
Farmer asked about folicure  bayer  fungicide,EC        -
ask about whether information at managrol,5
Asked  about  to  disease  control  in  groundnut,12   63    2
weed control in groundnut,kisan Bhai mungfali me nirai gudai kare
ETAH ME MAUSAM,KISAN BHAI IS SAPTAH ETAH ME BARISH NAHI HONE KI SAMBHAVNA HAIN
Asking about groundnut seed rate,:           : 50
groundnut spodoptera damage,RECOMMENDED FOR SPRAY Profenophos 400 ml  acre
BLACK CATTERPILLAR IN GROUNDNUT,BLACK CATTERPILLAR IN GROUNDNUT SPRAY QUINOLPHOS 25 EC 2ML1 LITRE OF WATER
peanut disesae,spray emidachlopride 1ml2lt of water
weed control ground nut,spray goal 400 mlac
nutrient management in groundnut,nutrient management in groundnut: RECOMMENDED TO SPRAY AGROMIN MAX 3 GR1 LITRE OF WATER
ASKING ABOUT CONTROLL OF BLIGHT ATTACK on GROUNDNUT,CONTROLL OF BLIGHT ATTACK on GROUNDNUT-Spray Antracol 30 gm15 Liter of Water Propineb BAYER CROP SCIENCE
TELL ME PEST CONTROL IN GROUNDNUT,178   1
ask for groundnut fungiside information,suggest: spray with bavisitn 20mlpump
FARMER ASKED QUERY ON FERTILIZER MANAGEMENT IN GROUNDNUT,RECOMMENDED TO APPLY GYPSUM -200 KG PER ACRE
plant growth,multi 5 grams liter water
Asking about  Groundnut basal fertilizer application,:       : DAP 10    25
FERTILIZER SPRAY FOR GROWTH on groundnut,-
Asked about Weed management in  groundnut,--Suggested to Spray 2 4 d 2gl
Asked about root rot management in groundnut,:       :      2
ASKED ABOUT ATTACK OF TIKKA  ON GROUNDNUT,-  - -45  30
TELL ME ABOUT   COLLAR   ROOT DISEASE   CONTROL IN   GROUNDNUT,250
Farmer asked about weed management in groundnut,15
Asking about Leaf eating caterpillar control in Groundnut,:       : 2
ask about fertilizer in ground nut,BASAL DOSE - AMMONIUM SULPHATE  80KG  SSP 150KG
TELL ME ABOUT INSECT CINTROL IN GROUNDNUT,15
TELL MEPLANT PROTECTION IN GROUNDNUT,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER
herbicide in ground nut at 15 DAS,herbicide in ground nut at 15 DAS-Imazethapyr-250ml per acre
FERTILISER APPLICATION,APPLY DAP 34KG UREA 4KG AND POTASH 26KG PER ACRE
CATERPILLAR IN GROUND NUT,RECOMMENDED TO SPRAY PROCLAIM 90GRAMS PER ACRE
groundnut pod borer,recommended plithora 350mlacre
ASKED ABOUT TO IRRIGATION IN GROUNDNUT,15
tikka diseases control on groundnut crop,you can spray redomil gold 30 gram pamp water use for tikka diseases control on groundnut crop
Asked about  root rot and stem rot management in groundnut,:         :   1    1    25
FLOWER DROP,PLANOFIX 1ML5L
Asked about leaf caterpillar management in groundnut,:    : :      1          10      3
seed treat treatment,beej captan se upcharit zaroor kere
Asking about pesticide spray after irrigation in groundnut,:     : :       15
TELL ME ROOT ROT CONTROL IN groundnut,SPRAY OF CARBENDAZIM 2 GM PER LITER WATER
information regading varities of moong phali,punjab moonphalli-1 haryana moong phalli -1
TELL ME  CONTROL OF WILT DISEASE,USE TRICHODERMA 25 KG PER 100 KG FYM
Shoot Borer Attack,Spray monocrotophos 15ml15 Lit of Water
ask for water in g nut,water applu 15 to 25 day interval
TELL ME DISEASE CONTROL IN GROUNDNUT,50  WP 1
SURALI PUCHI,PROFINOPHOS 2MLLIT
Asked about Root rot disease management for Groundnut,:      :    25  1
herbicides in ground nut,DONT SPRAY ANY WEEDICIDE
TELL ME SEEDS RATE IN GT NUT,80-90 KG  HASEEDS RATE IN GT NUT
leaf spot on groundnut,kocide 20 gm 15 ltr water
asked about caterpillar management in groundnut,:     :  3  1
TELL ME ABOUT WHITE GARB CONTROL IN GROUNDNUT,20   4
TELL ME TERMITE CONTROL OF GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
Groundnut top dressing fertilizer management,Recommended for apply gypsum 80 kg  ac
asking for Leaf miner in groundnut,RECOMMENDATION- Quinalphos 25 EC -  2 ml
Asking about Wilt management for groundnut Continuous rain,:          :   1  25
TELL ME DISEASE CONTROL IN GROUNDNUT,SPRAY OF MENCOZEB 2 GM PER LITER WATER
mugfali ka seed rate kya he,90-95 kghac beej dalia
Asking about suitable soil type for groundnut cultivation,:       : :
TELL ME WEATHER INFORMETION OF BHARTAPUR,NO RAINFALL NEXT FIVE DAYS OF BHARTAPUR
Basal fertilizer management for groundnutBasal fertilizer management for groundnut,recommended for apply DAP 5Okg  gypsum 75 kg ac
TELL ME ABOUT WEATHER INFORMATION,NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT FOG WITH HAZY
Ask about yellowing growth  problem in groundnut,25
Farmer asked about fertilizer dose in Groundnut crop,-        -
TELL ME DIMAK CONTROL OF GROUNDNUT,SPRAY OF IMIDACHLOPRID 175 SL 05 ML PER LITER WATER
ground nut variety,tag 24western 51 ya bhumugachi lagvad karavi
Asking about nutrient management in groundnut,:          :
ASKED  ABOUT INSECT CONTROL IN GROUNDNUT,178   1
GROUND ROOT ROT,RECOMMENDED TO DRENCH  COPER OXY CHLORIDE COC  3 GMLIT OF WATER
farmer need information about groundnut variety,recommended jl- 501
use of sulpher in oilseeds,it increases the oil  of seed
ask for gnut thrips control,I suggested to sprey fipronil 20 mlpump
attack of thrips on ground nut,Spray Neem Solution 15 ml10 Liter of Water
TELL ME WEED CONTROL IN GROUNDNUT,USE QUINOLFOS 5 G 25 KG PER HA IN SOIL FOR CONTROL OF WHITE GRUB IN GROUNDNUT
groundnut pod borer management,90    150
Information about the first top dressing fertilizer application in Groundnut,20    5   90
ROOT ROT IN GROUNDNUT,ROOT ROT IN GROUNDNUT- RECOMMENDED TO SPRAY SAAF MANCOZEB  CARBENDAZIM 2G PER LITER WATER
ask for weed management in gnut,I suggested to hand weeding
GROWNTNUT ME GROWTH,NPK KA SPRAY KREIN
TELL ME ABOUT INSECT CONTROL IN,178   1
moongfali  me sudi lgi hai,quinalphos 25 ec  125 liter  hectare ka spray kare
