QueryText,KccAns
asked about groundnut varieties,groundnut varieties-- -
TELL ME VARITY OF RADISH,PUSA CHATKI VARITY
TERMITE CONTROL IN GROUNDNUT,USE  IMIDACLOPRID 178  SL 1 LIT HA WITH IRRIGATION FOR TERMTE CONTROL
amino acid ki matra care kitna prayo kren liquid me,kisan bhai amino acid 2 ml liter ki dar se sprey kren
weedicide in groundnut,weedicide in groundnut - spray for imajithaper 2 gm lit of water after 20 days of sowing
Asked about Sucking pest management in Groundnut,Suggested to Spray Dimethoate 30 EC  2 mllit water
Farmer asked Spotted bollworm problem in  GROUNDNUT crop,EC
farmer want more information about groundnutblack Gram sowing time,-
aphids,dimethoate 15mllitre
WEEDS IN GROUNDNUT,RECOMMENDED TO SPRAY TARGA SUPER 2ML1 LITRE WATER TO CONTROL WEEDS IN GROUNDNUT AND SPRAY FANTAC PLUS 1ML2 LITRES WATER FOR GOOD POD FORMATION
Farmer asked Army worm Problem in groundnut crop,SC               SC
Information regarding control of fungal disease in groundnut,Broadcast 800 gram bavistin mix with 15 kg sand  per acre
Dose of Imazathapyr 10SL,Dose of Imazathapyr 10SL - Recommended to apply 1ml per litre of water
FARMER ASKED ABOUT WEATHER HE CAN MIX NATIVO AND NUTRIETS MIXTURE,SUGGEST HIM TO DO JAR TEST
Ground nut Nutrient management,Apply ZIMPSUM 200 KG PER ACRE by irrigation
pest control of gronudnut,DRENCHING OF CARBENDAZIM 250 PER BIGHA   IN ROOT ZONE
Gypsum dose in Ground nut,Advised to apply Gypsum 100 kg per acre along with basal dose of fertilizers in Ground nut
Tobacco caterpillar in groundnut,Recommended for Spray quinalphos 25 EC 2ml  lit of water
Farmer asked weed control in Groundnut crop,- 5 EC 25 -30
yellowing,m-45 spraying
sucking pest  attack in groundnut,recommended for the spray   Imidacloprid 05mllit of water
ROOT ROT IN GROUNDNUT,SPRAY SAAF  2G  PLANTOMYCIN 1G PER 1LTR WATER
Asking about groundnut leafminer managment,:    : :       2
ATTACK OF SUCKING PEST,Spray Oberon 15 ml15 Lit of Water
PLANT PROTECTION CHEMICALS,COC SPRAY
sucking pests on groundnut,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML 200 LITRES OF WATER  ACRE
asking about weather information,possibility of light rainfall in 15 june
ATTACK OF BLIGHT,SPRAY CONFIDOR   ASTRA 5 GRAMS BAVISTIN  30 GRAMS IN 15 LITER OF WATER
Asked about Root Grub management in Groundnut,:       :    1   20
LEAF SPOT IN GROUNDNUT,LEAF SPOT IN GROUNDNUT - SPRAY RIDOMIL  25 GM  LITRE WATER
moongfali ki patiyo me keede lge hai,quinalphos 25 ec  15 literha ka spray kare
Asking for water management in Groundnunt,Give as per requirement
Asking about suitable groundnut varieties in Purattasipattam,:     : TMV 7 VRI 2 VRIGn 6TMVGn 13
Ask for white grub problem,suggest:foret 10 G 30 kg per ha and to apply  suggest:carbofuran 3G
Asking about leaf miner in groundnut,Recommended for spray Dimethoate 2ml  litre of water
Farmer asked query on Weather,32        6
Groundnut tobacco caterpillar control,Recommended for spray Thiocloprid 2 ml  litre of water
herbicide application,spraying of emazethaypaer 20 ml  15 liter water
farmer want to know information about how to control white garm pest in Groundnut crop,spray in chloropyriphas 50 ml15 liter per pump
FARMER ASKED QUERY ON NUTRIENT  MANAGEMENT IN GROUND NUT,RECOMMENDED TO CALCIUM NITRATE -25 TO 50KGACRE IN GROUN NUT PEGGING STAGE
TELL ME WEATHER REPORT AJMER,LIGHT RAIN MAY BE AFTER 2-3 DAYS
ASKING ABOUT NUTRIENT MANAGEMENT OF GROUNDNUT,-    -
termite control,drenching cloropyriphos 25 mlpump
FARMER ASKING ABOUT ATTACK OF RUST ON GNUT,:
Asking about groundnut Micro nutrient deficiency,:       :    5
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,-- 145   1
groundnut gypsum  dosage management,groundnut gypsum  dosage management : recommended for apply 2 quintals acre
Asking about Leaf caterpillar management for Groundnut,:       : 2  1
LEAFEATING CATERPILLAR IN GROUND,RECOMMENDED TO SPRAY CHLORIPYRPHOS 500 ML PER ACRE
TELL ME ROOT ROT OF GROUNDNUT,USE OF CARBENDAZIM 250 GRAM PAR BIGA
how to control termites of groundnut crop,Recommended for Chlorpyrifos 20  EC 750 mlacre mixed with sand and dusting
fungus attack on ground nut crop,drenching of bavistine 30 gm15 liter water
FARMER ASKED INFORMATION  ABOUT SEED TREATMENT TO GROUNDNUT,-
Farmer asked Larvae control information of groundnut,ZC
Miner Nagali Attack-,Abacin- 5  15
Farmer asked query on Weather,:                        I
Asked about  weed management for Groundnut,:             :     8  10
Leaf spot in groundnut and leaf roller,recommended for spray of profenophos and bavistin at the rate of 2 ml and 2 gram in 1litre of water
plant protection,2   80      2
larval pest in brinjal,quinalphos 30 mlpump
water management groundnut crop,5 days later
WEEDS IN GROUNDNUT,RECOMMENDED TO APPLY DINAMAZ  18ML IN 15 LITRES WATER TO CONTROL WEEDS IN GROUNDNUT
GROUND NUT NUTRIENT MANAGEMENT :,GROUND NUT NUTRIENT MANAGEMENT :UREA-9 KG ZYPSUM -200 KG PER ACRE
EARLY LEAF SPOT I GROUND NUT,RECOMENDED DOSE OF SAAF 2GM1LIT WATER SPRAY
MOOngphali  sukha rahi hai,carbendazim 1 gm imidachlorpid 1ml liter pani ke dar se spray kare
Asked about Deer management in groundnut field,:    :  - 1   50
ask for  larva problem iyal,suggest:neem oil 40 mlpump sprey
TELL ME INSECT CONTROL  IN GROUNDNUT,5   1
ASKING ABOUT SEED  SPACING  FOR GROUNDNUT CROP,-
Groundnut tobacco cutworm,recommended for spray Profenophos 2 ml  litre of water
FARMER ASKED QUERRY ABOUT WEED MANAGEMENT IN GROUNDNUT,-
FARMER ASKED QUERY ABOUT CAN HEXACONAZOLE AND 13-0-45 MIXED AND SPRAYED IN GROUNDNUT,RECOMMENDED TO SPRAY  HEXACONAZOLE AND 13-0-45  SEPARATELY IN GROUNDNUT
asked about harvesting time for groundnut,When the crop is ready leaves become yellow The shape of the legume becomes firm and the inner part of the legume of the legume is seen in black
powdery mildew in ground nut,DINOCAPKERATHANE 400 ML PER ACRE
asking about groundnut leaf miner management,recommended for profenophos 2 ml 1 litre of water
Farmer asked fungus control information of Groundnut crop,WP  25
Information regarding  control of termite in Groundnut,15    20
Asking about groundnut sowing information,:    :
farmer asked query on wild boar management in groundnut,Usage: Mix 500ml Ecodon in 40 litres of water to make a solution Dip a jute or cotton rope into this solution and tie it around the farm or garden Spray plain water onto this rope once in a week in order to retain moisture Wild pigs and rodents will run away unable to withstand the smell of Ecodon solution
GROUNDNUT WEED MANAGEMENT,RECOMMENDED TO HAND WEEDING BEST METHOD
TELL ME TIKKA DIS CONTROL IN GROUNDNUT,SPRAY OF MENCOJEB 2GM PAR LITAR WATER
ground nut red catterpiller,QUINOLPHOSEKALUX FLASH DHANULUXQUINGUARD 400 ML PER ACRE
VARIETY,SB 11 TAG 24
INSECT CONTROL IN GROUNDNUT,DIMITHOET 2 MLLITER WATER SPRAY
groundnut variety,groundnut variety--tag-24phule pragati tg-26
fertilizers  in  ground  nut,apply   gypsum  potash
TELL ME CONTROL OF FLOWER DROPING IN GROUNDNUT,SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER
Farmer needs information regarding weed management of groundnut crop,5     pre-emergence
Farmer asked fertilizer dose in groundnut crop,100
NUTRIENT MANAGEMENT IN GROUNDNUT,NO NEED OF APPLYING CALCIUM IN GROUNDNUT CROP
TELL ME DISEASECONTROL IN  GROUNDNUT,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
TERMITE IN GROUNDNUT CROP,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
Asking about groundnut top dressing fertilizer management,Recommended for apply gypsum 100 kg  acre
ground nut pre emergence herbicide,RECOMMENDED TO SPRAY PENDIMETHALINSTOMP 1-125 LITREACRE
Asking about weed management  in sugarcane,:
Ask about larva in groundnut,SC
Aswini management in groundnut,recommended for spray of Roger 2 ml in 1 litre of water
SEED TREATMENT FOR GROUNDNUT,RECOMMENDED TO APPLY CARBENDAIZM 3GM PER 1 KG SEED 5 DAYS BEFORE SOWING
Asked about soil health increase information for cultivable land,:       :
Asked about  groundnut leaf eating  caterpillar management,Recommended for Spray Thiamethoxam 25 WG Actara4 g  10 lit of water
asking about groundnut fertilizer management,recommended for apply gypsum 75 kg borax 4 kgacre
asking about Groundnut foliar application,Recommended for groundnut foliar spray TNAU Groundnut rich 2kg  ac  200 litre of water
Farmer asked Fertilizer dose information of Groundnut crop,l          ---
TELL ME WEED CONTROL IN GROUNDNUT,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
ASKING ABOUT THE CONTROL OF STEM ROT IN GROUNDNUT,SPRAY   THIOPHANATE METHYL 70 WP  1 GM    LIT OF WATER
Farmer asked fungus in root control information of  Ground nut,WP
Farmer asked Varieties information of Ground nut 32 crop,:-  :-  -   -  -  -    :-  -  -  -
Information About Weed Control in Groundnut Crops,15  20
farmer asked about gap should be given between pesticide application and irrigation to the crop in groundnut,recommended to give irrigation after 2-3 days of pesticide application
Due to sucking the sap curling of leaves and development of sooty mold,Spray Dimethoate 30 EC  2mllit water
Asking about panchagavya spray dose for groundnut,Recommended for spray panchagavya 15-30 mllitre of water
tell me pest control in groundnut,pest control in groundnut imedacholoropide 5 ml per litre water spray
TELL ME ABOUT INSECT CONTROL IN GROUND NUT,15
Ask about Fertilizer application in Ground nut crop,-
TELL ME  ROOT DISEASE CONTROL IN GROUNDNUT,DRENCHING CARBENDAZIM  250 GM PAR BIGHA WITH IRRIGATION
Asked about Pesticide spraying time information,:           : 8-11    3-6
ASKED ABOUT TO DISEASE CONTROL IN groundnut,50     3
Farmer asked query on Weather,5                  25
farmer ask about yellowing leaf in groundnut crop,10  12
Asking about foliar spray for plant growth regulator in ground nut,Recommended for spray Ground nut rich 2 kgac
Leaf Eating Caterpillar,Spray Chloropyriphos 30ml 15 lit of water
how to control weeds in ground nut,use hand weeding
TRICHODERMA SEED TREATMENT,RECOMMENDED TO SEED TREATMENT WITH 4 GRAMS TRICHIDERMA KG SEED
pest control of groundnut,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
leaf eating catterpillr in ground nut,spray chloropyriphos 2 ml in 1  litre of water for leaf eating catterpillr in ground nut
TELL ME ABOUT DISEASE CONTROL IN PEANUT,2
askign about groundnut top dressing fertilizesr,recommended for apply gypsum - 75 kg  borox - 4 kg acre
mungfali me sundi lag rahi hai,aap monocrotophas 36 ki dawa ko 2 ml prati liter pani ke sath chidkaw kare
Farmer wants to know information about how to control sucking pest in groundnut crop,Recommended for spray imedachlorprid 5-7 mlpump
Asked  about Basal application of Micronutrient for Groundnut,:      : 45      5   20
aphids,confidor 20 ml15 ltr water
Weather Information District Mahoba,You are likely to get light showers from today to July 15
ask about irrigation information in ground nut,-    -    -     -    -        -
termittee in groundnut,Cloripayriphas 20 EC  3-4 lithec prayog kare
VARIETIES OF GROUNDNUT,SOMNATHGIRNAR-1
mungfalli mai keeda laga hai,Apply QUNOLPHOSE  15 ML Lt of water
ask for groundnut  larva  information,suggest: spray  quinalphose 20mlpump
Asking about groundnut foliar spray,Recommended for groundnut rich 2 kg 200 litre of water
asked about root grub management in groundnut,:       :   1  20      1
TELL ME WHITE GRUB CONTROL IN groundnut,CHLOROPYRIPHOSE 20 EC 1 LITTER   BIGHA WITH  IRRIGATION  WATER
pest control of groundnut,DRENCHING CARBENDAZIM  250 GM PAR BIGHA WITH IRRIGATION
TELL ME WEATHER INFORMATION OF JALOR,RAINFALL 30 MM NEXT FIVE DAYS OF JALOR
varieties of groundnut,varieties of groundnut - sb 11 modern 45 phule unap  phule vyas phule pragati
attack of root borer,thimate 3 kg per 20 R
farmer ASKED ABOUT WILT ATTACK on groundnut crop,-    30      30
FARMER ASKED ABOUT ATTACK OF APHIDS ON GROUNDNUT CROP,-      -10
TELL ME CONTROL OF POD ROT IN GROUNDNUT CROP,DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION
Information regarding improved varieties of nubgphali crop,varieties of nubgphali-haryana mungphali no-4punjab mungphali no-1
Farmer want to know about seed rate of Groundnut crop,-     100          80
groundnut top dressing fertilizer,apply gypsum 150 kg  acre
farmer asked about variety of groundnut,- -
LEAF SPOT IN GROUNDNUT,SPRAY SAAF 2GMLIT TWICE AT 7DAYS INTERVAL
ASKING ABOUT VARIETIES OF GROUND NUT,VARIETIES OF GROUND NUT-DAPTARITAJ 24TG 26
TELL ME POD BORAR IN GROUNDNUD,SPRAY OF PROFENOFOS  CYPERMETHRIN 15 ML PER LITER WATER
farmer asked query on spraying of insecticide and fertilizer application,recommended to spray insecticide and application of fertilizer separately
leafs changed curl,recommended removal of moisture conditions
Groundnut seed rate,Recommended for 50 kg acre
root rot in ground nut,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER
TELL ME WEATHER INFORMATION,NO RAIN POSSIBILITY IN NEXT 2-3  DAYS
Asking about Foliar spray for Groundnut 70 days plant-pod formation,:        70   -    : 70
Groundnut-Caterpillar,Chloropyriphos  20ml 10lit
Ask about groundnut information,10      15
FARMER ASKED ABOUT ATTACK OF SUCKING PEST ON GNUT,-   25 -5
plant protection,alumnium phosphade tablets
TERMITE CONTROL IN GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN GROUNDNUT,RECOMMENDED TO  APPLY GYMSUM 200KG ACRE
ask for groundnut top dreesing information,suggest: apply asp with irrigation
sucking pest attack,Spray Rogar 15ml15 Liter of Water Dimethoate-Cheminova
Asked about tobacco caterpillar management in groundnut,:     :   10     4
TELL ME THRIPS IN GROUNDNUT,SPRAY OF ACETAMIPRID 20 SP 05 GM PER LITER WATER
CATERPILLAR ATTACK,Spray Quinolphos 30 Ml15 Liter Of Water
TELL ME FUNGUS PROBLEM IN GROUNDNUT,DRENCHING OF CARBENDAZIM 250 GM PER BEEGHA
season for groundnut,dec 15
gnut  fertuilizer information,12 kg dapvigha
Farmer asked about revelant of Moth,Use light trape
Ask about variety information in Groundnut crop,-2 TAG -37 TG -24
SUCKING PEST IN GROUNDNUT,RECOMMENDED TO SPSUCKING PEST IN GROUNDNUT RAY TATAMIDA 1ML 3 LIT WATER FOR CONTROL OF
mungfali ki pattiyan peeli hokar sookh jati hain,cartap hydrochloride 4G 6-8 kilo gramacre ki dar se khet me bikheren aur carbendazim 2 gram  imidacloprid 1 mllitre paani me milaakar spray karen
Asking about KADHIRI lepakshi groundnut variety,:       :    2500
Attack of White Grub on groundnut,White Grub on groundnut-Use Fertera 4 kg acre
Asking about leaf curl virus management for groundnut,:       :   05  1
Asking about Root rot management in groundnut,:      : :   2 1
farmer want to know information about increase  production of groundnut crop,--              -
ask about sucking pest in ground nut,I suggested to spray dimethoat 15 mlpump for sucking pest in ground nut
TELL ME  DISEASE CONTROL IN  GROUNDNUT,05
FARMER ASKING ABOUT VARIETIES OF GROUNDNUT,- -  -      -    -  -  -     -
groundnut root rot,saaf 2gmltr
Moongfali ke patton par sundi lagi hai,Quinalphos 25 EC  2 ml  litre pani ke sath spray karen
Asking about leaf miner management in groundnut,Recommended for profinophos 2 ml 1 litre of water
attack of aphids and rust on groundnut,spray supar confidor 6 ml  saaf 20 gm  15 liter of water for controlling aphids and rust on groundnut
attack pest,Spray Tilt  score  kavach 30gm15lit of Water
Late leaf spot in groundnut,recommended for spray Chlorothalonil 2mlteepol 1mllit of water
wilt,bavistine  humic acid drenching
Asked about to   DISEASE CONTROL IN peanut,50   250
Farmer asked termitewhite grub control information of Groundnut Crop,350
GROUND NUT TOBACCO CATRPILLAR,RECOMMENDED CLORPYRIPHOS 400MLACRE
TERMITE ATTACK IN GROUNDNUT,RECOMMENDED APPLICATION OF PHORATE 10 G  5-6 KG PER ACRE OF LAND
asking about Stem rot control in  groundnut,recommended for soil drench with carbendazim 2gmliter of water
Dose for apply of furadon,Recommended to apply furadon 10kgacre
late tikka leaf spot management in groundnut,recommended to spry mancozeb m-45 600 gramsacre
Asking about leaf spot and leaf blight in groundnut,:         :     2
TELL ME weedicide in groundnut,NO WEEDICIDE IN GROUNDNUTHAND WEEDING
FARMER ASKED ABOUT FERTILIZER DOSE FOR GROUNDNUT,- -     50
want to know about weather report information,cloudy Weather rain and drizzles in the date of july 11 to july 16
ASKED ABOUT VARIETY OF GROUNDNUT,-     24   44
LEAF EATING CATERPILAR,CHLOROPYRIPHOS 2MLLIT
Farmer asked about sucking pest attack on Ground nut crop,-
CONTROL TIKA DISEASE OF GROUNDNUT,SPRAY MANCOZEB 75 WP 2 GM PER LITER WATER
Farmer want to know that information about control of root grub in groundnut crop,03 6
Asked about groundnut intercrop in tapioca 8 days ago can i spray any weedicide,:       8    :
TRICHODERMA USE,used as seed treatment and it acts as antogonistic fungi on soil borne and seed borne diseases
Information about control of  pod borer in groundnut crop,Cartap Hydrochloride 4 GR 08-10
Asked about leaf roller in groundnut,Recommended for spray CartapHydrochloride 50  SP 15 ml  litre of water
GROUNDNUT SUCKING PEST,Spray Dimethoate 30 EC  17 mllit water
GROUND NUT HELICOVERPA,RECOMMENDED TO SPRAY   Monocrotophos 400 ml  acre
groundnut disease,saaf 3gm per liter water
Gram pod borer in Groundnut,recommended for spray indaxocarb 15ml neemoil 3ml  teepol 1mllit of water
TELL ME APHID CONTROL IN MOONG,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER
TELL ME ABOUT INSECT CONTROL IN GROUNDNUT,SPRAY OF PROFENOFOS 15 ML PER LITER WATER
Farmer asked query about disease management,Crop rotation and seed treatment with Tebuconazole 1g per litre
Asking about spacing for groundnut,:     : :   30      10
variety of groundnut,Chandra chitra kaushalprakash Type 64
Farmer asked query on Weather,31       23
Farmer asked query on Weather,5                           35    28
ground nut leaf holder,chloripyriphas2mllit water
tell me disease controal of groundnut,spary of karbendaje 2gmliter water
Farmer asked about aphid problem in groundnut,EC 30
TELL ME ABOUT SEED TREATMENT IN GROUNDNUT,-- 50   2
fertilizer for ground nut,urea 25 kilo  sulphure 10 kilo ekar
asked about weed control in groundnut,weed control in groundnut- spray goal weedicide
TELL ME WEATHER INFORMATION OF JALOR,NO RAINFALL NEXT FIVE DAYS
Ask about control of whitefly in groundnut crop,SP
ground nut eating caterpillar,RECOMMENDED TO SPRAY lamda cyhalomethrin karate300ml per acre
Leaf roller in groundnut,Recommended for spray profenophos 2 ml  litre of water
Asking about Leaf eating caterpillar control in Groundnut,:       :  2
Groundnut leaf miner,Recommended for spray profinophos 2 mllit of water
LEAF CURL ON GROUNDNUT,LEAF CURL ON GROUNDNUT  - ACTRA 5 GM  REDOMIL GOLD 30 GM 15 LITER WATER SPRAY
WHITE GRAB IN GROUNDNUT,BAVISTIN 300 GRAM PER BHIGA
Information about control of damping off in groundnut cop,Metalaxyl-8  Mancozeb-64 WP 2
disese control in groundnut crop,kisan bhai aap moongfali me mecozeb 2 gramliter pani me ghol banakar chidcaav kare
Asked about pest management in Ground nut,--Spray Dimethoate 30 EC  17 mllit water
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT CROP,5 Boll worms Pod borer Fruit  Shoot Borer   05
Basal fertilizer management for groundnut,Recommended for apply DAP 50 kg  gypsum 80 kgac
variety,tag -24  daptari tg - 26
top dressing for groundnut,apply 15 kg urea  40kg potash acre
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT,-   -      -    -  -  -     -
VARITIES OF GNUT,VARITIES OF GNUT - SB- 11  TAG-24
TELL ME TRIKKA DISEASE CONTROL IN GROUNDNUT,TRIKKA DISEASE CONTROL IN GROUNDNUT SPRAY OF ACIPHET MANCOZEB 2 GRAM PER LIT WATER
FARMER ASKED ABOUT CONTROL OF SUCKING PEST ATTACK IN GROUND NUT CROP,-
WEEDICIDE,ROUND UP
Ask about fertilizer Dose,DAP Diammonium Phosphate18460
ground nut,fertilizer apllication
ASKED ABOUT TO DISEASE CONTROL IN GROUDNUT,12   63    2
Asking about Suitable groundnut variety for erode district Margazhipattam,:          :  8
Ask about bud necrosis control in information,SC
moongfali ki variety bataye,chitra Chandra Type-64 aur kousal ye moongfali ki variety hai
FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN GROUNDNUT,RECOMMENDED TO SPRAY CALCIUM NITRATECN- 1KGACRE200LIR OF WATER
Farmer asked seed treatment of white grub control in ground nut,SLFS  mili
Asking about Red Hairy caterpillars management in groundnut,Recommended for spray chloropyriphos 2 mllit of water
ASKED ABOUT TO CONTROL OF WHITE GRUB IN GROUNDNUT CROP FIELD,5  25
tell me crown rot in groundnut,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
for controlling Caterpillar infestation in Ground nut,Recommended to spray Emamectin Benzoate 5SG  6gm per 15 liter of water for controlling Caterpillar infestation in Ground nut
ASKED ABOUT TO INSECT CONTROL IN  peanut,25   4
Farmer asked fungus control information of  G NUT CROP,SC
wilting,spray bavistin 30gm15liter watter
CONTROL OF STEM  ROT IN GROUNDNUT,WP
asked about sucking pest in gnut,10    10
FARMER ASKED ABOUT SPACING IN GROUND NUT CROP,-
Ask about blank pod in chick pea and ground nut CROP,100
Farmer asked query on Weather,31            16
GROUNDNUT ROOT ROT MANAGEMENT,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER
Asking about dose of Beauveria bassiana  115 WP in groundnut,Spray Beauveria bassiana  115 WP6 glitre of water
FARMER ASKED QUERRY ABOUT SUCKING PEST ATTACK IN GROUNDNUT,-
Asked about plant protection in ground nut,50
weed management in ground nut  40 DAS,recommended not to spray any weedicide at this time
Asked about groundnut foliar application,:       : :       2
GROUND NUT FERTILIZER MANAGEMENT,RECOMMENDED TO APPLY UREA 25 KG  GYPSUM 200 KG ACRE
tell me weather information of jalor,not rainfall next five days of jalor
FARMER ASKED ABOUT THE CONTROL OF INSECT IN GROUNDNUT,5  SG   05    1
FARMER ASKED ABOUT SUCKING PEST ATTACK CONTROL ON GROUNDNUT,-    - 7
Asked about seed dormancy period for groundnut,:      : 2
ground nut growth,recommended to agro mini max 1kgacre
sowing season g nut,15 june to 7 july is best season of sowing
ground nut stem rot,recommended to spray copper oxy chloride 3gl of water
Asking about Can we mix Bio fertilizers with Gypsum,:        :
ASKED ABOUT INSECT CONTROL IN GROUNDNUT,20  05
TIKKA ON GROUNDNUT,TIKKA ON GROUNDNUT  - BLUE COPPER 30 GM 15 LITER WATER SPRAY
ask about sucking pest,I suggested dimethoet 20 mlpump
VERMICOMPOST RED MITES ATTAK,BASIC COPPER SULFATE
UPCHAR IN GROUNDNUT,2 GRAM KABANDAZIM PER KG 2 GRAM IMIDACLOROPRID PER KG
cater pillar,plethora 350mlacre
ASKING ABOUT CONTROL WEED MANAGEMENT OF GROUNDNUT FIELD,Imazethapyr 10 SL               -
Asked about groundnut seed treatment,Recommended for treat the seeds with Trichoderma viride  4 gkg seed or Pseudomonas fluorescens  10 gkg seed
TELL ME ABOUT WEED CONTROL IN GROUNDNUT CROP,30  25-3
ASKING ABOUT CONTROL OF CATERPILLAR IN GROUNDNUT,RECOMMENDED FOR SPRAY   CHLORPYRIPHOS 20 EC  25 ML   LIT OF WATER
Asked about growth regulators for Groundnut,--:     : :     2  200
TELL COLAR ROT CONTROL,PLS GIVE CARBANDAZIM-250GMBIGA
Root grub in Groundnut,Recommended to spray Fipronil 5SC Regent  2ml with 1 liter of water for control of Root grub in Groundnut
Ask about groundnut leaf yellow chlorosis problem,--150     15
Asked about how to check seed availability information,:      :
WHITE GURB IN GROUNDNUT,USE CARTAF HYDROCLOTRIDE 4 KILO PER BIGHA
Farmer asked Termite problem in peanut crop,5    100
Asking about weed management in intercrop of groundnut black gram and cowpea,:         :
TELL ME DISEASE CONTROL IN  GROUNDNUT  CROP,12   63    2
TELL ME ROOT ROT CONTROL IN groundnut,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
Asking about Panchakavya using quantity,:       :   5  1         5  1
TELL ME PEST CONTROL IN GROUNDNUT,PEST CONTROL IN GROUNDNUT PIROLINE 10 KG PER HA
groundnut thikka leaf spot,recommended to spray carbendazim 3 gram  liter water
fertilizer for ground nut,urea 25 kiloekar
Asking about aphids and tobacco caterpillar management in groundnut,:       :      2
Groundnut top dressing fertilizer application,Recommended for apply Borax 4 kg  gypsum 80 kg  acre
Asking about Water management for Groundnut,:      :
ground nut leaf eating caterpillar,RECOMMENDED TO SPRAY   Monocrotophos 400 ml  acre
GROUNDNUT VARIETIES,GROUNDNUT VARIETIES : K-6K-7K-9 NARAYANI THIRUPATHI GRESHMA ARE SUITABLE
ASKING ABOUT WEED MANAGEMENT GROUND NUT,Goal 20 ml oxyfluorfen15 liter of water-Dow Agro
groundnut mites,spray dimethoate 15mllit
peanut basal fertilizer,apply urea 25kgsp 85kgac
Asked about Metarhizium anisopliae application for Groundnut,:       :
groundnut me sundi lagi hai,Cartap Hydrochloride 4  8-10 Kilogramacre dava ka prayog kare
Ask about use fertilizer in summer Grounadnut crop,-
groundnut root rot control measures,RECOMMENDED TO SPRAY ACEPHATE ANTAF ARTIN LUCID   300 GRAMS PER ACRE RECOMMENDED TO SPRAY NEEMOILAZADINIMBICIDIN RAKSHAK 1 LITRE PER ACRE
TELL ME GROUNDNUT BLACK ROOT CONTROL,DRENCHING OF CARBENDAZIM 250 GM PER BIGHA
Ask about fertiliser in groundnut,Advise- 125-25kgNPha
asking about Groundnut TNAU foliar application information,:       :         2  200
Farmer asked query on Weather,23     30      8
