QueryText,KccAns
Ask about weather information,Suggested: Cloudy weather  Some possibilities of rain in next 2 days
UPCHAR IN GROUNDNUT,3 GRAM DENTOS  8 ML CLOROPIROPHOSE  2 GRAM RIZOBIUM CULTURE
Farmer asked Fall Armyworm problem in groundnut crop,Flubendiamide 3935 mm SC
ASKING ABOUT CONTROL OF WEED IN GROUNDNUT,APPLY CLODINAFOP PROPARGYL 15 WP  55 GM  BIGHA
Farmer asked about larvae problem in groundnut,SL          -
Asking about prevention of disease in groundnut,:        :       25
FARMER ASKED ABOUT ATTACK OF ANTS ON GROUNDNUT,:-
Ask about fungus insect and growth retardant in groundnut,SC  SG             EC
GROUND NUT STEM ROT,RECOMMENDED FOR 30 gr COPPOR OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER
Asked for the control of yellowish color of leaf,Apply the hirakashi powder  10gmof lemon powder in 10L of water
Asked about Groundnut rich application information,:      :      2   200
METALAXYL  2GLT,METALAXYL  2GLT
ask for groundnut fertilizer,sugg to gandhak 20 kghektar
CONTROL OF RED HAIRY CATERPILLAR IN GROUND NUT,RECOMMENDED FOR SPRAY  EMAMECTIN BENZOATE 5  SG  05 GM  1 LIT OF WATER
TELL ME BLACKROOT CONTROL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION
STEM ROT,COPPER OXYCHLORIDE 3GML
Attack of Leaf MinerNag-Ali Attack,Spray polytrin -c 20 ml15 liter of water
TELL ME INSECT CONTROL IN GRONDNUT,SPRAY OF THIOMETHOXAM 25 WG 05 GM  PER LITER WATER
Farmer asked weed control in crop,45  50
Termite attack in groundnut,Recommended to spray Chloropyriphos 20 EC  4 ml per 1 litre of water per 1 acre of land to control termite attack in groundnut
Asking about weed management in Groundnut,Recommended for hand weeding
FARMER ASKED VARIETIES OF GROUNDNUT,- -  -      -    -  -   -     -
VARIETY OF GROUNDNUT,KISAN JAWAMN STRIGHT VARIETY GROUNDNUT
Farmer needs information about variety of groundnut,- - - -  -20
Asking about water management in groundnut,: :  4  5
information regarding of weather condition,some clouds and NO chances of rainfall
Ask about use fertilizer information in Groundnut  crop,8-10
Fungas Attaik in Groundnut,Hexaconajole 05EC 20kg baalu me milaakar spray karen
TELL ME PLANT PROTECTION IN GROUNDNUT,SPRAY OF PENDIMETHILIN 30 EC 25-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION
TELL ME FUNGEL CONTROL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION
variety of summer groundnut,tag 24 sb 11
Ask about contact number of Gujarat state seed corporation limited - Veraval and Junagadh,-  -  -       -  -  -
Farmer need information regarding various measure for enhancing growth of groundnut crop,12                 100
Asking about leaf miner and sucking pests management in groundnut,Recommended for profinophos 2 ml acephate 1 gram 1 litre of water
ask about gujrat rajy bij nigam contact number,- -
ask about sucking pest,Suggested: Monocrotophos 36 scecsl 20mlpump spray
GROUNDNUT STEM ROT,RECOMMENDED TO SPRAY HEXACONAZOLE 400 ML PER LITRE OF WATER
VARIETY,TA 28 CHNDRA KOUSHAL AMBAR
Farmer asked about fertilizer dose in groundnut,--
groundnut basal fertilizer,Apply DAP 50 kg  gysum 50 kgac
FARMER ASKED QUERY ON AFTER SPRAYING HERBICIDE  HOW MANY HOURES RAIN DO NOT OCCURE,RECOMMENDED TO MINIMUM 5-6 HOURES
sucking pest in ground nut,spray imidacloprid 1 ml in 3 liter of water
TELL ME CONTROL OF GRUB,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
how to control  soot borer,spray immectin benzoate 15-20mlpump
asking about groundnut pest management in last stage,recommended for dont use insecticide at this stage
aphids in groundnut,Recommended for spray dimethoate 2ml  teepol 1ml  neemoil 3mllit of water
attack of root rot on groundnut,Spray Redomil Gold 30gm15Lit of Water
HERBICIDE FOR GROUNDNUT,HERBICIDE FOR GROUNDNUT - SPRAY TARGA SUPER 2 MILILITER IN 1 LITER WATER
Asked about Nutrient management in groundnut,Suggested to spray Sagarika 5 ml per liter of water for nut improvement
TELL ME ABOUT WEATHER INFORMATION,RAIN POSSIBILITY IN NEXT 3 DAYS AND CLOUD  SKY
Farmer asked fungus control information in groundnut,4    WP -
Ground nut top dressing,Recommended for Ground nut top dressing gypsum 75  borax 10 kgac
LEAF CUTTER IN GROUNNDNUT,RECOMMENDED APPLY TRIAZOPHOS 2MLLIT
ground nut  sucking pest pro,RECOMMENDED TO SPRAY DIFENTHIURONPOLOPEGASUS 300 GRAMSACRE
FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN groundnut,recommended to apply gypsum 200kg acre
APHID IN GROUNDNUT,hids Due to sucking the sap curling of leaves and development of sooty mold Spray Dimethoate 30 EC  17 mllit water
Asked about herbicide reaction time after spraying on weeds,:        :
FERTILIZER MANAGEMENT IN GROUND NUT,recommended to spray ferrous sulfate  20 grams per litre
ROOT ROT IN GROUNDNUT,ROOT ROT IN GROUNDNUT-SPRAY COPPEROXY CHLORIDE 3GM WITH 1GM PLANTOMYCIN IN 1LITRE OF WATER
farmer asked about thiomethoxam can mix with calcium nitrate,suggest to not mix and spray after 1 day
TELL ME WEATHER INFORMATION,TWO DAYS RAINFALL
TELL ME WEATHER INFORMETION,RAIN POSSIBILITY TODAY
Information about of Soil treatment in Field,1   25- 30
ROOT PROBLEM IN GROUNDNUT,DRENCHING OF CARBENDAZIM 2 KG PER HA WITH IRRIGATION
catter piller on ground nut,catter piller on ground nut - Sprey Profex Super 30 ml  15 lit of water
leaf miner in groundnut,spray profenophos 2ml  lit
Farmer wants to know about how to control of insect sucking pest in ground nut crop,178    6  7
Asking about control measures to be taken for Root rot in groundnut,:       :   1     20
ask for gnut fertitilaizer,suggest 12525npha
Farmer asked query on Weather,5                 20
ASKED ABOUT SEED TREATMENT OF GROUNDNUT CROP SEED,- TRICHODARMA VIRIDE  PSEUDMONAS FLUORESCENS
TELL ME IRRIGATION IN MUSTARD,IRRIGATION TIMELLY IN MUSTARD CROP
FOR INSECT CONTROLE,SPRAY OF ACEPHATE 75 2 GM PER LITER WATER
ask for groundnut growth information,suggest: spray humic acid 20mlpump
gram pod borer in groundnut,recommended for spray quinalphos 2 ml  neem oil 3 ml  wetting agent 1 ml  lit of water
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT CROP,-   -       -     -   -   -     -
ask about fungus problem in groundnut crop,SC -
Asked about Leaf miner management for Groundnut,:      : 15  1
Farmer asked Varieties information of Ground nut crop,:-  :-  -   -  -  -    :-  -  -  -   :
ask for sucking pest control in g nut,I suggested to spray dimethoate 15 milipump
asking plantaion method of groundnut,Plastic wrapping technique for groundnutThe temperature of the soil is 2 to 5 cm As the increase grows germination and initial growthWater evaporation decreasesDecrease in weed controlReduces the incidence of disease and pestsEarly sowing can be done during the winter season
TIKKA DISEASE IN GROUNDNUT,APPLY MANCOZEB  600 GRAM ACER FOR TIKKA DISEASE IN GROUNDNUT
WEED PROBLEM IN GROUNDNUT,NO WEEDICIDE
Farmer asked information about water management practices for groundnut crop,-          -                          -                         -
TELL ME CONTROL WEEDS IN GROUNDNUT,PLEASE ARRANGE THE LABOR AND REMOVE WEEDS IN GROUNDNUT
bhuemug lagwad,bhuemug lagwad-januari
STEM ROT,REDOMYL 25GML
seed rate,150kg
Farmer asked redmite Problem in crop,EC 35
g nut,g nut spray blitox 3gl
Information on controlling stem rot in Groundnut,-   50 WP 25
TELL ME TELLOWING CONTROL IN GROUNDNUT,SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
GROUNDNUT WHITE GRUB,GROUNDNUT WHITE GRUB :RECOMMENDED TO SPRAY PHORATE 10 G 6 KILOGRAM PER ACRE
asked about gnut fertilizer doses,10 15
Asked about ground nut root rot management,recommended for apply pseudomonas 1 kg  25 kg fym  acre
TELL ME APHID  LEAF MINOR CONTROL IN GROUNDNUT,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER
Weed Control in Groundnut,kisan Bhai nirai gudai karke khrptwar ko nikalen
Farmer asked Seed rate and Spacing information of Groundnut crop,17-20
white grub attack on groundnut,white grub attack on groundnut   Drenching of Chloropyriphos 40 ml  15 lit of water
Insect problem in Groundnut crop field,3  GR  8-10
groundnut varieties,groundnut varieties--tag 24sb 11westrandaftari
FERTILIZER FOR GROUNDNUT,FERTILIZER FOR GROUNDNUT   18:46 1 BAG ACRE
TELL ME WEATHER INFORMATION OF BUNDI DITST,NO RAINFALL NEXT FIVE DAYS
TELL ME INSECT CONTROL IN GROUND NUT,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER
ASKED ABOUT TO MICRO NUTRIENT MANAGEMENT,4 ML           4
ASKED ABOUT VARIETIES OF GROUNDNUT,VARIETIES OF GROUNDNUT:
insectb problem,spray chloropyriphos2mllit
foliyar spray in groundnut,recommended for spray groundnut rich 2kg200 litac
Control  of  Downy Mildew Late Blight Damping Off  of  Grapes Pearl Millet Potato Tobacco Vegetables,Spray of Metalaxyl-8  Mancozeb-64 WP Ridomil or UNILAX  30 gpump
TELL ME ABOUT WEATHER INFORMATION,NO RAIN POSSIBILITY IN NEXT 5 DAYS AND CLOUDY SKY
FERTILIZER MANAGEMENT IN GROUNDNUT,RECOMMENDED TO KEEP GYPSUM 200 KGS PER ACRE BEFORE FLOWERING PERIOD
asked about groundnut sucking pest,asked about groundnut sucking pestrecommended- lamda cyalothrin 05 ml per liter
Farmer asked weed control in Groundnut crop,30  2 EC        -  - -
ask about fungus problem in crop,Suggested: All information provided - Thanks for calling in kisaan call center
groundnut leaf spot,recommended spray of contaf 2ml litre in ground nut
farmer asked query on nematodes management in groundnut,--  10   10
asking for the leaf caterpillar in chillies,recommended for the spray of profenophos 2 ml in 1 litre of water
Leaf miner in Groundnut,Recommended for spray neem seed kernal extract 5ml  litre of water
GROUNDNUT SEED AVAILABLE,RECOMMENDED TO APPLY BLOCK ASST AGRICULTUR OFFICE FOR DETAIL INFORMATION
Ask about weed control in Ground nut crop,10 EC   25
Asked about nutrient management in groundnut,Recommended to apply gypsum after 2 months of sowing in groundnut
asking about aphids in ground nut,Recommended for spray Fipronil 2 ml teepol 1 ml litre of water
asked about better growth of Ground nut,spray taba 20 ml15 liter water
GROUNDNUT FERTILIZERS MANAGEMENT,RECOMMANDED TO APPLY UREA-18 KGS GYPSUM-200 KGS PER ACRE
groundnut sowing season and variety,April - May TMV 7 CO 1 VRI 2 VRI 3
APHIDS ATTACK ON GROUNDUT,Spray profenophos 30 ml 15 liter of water
GROUNNDUT nutrient management,AMBITION 250 ML PER ACRE
asked about irrigate crop,morning or evining irrigate crop 1 time
Asking about Groundnut basal fertilizer management,:      :  10     5
Farmer asked Variety information of Ground nut crop,-
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,-- 40   4    15
groundnut whitefly control,Recommended for Spray trizophos 2mllit
FARMER ASKED ABOUT TO SEED TREATMENT IN GROUNDNUT,48  1
Groundnut sesaon,Recommended for Groundnut season Anippattam June-July
CONTROL OF FOOT ROT IN GROUNDNUT,RECOMMENDED COPPER HYDROXIDE 77  2 GM  LIT OF WATER
ASKING ABOUT WEATHER FORECASTING OF MIDNAPORE DISTRICT,PARTLY CLOUDY SKY AND LIGHT RAINFALL MAY BE POSSIBLE
asking for weed management in groundnut at peg initiation stage,recommended hand weeding
farmer wants to information how to control caterpillar in groundnut crop,Recommended for use phorate or corbofuron 8-10 kg per acre
TERMITES  IN  GROUNDNUT,RECOMMENDED TO SPRAY CHLORPYRIPHOS 20EC 2ML1 LITRE WATER TO CONTROL TERMITES  IN  GROUNDNUT
weed in groundnut,plz do hand weeding
Tobacco caterpillar in groundnut,Recommended for spray Imidachloprid 40-50mlac
asking about fertilizer dose after 45 days,i have suggested nitrogenous fertilizers
ground nut growthing,recommended to multi k 1kgacre
Farmer asked Capsul borer Problem in groundnut crop,SC 7-8
ABOUT THE GROUNDNUT TOBACCO CATER PILLER MANAGEMENT,advised to spray CHLORIPYRIPHOS  500 ml per acre
Tobacco caterpillar problem in groundnut crop,recommended to spray choloropyriphos 500 mlacre
TELL ME ABOUT THE CONTROL OF WHITE GRUB IB GROUNDNUT,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
ask about fungus problem in peanuts crop,WP -
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT,-             -    -  - -
TELL ME BLACK ROOT CONTROL IN GROUNDNUT,USE CARBENDAZIM 400 GM BIGHA WITH IRRIGATION
ask for white grub prob in groundnut,Chlorpyriphos 30 ml  10 lit water
Ask about fertilizer in groundnut,2
Wild animals viz wild bores dear chital sambar blackbuck nilgai langoors and elephants,-
LAND PREPARATION OF GROUNDNUT SOWING,2BAR CULTIVATER SE AUR1 BAR HARROW SAY JUTAE KARKA PATA LAGAY
Asking about Groundnut Top dressing fertilizer application before earthing up,:      :  80    4
TELL ME ABOUT PEST CONTROL IN GROUNDNUT,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER
groundnut pest,imidachlopride at 05ml in 1 liter water
rate of gawar,NOKHA  GOWAR 4400
Farmer asked query on Weather,10-11
How to control white fly in Groundnut crop,Recommended for spray Imidacloprid confidor 178  SL 5-7 mlpump
TELLME FERTILIZER USE IN GROUNDNUT,22 KG SSP 2 KG CULCIUM DE DE
Farmer needs information regarding  Rust in groundnut,50    400          -          -         I
asking abt the wilt in ground nut,i suggest drenching of m-45
Ask about sucking pests control information in Ground nut,WG 5
CONTROL OF LEAF CURL IN GROUNDNUT,SPRAY DIMETHOATE 30EC  2 ML  LIT OF WATER
HOW TO CONTROL SUCKING PEST IN ground nut CROP,White fly and Aphids can be controlled by sprayingDimethoate 30 EC 2 mllit
FOR BETTER YIELD OF GROUNDNUT,ADD GYPSUM 50 KG  ACRE AT PEG FORMATION FOR BETTER YIELD OF GROUNDNUT
ASKING FOR THRIPS MANAGEMENT IN GROUNDNUT,SUGGESTED TO SPRAY DIMETHOATE  17 ML PER LITRE OF WATER
Information about weather forecast of Block Jaitpur in District Mahoba,33C    29C     7
ABOUT COLLAR ROT IN GROUNDNUT,DRANCHING CARBENDAZIM 1 KGHA WITH IRRIGATION
groundnut atac wilt,trikodarma3kg  par acar
ask about gnut,BASAL DOSE - AMMONIUM SULPHATE  80KG  SSP 150KG
ASKING ABOUT CULTIVATION OF GROUNDUT,KINDLY CHECKING THE SOIL
Complaint on new growth of groundnut seed,--                181
GROUNDNUT THRIPS MANAGEMENT,RECOMMENDED TO DIMETOATE 400 ML PER ACRE
ask about seed treatment in groundnut,I suggest 25 ml clorpiriphos per 1 kg and thairum 5 gm per 1 kg for seed treatment
WEATHER INFORMATION,KISSAN BHAI ES SAPTAH 19 MAY KO BUNDA-BAANDI KI SAMBHAVNA HAI TEJ BARISH KI SAMBHAVNA NHI HAI
WILT MANAGEMENT IN GROUNDNUT,RECOMMENDED  TO DRENCH COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER
groundnut thrips damage,recommended to spray pipronil 2 milli liter  liter water
Aphids attack in groundnut,Recommended for spray imidacloprid 04 ml  neem oil 3 ml  litre of water
TELL ME BACTERIAL BLIGHT DISEASE CONTROL IN GRUNDNUT,SPRAY OF COPPER OXICHLORIDE 45 GM  STREPTOCYCLIN 2 GM PER 15 LITER WATER
Asked about Plant Protection in Groundnut,To make one litre neem oil spray mix 5 mL neem oil 2 mL of liquid soap and 1 L of water Add the soap to the water first and then slowly stir in the neem oil
Farmer asked Army worm Problem in Groundnut crop,SC 7-8
root rot in groundnut,saff 2 gram  plantomycin 1 gram in 1 liter water
Asking about Groundnut Top dressing fertilizer application,:      :  80    4
ask about summer season groundnut variety and sowing time,-                                                                                                                            -  -    -
ATTACK OF SUCKING PEST on groundnut,ATTACK OF SUCKING PEST on groundnut - spray acetamiprid  7 gm  15 liter water
disease in ground nut,recommended carbadizium 1 gram per lit
Ground nut caterpillars control,Recommended for spray 2 ml  chlorpyriphos  lit of water
Attack of  Wilt MarDrenching,bavistin 30 gm humic acid 30 mlCopper Oxichloride-syngenta
Farmer asked query on Weather,:   -        : :             38  C    26 C     7
Ask about weed control in crop GROUNDNUT,41 SL   -
Asking about Micro nutrient mixture application for groundnut,:      :   5    20
Asking about groundnut leaf spot prevention management,:      :      5
Asked about rat management in groundnut field,:      :  2              100        2
WHITE CRUB IN GROUNDNUT,USE CARTAF HYDROCLORIDE 4 G 15 KG PER HA FOR CONTROL OF WHITE CRUB IN GROUNDNUT
Farmer wants to know about how to control fungal attack in Groundnut crop,50   45      1
ask about sucking pest,Dimethoate 10 ml  10 lit water
root rot in groundnut,recommended to apply saaf 2 gram  plantamycin 1 gram  1 litre of water spray
Groundnut Tobacco caterpillar management,Recommended for spray Dichlorvos 76 WSC 15 mllitre of water
FARMER ASKED ABOUT THE NUTRIENT MANAGEMENT IN GROUNDNUT,5     1
Asked about plant protection in Ground nut,Suggested to Spray Imidachloprid  05 mlltr of water
FARMER ASKED ABOUT VARIETIES OF GROUND NUT CROP,-      -  -
Farmer wants to know information about Growth Nutrient on Groundnut crop,-       -
TELL ME WEATHER REPORT IN NAGAUR,NO  RAIN POSSIBILITY IN NEXT 5 DAYSCLOUDY SKY
Asked about plant protection inground nut,Recommended to Spray SHARP SHOOTER Profenofos and Cypermethrin 10ml per lit of water for defoliators and sucking pestsRecommended to Spray Phosphamidon  05 ml per lit water  for defoliators and sucking pests
TELL ME TIKKA DISEASE CONTROL IN GROUND NUT CROP,SPRAY OF WETTEBLE SULPHUR 80 WDG 2 GM PER LITER WATER
Asking about Leaf miner Jassid and Early leaf spot management for Groundnut,:             : 15  2   1
yellow leaves,SPRAY MICROLLA 3015 LITER WATER
TELL ME SUBSIDY IN SOLOUR ENERGY,70  SUBSIDY IN SOLOUR ENERGY
Asking about Micro nutrient deficiency in groundnut,:       :     5
Farmer asked query on Weather,30    25
vatiety of groundnut,kisan ji Chandra AH-114 kausal ambar variety ki khetkar sakate hai
seed,jl-24 jl-220
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT,-  -   -    -  -  -
foliar spray for groundnut,recommended for spray Groundnut rich 2kgac200 lit of water
TELL ME ABOUT SPRAY OF SULPHURE GROUNDNUT,SPRAY OF SULPHURE 2GMLITER WATER FOR FROST SAVING
asking about Groundnut foliar application information,:        :    5
ask abt groundnut in fertilizer,10kg ammonium sulphatevigha to apply
Asking about caterpillar management in groundnut,:      :   15        3    1      1
ASKING ABOUT FERTILIZER DOSE,AVICE SOIL TEST AND CONTACT WITH LOCAL ADA
Information about weather,Kisan bhai aapke shetra mein 31 august 3 september aur 4 september ko bunda baandi ki smabhavna hai
how to control termite in groundnut crop,brodcast of chiloropyriphos  2 liter  2 liter water in 30 kg drysand  acre
Farmer asked about wilt control in groundnut crop,30  15
water,8 day after
TELL ME ABOUT WEATHER FORECAST,NO RAIN FAIL NEST 5 DAYSBUT CLOUD SKY
Farmer Asked sucking pests control information,SL 7-8
Ask about online application for seed purchase of groundnut and soybean,--                 http:jauinseeddist      - -    - -
Farmer asked miteredmiteant control information of in g nut crop,EC
ask groundnut plant yallowe,I suggested hirakashi 100 gram  10 gram limbu na full sprey
Asked about groundnut seeds availability vellore district,:       :
Asked about plant protection in Groundnut,Recommended to spray Mancozeb 2gramlitre
white grub of groundnut,Phorate 10 10 kilogram  ekar
Asking about leaf folder management in groundnut,Recommended for spray  Azadirachtin 3 ml  teepal 1 ml lit of water
Asked about Root rot management in groundnut and Mochai,:      : :  2  1
FERTILIZER DOSAGE,RECOMMENDED TO APPLY 9 KG OF UREAACRE
Sowing season for Ground nut,Recommended for season December -January
asking fertilizer doses after sowing of summer gnut at 35 days,i suggested to use can  40 kg per acer
weedicdes,2-4-d
varieties of groundnut,chndrachitraambarTG-37
TELL ROOT ROT CONTROL IN GROUNDNUT CONTROL,PLS GIVE CARBANDAZIM-250GMLITER WATER
TELL ME NUTRIENT MANAGEMENT,2
ASKED ABOUT TO WEED CONTROL IN GROUNDNUT,50          15
FARMER ASKED QUERY ON FERTILIZER MANAGEMNT IN GROUND NUT,RECOMMENDED TO APPLY 200 KG GYPSUMACRE
FARMER ASKED ABOUT FERTILIZER DOSE FOR GROUNDNUT,APPLICATION OF GYPSUM CALCIUM SULPHATE50 KG AT PEG FORMATION
Flowering time irrigation,At flowering give two irrigations
pest,Dicofol
Farmer asked query on Weather,17-18
weed management in groundnut,recommended for apply only hand weeding
asking about late leaf spot management in groundnut,recommended for mancozeb 2 gram 1 litre of water
Information about variety of groundnut,I
Ask about Fertilizer application in Ground nut,100    25
ask about fertilizer information in groundnut,--
ROOT ROT IN GROUNDNUT,SPRAY MANCOZEB  CARBENDAZIM SAAF2 GRAM  PLANTOMYCIN 1 GRAM PER 1 LITRE OF WATER
TELL ME STEM ROT CONTROL IN GROUNDNUT,SPRAY  OF CARBENDAZIM 2 GM PER LITER IN STEM ZON
Farmer asked seed treatment of fungus problem in groundnut crop,WP       Vitavax Power Dhanuka
PALLI VARIETIES,GROUND NUT VARIETIES KHADIRI K-7K-8
Asked about Top dressing fertilizer application for Groundnut,Recommended for apply Gypsum-80 kg  Borax-5kgacre on 45 th day after sowing
ground nut fertilizer management,recommended to apply urea 25 kg  gypsum 200kg acre
Asking about leaf spot management in groundnut,:       : :      2
TELL ME NUTRIENT MANAGEMENT IN GROUNDNUT,Mepiquat chloride 4
