QueryText,KccAns
Farmer asked query on Weather,:        :      -           - 28C   - 19C     8
Information about varieties of Groundnut Crop,-
GROUNDNYT SUCKING PEST MANAGEMENT:,RECOMMENDED TO SPRAY DIMETHOATE  2ML   LITRE OF WATER
Asking about Aphids and leaf eating caterpillar control in Groundnut,:        :  2
asking about stem rot control in groundnut,recommended for soil drench with carbendazim 1 gm  litre of water
TELL ME ROOT ROTE CONTROL IN GROUNDNUT,USE TRICHODERMA 25 KG PER 100 KG FYM
Ground nut,carbendazimmancozeb 2gmlitter of watermicrunutrient
Farmer asked query on Weather,12   15
GROUND NUT LEAF EATING CATERPILLAR,RECOMMENDED TO SPRAY SPINOSADTRACER SPINTER  CHARGE   75 ML  PER ACRE
variety of grnut,variety of grnut-phule vyas
WEATHER REPORT,MOSTLY CLOUDY
Asked about plant protection in groundnut,Dust Malathion 5 D  8 kgacre during morning hours
ASKING ABOUT CONTROL OF STEM ROT AND ROOT ROT IN GROUNDNUT,SPRAY   THIOPHANATE METHYL 70 WP  1 GM    LIT OF WATER
TELL ME ROOT ROT CONTROL  IN GROUNDNUT,-- 1
PEST CONTROL IN GROUNDNUT,EMIDACLOROPRID 178 05MLLITERA WATRE SPRAY
FARMER ASKED ABOUT INFORMATION OF GROUNDNUT CROP,15   15      -  -
Farmer asked Fall Armyworm problem in crop,ZC
ASKED ABOUT TO SEED RATE OF  GROUNDNUT,80-100
ask about variety of groundnut,:
TELL ME APHID CONTROL IN MOONG,SPRAY OF MONOCROTOPHOS 36 SL 2 ML PER LITER WATER
Fungicides Attack,Spray Redomil Gold 30 GM 15 LITER WATERMetalaxl-M-Syngenta
ASKED ABOUT TO FERTILIZER IN GROUNDNUT,130
Provide information about irrigation management in Groundnut crop,25  30
Asking about major nutrient deficiency in groundnut,:      :
ATTACK OF ROOT ROT ON GROUNDNUT,ROOT ROT ON GROUNDNUT -ALLIIATE 25 GM15 LITER WATER
Asking about groundnut top dressing fertilizer management,recommended for the fertilizer : urea 6 kg potash 12 kg acre on 20th days
Farmer asked query on Weather,:    -     : :              35 C    25  C     8
TELL ME MULTIPLAX MICRONUTRIENTIN GROUNDNUT,SPRAY OF MULTIPLAX MICRONUTRIENT 4 ML PER LITER WATER
groundnut fertilizer,urea rhizobium culture
TELL ME FIRST IRRIGATION IN GROUNDNUT,ABOUT 25 TO 30 DAS
GROUND NUT GYPSUM APPLICATION,RECOMMENDED TO APPLY 200 KILOGRAMS GYPSUM  1 ACRE
STEM ROT,SAAF
asking about Alternaria leaf blight management in groundnut,recommended for Mancozeb 2 gram  1 litre of water
-  -1,-  -1
WHITE GRUB CONTROL IN GROUNDNUT,WHITE GRUB CONTROL IN GROUNDNUT QUNALFALL 4 KG PER BIGHA
Asked about Weed management in groundnut,Recomended not  spray any weedicides after 20days after planting
Asking about foliar nutrient spray for groundnut,:        :    5      5    3    2
Asking about top fertilizer management for groundnut25th DAS,:     : :  6    12    25
leaf eating caterpillar in groundnut,spray spinosad 1 ml in 3 litre of water for leaf eating caterpillar in groundnut
TELL ME DISEASE CONTROL,1  5
Asked about plant protection in ground nut,Suggested to spray profex super 2 ml per liter of water
Farmer asked Larvae control information of  Groundnut,SC
Ground nut in leaf miner management,Recommended for spray Azadirachtin 3 ml teepol 1 mlliter of water
asked about tikka in gnut,-
ground nu late tikka leaf spot,RECOMMENDED TO SPRAY CHLOROTHALANILKAVACH DACONIL BRAVO  400 GRAMS PER ACRE
FARMER ASKED ABOUT FUNGAL ATTACK ON GROUNDNUT,30     30
Groundnut harvesting time information,70-80
groundnut root grub,RECOMMENDED FOR apply neem cake 20 kg carbofuradon granules 5kg sand 10 kgacre
fertilizer,give gypsum 25kg
Information about weather forecast of Block Jaitpur in District Mahoba,30C    26C     7
ASKING ABOUT WEED MANAGEMENT IN GROUNDNUT FIELD,50 WP            -
ground nut varities,ICGV - 91114
aphids in ground nut,recommended for spray imidachloprid 1 ml  litre of water
ground nut basal dressing fertilizer management,recommended for DAP 50 kg  75 kg Gypsum  acre
Farmer asked about can we spray Nu-Zine Zinc 33 And Sulphur 15 for Zn deficiency management in groundnut,Recommended to go for spraying of Nu-Zine Zinc 33 And Sulphur 15 for Zn deficiency management in groundnut
Attack of Caterpillar,Spray monocrotophos 15ml15 Liter of Water
ASKING ABOUT FERTILISER DOSE IN GROUNDNUT,RECOMMENDED TO CONTACT WITH BLOCK OFFICE OR ADA
ask for gnut yellowish,suggest npk fertilaizer
Weed management in groundnut,Advised to go for hand weeding in ground nut field at 60 DAS
WHAT I USE FOR GROTH OF GROUNDNUT,USE UREA AND ZINK SULPHATE WITH IRRIGATION
ROOT ROT IN PEA NUT,Recommended to spray Carbendazim-MancozebSaafSixer 2gm per litre of water to control ROOT ROT IN PEA NUT
VARIETIES OF SUNFLOWER,- -  -  -  - 35
Farmer needs information regarding control measure of fungal disease in  groundnut crop,15
ask abt weediside,suggested fyujled 40ml10 lit pump
groundnut tobacco caterpillar,quinolphos 2mllit or neem oil 5mllitre
control of white fly in groundnut,Spray of  Profenophos 40Cypermethrin 4 EC Rocket or Poltrin or Veercombi  40 ml pump
Information about fertilizer dose in groundnut  crop,16
thrips in groundnut,spray acephate 1gmlt
Asking about foliar spray in  groundnut improve yield,:     : :     2  200
FARMER ASKED ABOUT FERTILIZER DOSE FOR GROUNDNUT,-   :: -
Asked about bud necrosis and early leaf spot management in groundnut,:          :     15   SAAF
ASKING ABOUT WEATHER REPORT IN WEST MIDNAPUR DISTRICT,SUNNY TO HAZY SUNSHINENO RAIN FALL IN NEXT FIVE DAYS
PlaNT PROTECTION,Spray Bayleton 50 WP  2 mgm in 1liter water
farmer wants to information of where contact for Groundnut seeds,--
Ask about problem in cotton,suggest: carbendesim 15 gmpump water and sprey
Asking about Stem rot management in groundnut organic,:      :   1     20
TELL ME CONTROL OF BLACK ROT DIEASE  INGROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
Asking about Leaf roller control in Groundnut,:       :  2
fertilizer schedule in ground nut,RECOMMENDED TO APPLY UREA 9 KGS200 KGS ZYPSUM ACRE
Farmer asked Larvae control information of  groundnut crop,magfali
Farmer asked query on Weather,-              -        -
TELL ME TRUMID CONTROL,USE OF CLOROPAYRIFOS 20 EC 4 LITER HE IRRIGATION WATER
farmer want to know information about nutrition deficiency in groundnut crop,90  80 5
Asked about plant protection in groundnut,Recommended to spray Chlorpyriphos 20 EC- 20 ml per lit
ask for g nut varieties,gg 5 7 112
Farmer asked query on Weather,:             :            -                   - 33C   - 24C     8
Farmer asked weed control in Groundnut crop,235 EC     -
asked about information groundnut,gypsum fertilizer 100 kg use groundnut
MOONG ME ROOT ADHIK BANTA HAI,SALPHAR  POTAS  P S B CULTURE KA PRAYOG KARE
asked about boran use in groundnut,recommended to spray boran5gmlit
leaf eating cater pillar on groundnut,spray profexsuper
Farmer wants to know information about how to control stem borer in paddyRice,Cartap hydrochloride 4  Gr  8-10 kgacer
TELL ME CONTROL OF TIKKA DISEASE IN GROUNDNUT,SPRAY OF MENCOJEB 2GM PAR LITAR WATER
TELL ME PLANT PROTECTION IN GROUNDNUT,USE NIMETONE 3 LITER PER HA WITH IRRIGATION FOR CONTROL OF NEMETODE
ask gnut irrigation,after germination irrigation provied
Asking about groundnut sucking pest management,recommended for the spray : dimethoate 2 ml lit of water
TERMITES IN GROUNDNUT,TERMITES IN GROUNDNUT - APPLY CHLOROPYRIPHOS POWDER  6 KG PER ACRE
asking about sucking  pest on groundnut,-    25 5 15
TELL ABOUT THE CONTROL OF FUNGAL INFECTION IN GROUNDNUT,2
groundnut  variety,take tag 64 jl 24 etc
FARMER ASKING ABOUT VARIETY OPF GNUT,6083
ASKED ABOUT TO NUTRIENT MANAGEMENT GROUNDNUT,15
TELL ME PEST CONTROL IN GROUNDNUT,SPRAY OF INDOXACARB 145  05 ML PER LITER WATER
TELL ME ROTENDUS CONTROL IN GROUNDNUT,ZINK FASFIDE 20 GRAM
information regarding varities of mungphalli,mh-4  punjab mungphalli-1
ground nut,chloropyriphos 2mlliter water
TELL ME NUTRIENT MANAGEMENT IN GROUNDNUT,SPRAY OF ZINK SULPHATE  5 GRAM UREA 10 GRAM PER LITER WATER
asked about fertdose in gnut,-
SEED TREATMENT IN GROUNDNUT,RECOMMENDED SEED TREATMENT IN GROUNDNUT IN THIRAM 3GMKG SEED
TELL ME CONTROL OF SHOOT BORER IN SOYABEAN,SPRAY OF TRIZOPHOS 40 EC 2 ML PER LITER WATER
TELL ME ABOUT SEED TREATMENT  IN GROUNDNUTAND SOIL TREATMENT FOR CONTROL OF WILT DISEASE,1    4
APHID,DIMETHOATE 7ML10 LET OF WATER
Please give me weather information,Kisan bhai 11 july se 16 july tak pratidin barish hone ki sambhavna hai
ask groundnut larva problem,I suggested corajan 5ml 10 liter
Ask for single super phosphate information,I suggested to use single super phosphate  in groundnut
Asked about Groundnut Maturation information,:     :
aphids,confidor 25 ml15 ltr water
FARMER ASKED QUERY ON FERTILIZER MANAGEMENT IN GROUND NUT,UREA  20 KGACREGYPSUM  200 KGACRE
weather information,17 august tak barish ki sambhavana hai
FARMER ASKED ABOUT FOR CONTROL ATTACK OF WILT ON GROUNDNUT CROP,:-
Asking about bio fertilizer application for groundnut,:       :        1    50
ask about disease wilt,ask about disease wilt-cypermethrin 4 ml 10 litha
groundnut Gram pod borer,spray Imidacloprid 2ml lit
Farmer asked Thrips control information of groundnut,EC -
ask about groundnut wilt,I suggested to spray copper oxycholoride 40 gm pump
SOWING TIME OF GROUNDNUT,SOWING TIME OF GROUNDNUT END OF JUN
VARITIES FOR GROUNDNUT AND GREENGRAM,RECOMMENDED VARITIES :GROUNDNUT : DHARANIGREENGRAM : wgg-42MGG-351
TELL ME WHITE GRUB CONTROL IN SOIL,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
thrips on groundnut,spray actra 5 gm  15 litre water
FARMER ASKED ABOUT VARIETY OF GROUNDNUT,- -            -    -
FARMER ASKED ABOUT ATTACK  OF SUCKING PEST ON GROUNDNUT CROP,8
Asked About  Groundnut Earthing up Information,--:       :       40               45
QUERY RELAED TO NUTRIENT MANAGEMENT,3
:Ask for the white fly in castor,use trizophos 25mlpump
Farmer asked query on Weather,:                                  20
ask gnut yallow leaf,I suggest hirakashi 100gm  citrus acid 10gmpump
Ask about fungus and larava control in groundnut crop,WP -            SC 7-8
farmer asked query on compatibility test between  PROFENOFOSCYPER METHRIN ROCKET and MANCOZEB M-45,Recommended to go for compatibility test between  PROFENOFOSCYPER METHRIN ROCKET and MANCOZEB M-45
moongphali ki pattia murjha rahi hai,spray carbendazim 1 gm liter of water
Ask about fungus problem in RooT,:   1
Asked about foliar application in groundnut,:          :    2    200
Ask about Gernal informationall information provided thanks for calling in kisan call center,all information provided thanks for calling in kisan call center
Asking about leaf miner in groundnut,:       : 10     10
Asked about Leaf miner management for Groundnut,:     :  2  1
MICRONUTRIENT FOR GROUNDNUT,SPRAYING OF MICROLLA 25 ML IN 10 LIT WATER
VARIETIES OF GROUNDNUT,VARIETIS KUBERJL24 OF GROUNDNUT
--TELL ME ABOUT WHITE GARB CONTROL  UN PEANUT,25   4
DRYING OF LEAVES IN GROUNDNUT,RECOMMENDED SPRAY CU OXYCHLORIDE2GM AND PLANTOMYCIN1GMLIT
Asked about groundnut leaf miner managment,3
Aphids and Groundnut Leaf Miner,Recommended to spray Dimethoate 30 ECRogor 2ml per litre of water to control Aphids and Groundnut Leaf Miner
Groundnut tobacco caterpillar,Recommended for spray Indoxacarb 15 ml teepol 1 mlliter of water
Asked about groundnut intercrop cultivation,:   : :
groundnut top dressing fertiliser,apply gypsum 150 kgac
Ask about Yellowing leaves information in Groundnut crop,90 15  2
ask for gnut pest,suggest:tryzophoze 25 mlpump
groundnut storage,dipped jute bag in Fenitrothion 50 EC5 ml 20 lit water
GROUNDNUT,NO TIME
ASKED ABOUT TO NEMATODE CONTROL IN GROUNDNUT,3   25-30
insecet controll in groundnut,FIPRONIL 5 SC 2 LITER PER HA
Asking about root rot in groundnut,:       :      2
leaf spot in groundnut,recommended spray of avatar 400 gram acre in grountnut
GROUNDNUT POD BORER MANAGEMENT,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE 90 GRAMS 200 LITER OF WATER ACRE
gnut water management,application of urea after give water
Farmer want to know information about Weed Management in Groundnut crop,I
White Fly Attack,Spray Confidor 10ml15 Lit of Water
TELL ME PM KISAN SAMAN NIDHI YOZNA,--   -
TELL ME DISEASE CONTROL IN GROUNDNUT,--     50  250
rot,drenching of coc
varities,fule unnati tag-24
weed in gorundnut,spray parsut after 1 month of sowing
ASKED ABOUT HERBICIDE FOR  GROUNDNUT,HERBICIDE FOR  GROUNDNUT- SPRAY PARSUIT Imazethapyr -20 ML  15 LITRE WATER
FERTILIZER SPRAY FOR GROWTH ON GROUNDNUT,-    60
TELL ME ROOT  ROT DISEASE CONTROL IN,APPLIED BAVISTIN 250 GM BIGHA  WITH IRRIGATION WATER
lEAF eATER,dETAILS
TELL ME WEATHER INFORMATION OF JAIPUR DIST,FOUR DAYS RAINFALL
Asked about nutrient management,It contains zinc and sulphur mineral it in component Duo helps in increasing the all major yield enhancing character in the plant
Farmer asked  white grub Problem in groundnut  crop,GR          SGCG
asking about fertilizer uised in ground nut after 60 days of sowing,i have suggst nitrogen free fertilizer used
Asking about control of catterpillar,SPRAY EMAMECTIN BENZOATE 19 EC  1 ML  LITER OF WATER
CONTROL OF ALTERNARIA BLIGHT IN GROUNDNUT,RECOMMENDED FOR SPRAY  CHLOROTHALONIL 75 WP   2 GM   LIT OF WATER
BASAL ROT,SAAF
TERMITE CONTROL IN GROUNDNUT,CLOROPAYRIPHOS 1 LITER PER BIGHA  TERMITE CONTROL IN GROUNDNUT
MOONGPHALI ME SOORI LAG RAHI HAI,TRIZOPHOS 15 ML PRATI LITER KA SPRAY KARE
groundnet me weed control in,weed control in nahi sakta hein
Moongfali ki fasal me deemak ki dawa bataye,Moongfali ki fasal me deemak ki dawa carbofuran 03gr ki 80 kilogram maatraa prati acre prayog kare
Asking about groundnut Thrips management,:      : : Flonicamid 50 WG   10   3
white root development,application of zypsum 150 kgacre
TERMITES IN GROUNDNUT,TERMITES IN GROUNDNUT-SPRAY CHLORPYRIPHOS 20EC 2ML1 LITRE WATERAPPLY POISON BEIT FOODCELPHOS TABLETTO KILL RATS
weed management in ground,RECOMMENDED TO SPRAY PENDIMETHALINSTOMP 1-125 LITREACRE
Asking about groundnut season,Recommended for groundnut season of sowing   April -may
Farmer asked about fertilizer application in groundnut,Recommended to apply 200 kg of GYPSUM per acre at 40 days after sowing
TOBACCO CATERPILLAR,RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML 200 LITRES OF WATER  ACRE
TELL ME DAP DOSE IN GROUNDNUT,130 KGHAC
insect in gram,monocrotophos 400 mlacre
farmer want to know information about how to control white grub in ground,recommended for to control stem borer in ground nut apply phorate 10G  125kghac
varieties of groundnut,varieties of groundnut - sb 11 phule unap  phule vyas phule pragati
groundnut spodoptera,quinalphos 30 mlper pump and to spray
tikka problem of groundnut,SPRAY OF MANCOZEB 2 GRAM PER LIT WATER
VARIETIES-,tag-24 tg-26
Asking about White grub management in Groundnut,Recommended for drenchiing with Chlorpyrifos 20EC 2 ml  liter of water
ask for market rate information,suggest: I registerd your number for market rate
Farmer want to know information about varieties of groundnut,40 EC   4 EC   40 ml
market information purchased by government,recommended for no data about market
TELL ME ABOUT PEST IN GROUNDNUT,USE OF IMIDACLOPRID  250 MLBEEGHA IN GROUNDNUT
Asked about groundnut nutrient management,:     :     5    5
FARMER ASKED ABOUT SEED RATE FOR GROUNDNUT CROP,-   :
Ask about Fertilizer application in Ground nut crop,::
Asking about Leaf caterpillar management in groundnut,:      :  2
Red Hairy caterpillars in groundnut,Recommended for spray quinaphos  2mlliter of water
tikka disease in groundnut,jiram 2kgha
WHITE GRUB IN GNUT,REJENT 2 KGBIGHA
TELL ME ABOUT INSECT CONTROL IN  GROUND NUT,20   4
Attack Red Mites on ground nut crop,:-
TELL ME BLACK ROT CONTROL IN GROUNDNUT,-- 250
Groundnut,Carbendazim-2gmlit Cloropyriphos-2mllit-spray
Asking about bio fertilizer application groundnut,Recommended for apply Azospirillum 1 lit and Phosphobacteria 1 litac
spray for flowering of groundnut,spray boom flower 30 ml  15 lit water
Farmer asked Varieties information of Groundnut crop,:-  -46  -31
farmer want to know information about How to control of fungal attack in crop,recommended for to control of fungal attack spray carbandazim  mancozeb 40gmand streptocyclin 2 gram at 15 liter of water
fertdose in gnut,fertdose in gnut -  apply 25 kg urea  bensulf 20 kg  acre
tell me black rot control in groundnut,300
NUTRIENT MANAGEMENT,NUTRIENT MANAGEMENT  Minor nutrients applicationZinc sulphate- 4 kgacreBorax- 4 kgacreGypsum- 200 kgacre
Asking about weed control in Groundnut field,:      :
Asked about hairy caterpillar management in Groundnut,:      :       1
farmer asked about nematodes management in ground nut,suggested him to spray velam prime 250 ml per acre
FARMER ASKED QUERY ABOUT ON BORER MANAGEMENT IN GROUND NUT,RECOMMENDED TO SPRAY CHLORPYRIPHOS 500 MLACRE
Soil treatment for insects in ground nut,Recommended to spray Chloropyriphos 15  DP  10 kg per acre for Soil treatment for insects in ground nut
farmer asked about seed treatment of groundnut,-
TELL ME ABOUT YELLOWING MANAGEMENT IN GROUNDNUT,SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
Asking about Micronutrients mixture applied can affect the Groundnut crop,:
ASKING ABOUT WEED CONTROL IN GROUNDNUT FIELD,RECOMMENDED FOR APPLY ALACHLOR 50  EC  12 LIT  ACRE
Farmer asked query on Weather,5                        30      23
Asking about Ralligold can apply for Groundnut crop,:      :
TELL ME ABOUT COLER ROT CONTROL IN GROUNDNUT,1
TELL ME ABOUT CONTROL OF ROOT ROT OF GROUNDNUT CROP,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
ground nut pod borer management,RECOMMENDED TO SPRAY CHLORIPYRPHOS 500 ML PER ACRE
asking about Thiruvannamalai district today weather Report,Recommended for Thiruvannamalai district today weather Report : Light Rain fall 25  75 mm
TELL ME CONTROL OF WHITE GRUB,SEED TREATMENT1LITRE CHLORIPIRIPHOSE40KG SEED
TELL ME FUNGUS PROBLEM IN GROUNDNUT,APPLY HEXACONAZOLE 5  300 ML PAR BIGHA
Groundnut top dressing,Recommended for apply Urea 12 kg  potash 20 kg acre
ASKED ABOUT TO INSECT CONTROL IN GROUNANUT,5     2-3
ASKED ABOUT TO DISEASE CONTROL IN GROUNDNUT,70   5 WP 15
WEEDING IN G NUT,RECOMMENDED FOR SPRAY TARGA SUPER 2MLL OF WATER FOR WEEDING IN G NUT
LEAF CUTTER PILLAR IN GROUNDNUT,RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML LIT WATER FOR CONTROL OF LEAF CATTER PILLAR IN GROUNDNUT
asking about groundnut foliar spray management,recommended for spray groundnut rich - 2 kg 200 lit of water
FARMER ASKED QUERY ABOUT JUMP INSECTICIDE USES IN GROUNDNUT,JUMP INSECTICIDE Material CompositionFipronil 80 WG 80 wwTarget CropsRice Grape Onion Cabbage ChilliTarget PestStem Borer Leaf Folder Thrips Diamond Back Moth
TELL ME NUTRIENT MANAGEMENT GROUNDNUT,375     35
WILT IN GROUNDNUT,COPPEROXYCHLORIDE 60 GRAM PER PUMP DRENCHING
TELL ME WEATHER INFORMETION,MAY BE RAIN POSSIBILITY IN NEXT 2 DAYS
Asking about Groundnut top dressing fertilizers,:   :  - 75     - 4
When to do the first irrigation in groundnut crop,20  30     l
Ask about General information,All information provided - thanks for calling in kisan call centre
plant protection,carbendizim 1gm per liter
TELL ME INSECT CONTROL IN GRONDNUT,SPRAY OF FIPROLIN 5  2 LITER PER HA
tell me white grub control in groundnut,USE CARTAP  HYDROCHLORIDE 4 KGBHIGA WITH IRRIGATION
catterpilar attack,spray cypermethrin
wilting in groundnut,spray redomil gold 30 gm 15 liter of water
CONTROL OF STEM ROT IN GROUNDNUT,RECOMMENDED FOR SPRAY ZINEB 75 WP   25 GMLITER OF WATER
GYPSUM IN GROUND NUT,GYPSUM IN GROUND NUT- PROVIDE GYPSUM  100 KG  ACRE AT 30 DAYS AFTER SOWING
Asked about Tobacco caterpillar management and prevent disease in Groundnut,:            :   2    2   1
Insect problem in Groundnut,Spray Quinlphos 25ec  15 MlLiter of water
fertilizer,borax
flower drop in sesamum,spray planofix 5 ml  10 lit of water
Attack of Caterpillar,Spray Profex super 30 ml15 liter of waterProfenofos Cypermethrin -Nagarjuna
SEED TREATMENT TO GROUNDNUT,SEEDS ARE TREATED WITH TRYCHODERMA 5 GM1 KG OF SEEDS
Farmer asked query on groundnut root rot control,RECOMMENDED TO DRENCH COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER    3
groundnut herbicide,groundnut herbicide---parshut-30ml15 LITER WATER
asking about sowing season for groundnut,Recommended for groundnut sowing season at September - October Purattasipattamand November- December Karthigaipattam
TELL ME CUT WORM CONTROL IN GROUND NUT,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER
Disease Attack- Blight Attack,-40 15   ::
Farmer asked query on Weather,28       14
about nutrient management,125 kg n 25 kg p per hector
Ground nut hairy caterpillar,Recommended for spray profenophos 2 ml  teepol 1 mlliter of water
Asking about Thrips control management in Groundnut,:     :   7    10
TELL ME ABOUT PEST CONTROL IN GNUT,SPRAY OF TRIZOPHOS 40 EC 2 ML PER LITER WATER
TELL ME VARIETIES IN GROUNDNUT,TG-37GG-2GG-20
planting time of groundnut,planting time of groundnut -15 january-15 feb
How to control white fly in ground nut  crop,Recommended  for Spray imidaclorprid 178SL 5 to 6 ml per pump
groundnut leaf curl,lamda cyhaluthrin at 05ml in 1 liter water
moongphali me keeda lag raha hai,PHORET 10 G -8 ka acre ka prayog kare
TELL ME BLACK ROOT CONTROL IN GROUNDNUT,1
information about weather of mainpuri,kisan bhai is hfte me aj aur kl barish aur baki dino me hlki bundabandi ki sambhavna hai
Asking about wild animal in groundnut,recommended for spray neelboo 1 litre  5 litre of water
Groundnut top dressing fertilizer application,Recommended for apply gypsum 80 kg  borax 4 kg  acre on 45 DAS
ask about weed management in non-agriculture land,41 SL   -
ASKING ABOUT TNAU GROUNDNUT RICH SPRAYING STAGES,Recommended for spray Peak flowering and pod development stage
TELL ME CONTROL OF BACTERIAL BLIGHT DISEASE IN GROUNDNUT,12   63    2
asked about fertilizer dose in groundnut,all information provided-thanks for calling in kissan call centre
borer,Chloropiriphos 2mlltr
Asked about plant protection in  Ground nut,Recommended to spray Dichlorvos  05 mlltr of water
--ASKED ABOUT TO MICRO NUTRIENT MANAGEMENT IN GROUNDNUT,4 ML
rat control in ground nut,recommended to apply celphos tablate for rat control in ground nut
TELL ME MICRO NUTRIENT MANAGEMENT GROUNDNUT CROP,4 ML
about fertilizer dose,use jyipesm 50 kilo per care
