QueryText,KccAns
basal fertilizer management for groundnut,apply DAP 50KGAC
Farmer asked Heliothis Larvae Problem in groundnut crop,SC
PRE EMERGENCE WEEDICIDE IN GROUNDNUT,-   -
ground nut herbicide,odicy 40 gramekar
TELL ME APHID CONTROL IN,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER
leaf minor and eating caterpillar control in groundnut,recommended for spray profenofos 2 ml  litre of water
asking about leaf miner and beetle management in groundnut,recommended for profenophos 2 ml 1 litre of water
POWDERY MILDEW,WETTABLE SULPHUR 3GRAMS   1 LITER OF WATER
plant protection,spray mancozeb 2gldimethoate 15mll
Asking about Termites in groundnut organic,:     :  2     40
asking about to tobacco caterpillar,recommended for spray Indoxacarb 7ml 10 litre of water
ASKED ABOUT TO SEED TREATMENT,JATAYU 25
seed variety,ground nut variety:  tag 24  tag 26
Farmer asked query on ROOT GRUB IN GROUND NUT,RECOMMENDED  TO APPLY CARBOFURAN 3G GRANULES 8 TO 10 KG PER ACRE
COLLAR ROT IN GROUNDNUT,SPRAY SAAF 2G  PLANTMYCIN 1G PER 1LTR WATER
ask about the weediced to be sprayed in groundnut 80 days crop,80
DOSAGE OF GROUNDNUT,SPRAY AGROMIN  2 MLLIT OF WATER
Insect infestation,Spray imidachloprid  1ml3lit of water
basal fertilizer management for groundnut,apply DAP 50KG AC
asking about weed management in groundnut,recommended hand weeding only
groundnut leaf curl,RECOMMENDED TO SPRAY CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE
APHID IN GROUND NUT,SPRAY IMIDACLOPRID 1 ML  3 LITRE OF WATER
Basal fertilizer management for groundnut,recommended for apply DAP 4Okg  potash 24 kg ac
Groundnut sowing season,Recommended for June - July
Farmer asked about  leaf spot problem in groundnut,EC -
TELL ME CONTROL OF WEED IN STANDING CROP OF GROUNDNUT,YOU CAN NOT USE HERBICIDE IN STANDING CROP OF GROUNDNUT
white grub in gnut,chloropyriphos 4 l per hactera with irrigation
Asking about Root rot management in groundnut,:       : :     2  1                 1  20
micronutrient,5kgacre
TELL ME ABOUT TERMAIT CONTROL IN PEANUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
CONTROL OF LEAF CURLING IN GROUNDNUT,RECOMMENDED FOR SPRAY  DIMETHOATE 30 EC  2 ML   LIT OF WATER
WEATHER REPORT OF KHANAKUL BLOCK IN HOOGHLY DISTRICT,A heavy thunderstorm otherwise overcast and humid thunderstorms can cause flash flooding
Asking about Sucking pest and Leaf caterpillar control management in Groundnut,:         :  2    1
variety,bhuemug tag 24
Farmer asked query on borer management in groundnut,RECOMMENDED TO SPRAY  Emamectin benzoate  90 Grams150 liters of water   acre
Tobacco caterpillar in groundnut,Recommended for Tobacco caterpillar in groundnut spray  Diflubenzuron 120 gmac
WEED MANAGEMENT IN GROUNDNUT,:  10                 2      20
Fertilizer dose in groundnut per acre,Fertilizer dose in groundnut per acre - Recommended to apply urea-4 kgDAP-34 kg MOP-26 kg per acre at the time of sowing
Groundnut not bearing proper flowering what can i do,speray of Laser or ethrel  5-6 MLpump
Groundnut Tobacco caterpillar: Spodoptera litura,recommended for spray quinolphos 25 EC 2 ml  1 litre of water
ground nut tobacco cater piller management,recommended spray emamectin benozate 100gacre
whitegrab  control,drenching cloropyriphos 25 mlpump
CONTROL OF COLLAR ROT IN GROUNDNUT,RECOMMENDED FOR SPRAY  COPPER OXYCHLORIDE 50 WP   4 GM  LITER OF WATER
Asking about Root rot in groundnut,Recommended for soil apply Trichoderma viride 1kg  FYM 20kg  acre
WEED MANAGEMENT IN GROUND NUT,WEED MANAGEMENT IN GROUND NUT RECOMMENDED TO SPRAY PENDIMETHALIN 1 LITER 200 LITERS OF WATER ACRE
TELL ME ABOUT SEED RATE  OF GROUNDNUT,80           100
Alternaria leaf disease control management in groundnut,Recommended for spray carbendazim 1 g  1 litre of water
Farmer asked about control of   Wilt Mar on GROUNDNUT crop,WP                    Copper Oxichloride
Asked about plant protection in GROUND NUT,Suggested to spray monocrotophos  15 ml per 1 liter of water
Farmer asked Heliothis Larvae Problem in Ground Nut crop,SC 7-8
SOWING TIME OF GROUNDNUT,JUN FIRST WEEK
Precautionary measure against Termite and Soil Mites infestation in Groundnut,Recommended for application of 10kg Chlorpyriphos dust per acre as a precautionary measure against Termite and Soil Mites infestation in Groundnut
TELL ME ABOUT VARIETY OF JAYAD GROUNDNUT,TG 37 A  2    24
--ASKED ABOUT TO NUTRIENT MANAGEMENT GROUNDNUT,33 5   10
Groundnut bud borer in Groundnut,recommended for spray Chlorpyriphos 2mlteepol 1mlneemoil 3mllit of water
Asking about top dressing fertilizer management in ground nut,:    :  6   12  4
sowing info,January  to  February   sowing time
insect in groundnut,apply Cartap Hydrochloride 4G8-10 kg acre
Ask about Sowing Time And Varieties of Groundnut crop,-   -- :-  :- -  -  -3233   ----
water management,moongfali me paheli sichai 20 ke bad kare
STEM ROT IN GROUNDNUT,STEM ROT IN GROUNDNUT- SPRAY SAFF 2GM  PLANTOMYCIN 1GM PER 1 LITRE WATER
Farmer asked query on Weather,bikaner   KHAJUWALA                      36    29      7
ask about white grub problem,I suggest clorpiriphos 4 liter per ha
TELL ME WEATHER INFORMATION OF JODHPUR,RAINFALL 15 MM NEXT FIVE DAYS OF JODHPUR
proper growth in ground nut,ZYPSUM 200 KG PER ACRE
FERTILIZER FOR GROUNDNUT,---
Asking about groundnut top dressing fertilizer management,:     :       2
TELL ME CONTROL COLARROT DISEASES OF GROUNDNUT,USE-TARAICKODRMA 25KGFYM 100KGHAC
FARMER ASKED ABOUT TO SEED RATE OF GROUNDNUT,20
ask about seeds treatment in groundnut,I suggested to choloropyriphos 25ml10 kg
asking about groundnut leaf spot and caterpillar management,recommended for spray mancozeb 2 gram  profenophas 2 ml  1 litre of water
ask for gnut weed control,I suggested hand weeding
ASKED ABOUT TO MANURE AND FERTILISER IN GROUNDNUT,-    130
varities of groundnut,chandra kaushal prakash
TELL ME INSECT CONTROL IN GROUDNUT,DUSTING OF METHYL PARATHIAN 2 25 KG PER HA
Asking about Tobacco caterpillar in groundnut,:       :    3      1   1
Asking about insect in groundnut,use of Methyl Parathion 2 DP 10 kilogram  acre
leaf spot in groundnut,recommended for spray chlorothalonil 2 g litter of water
Asking about weather forecast,This week weather is clear and no Possibility of Rainfall
ask for white grub  control information,suggest:2 lit chloropyriphoseha with irrigated water
Farmer asked query on Weather,- : -
LEAF EATING CATERPILLAR MANAGEMENT,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 200 LITRES OF WATER  ACRE
ASKED ABOUT TO SEED RATE IN GROUNDNUT,100
waht is seed treatment of groundnut crop,Recommended for spray Seed treat with cabandazim 2 gram OR CAPATAN 2 GRAM OR THIPHANTE METHYAL 1GRAM PER KG SEEDS
planting time of groundnut,planting time of groundnut - 15 january-15 feb
Asked about to  DISEASE CONTROL IN  peanut,50   250
Ask about fungus problem in Root of groundnut crop,259  30
TELL ME FERTILISER UREA USE IN SOYABEAN,UREA USE IN SOYABEAN 15 KGBIGHA BROADCASTING IN FIELD
Weather Condition,: 76: 74
ASKED ABOUT TO WEED CONTROL IN,30     25
Farmer asked fungus control information of GNUT,SC -
Asking about rot management in groundnut,:       : :      1  20
ask for gnut spodoptera,gnut spodoptera quinalphos 30mlpump
ASKED ABOUT INFORMATION ABOUT WESTERN HB-55 VARIETY OF GROUNDNUT,Western HB-55  Shiva - Semi spreading - Recommended for kharif season For Gujarat State - Dark green foliage with broad leaves - Higher fodder yield- Medium plant height plant
GROUNDNUT WEED MANAGEMENT,GROUNDNUT WEED MANAGEMENT: NOT RECOMMENDED
TELL   ME   ABOUT   INSECT     CONTROL  IN   GROUNDNUT,15  25
ask abt sucking pest,i suggested imidakloprid
general information,:           45
groundnut Early leaf spot,spray mancozeb 2 gmlit
sowing time of grnut,sowing time of grnut -january- february
ask for  wilt,mancozeb 35 gram per pump and to spray
Asking about dying of groundnut plants,:     :
Farmer asked leaf rolling problem in ground nut crop,SL 7-8
Farmer asked query on Weather,:        :           21 C - 29 C     8
IRON DEFICIENCY,--RECOMMENDED TO SPRAY FERROUS SULPHATE 20 GRAMS CITRIC ACID 2 GRAMS1 LITRE OF WATER
asked about sowing time of ground nut,sowing time of ground nutjanuary-june
GROUND NUT LEAF FOLDAR,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 MLAcre
TELL ME NUTRIENT MANAGEMENT,5   10
Ask about Fungus problem in Groundnut,WP -
GROUNDNUT WEED MANAGEMENT,5
Ask about fertilizer in ground nut crop,-   -
Early leaf spot in groundnut,Recommended for spray Chlorothalonil 2 glit of water
GROUND NUT ROOT ROT MANAGEMENT,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER
SEED TREATMENT OF GROUNDNUT,APPLY THERAM OR CARBENDAJIM 3GM PER 1KG OF  FEED
ANT IN GROUNDNUT,SPRAY CHLOROPYRIPHOS 2ML PER 1LTR WATER
groundnut seed varieties,recommended groundnut seed varieties k-4569
TELL ME PEST CONTROL IN GROUNDNUT,METHAIL PERATHIAN 2 5KGBIGHA
TELL ME BLACK ROOT CONTROL IN GROUNDNUT,APPLIED TRICODARMA 25 KG MIXED 100 KG FYM BEFOR IRRIGATION
TELL ME DISEASE CONTROAL OF GROUNDNUT,SPARY OF BAVISTIN 250GMBIGA  MIKSAR OF FYM
tell me insect control in soyabeen,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER
sucking pest attack,Spray Confidor super  Confidor 10ml15 Lit of Water
Farmer asked query on Weed management in GROUNDNUT,RECOMMENDED FOR MANUAL WEEDING
UPCHAAR IN GROUNDNUT,KARBANDAZIM 2 GRAM PER KG  IMIDA 2 GRAMKG RIZOBIUM CULTURE
Asking about Tobacco caterpillar control in Groundnut,:     : 08
Farmer asked Army worm Problem in  GROUNDNUT crop,SC 7-8
YELLOW LEAF IN GNUT,SPARY-FERROS SULPHATE 50 GRAM IN 15 LIT WATER
ASK ABOUT THE ROOT DEVELOPMENT,I SUGGESTED HUMIK ACID
FARMER ASKED ABOUT VARITIES OF GROUNGNUT CROP,- - :- --         - -  -:- -  -    - --  -       -
TELL ME SEED TREATMENT,SEED TREATMENT OF DENTORSU 5GMKG SEED
Farmer asked query on Weather,3             28             20
SOIL TESTING OF GROUNDNUT FIELD,CONTACT WITH LOCAL BLOCK ADA
zn defecincey in ground nut,RECOMMENDED TO SPRAY  ZINC SULPHATE  2 GRAMS  1 LITRE OF WATER
Gram pod borer in groundnut,recommended for spray of spinosad tracer at the rate of 05 ml in 1 litre of water
TELL ME ABOUT TREATMENT IN GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 ML PER KG SEED FOR SEED TREATMENT IN GROUNDNUT
FARMER ASKED ABOUT WILTING IN GROUNDNUT,30     30
WILT,CARBENDAZIUM 1GLIT
asking about groundnut leaf miner management,recommended for spray daimethoiate - 2 ml li tof water
ASKED ABOUT SOWING TIME OF GROUNDNUT,-   -
Farmer wants to know information about how to control of root aphid attack in Groundnut crop,-
Asking about growth regulators for Groundnut,--:     : :     2  200
Ground nut bud worm,Recommended for spray profenophos 2 ml teepol 1 mlliter of water
ask about variety,i suggested GG-20 variety
root problem in groundnut,400 gram karbandazim par bigha
TELL ME YELLOWNESS OF GROUNDNUT,FERUS SULPHATE 5 GM  LITER WATER SPRAY
SUCKING PEST MANAGEMENT IN GROUNDNUT,RECOMMENDED TO SPRAY THIAMETHOXAM ACTARACRULSER 40 GRAMS 200 LITRES OF WATER  ACRE
groundnut disease,spray mancozeb 2gmlit
pest  herbicide,persute
Farmer asked seed treatment of white grub control in ground nut crop,WG
asking about ground nut leaf minor management,recommended for spray Malathion  2 ml  lit of water
mar in gnut,ridomil gold
TELL ME DISEASE CONTROL IN GRADNUT,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
Asking about Groundnut Top Dressing fertilizer application at earthing up,:      :  80    4
fertilizer dose,application of potash
TELL ME ABOUT OF TARMITE CONTROL IN GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
control measure for leaf feeders,spray endosulphan 2mllit
FARMER ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,- 25   4
Early leaf spot diseases in ground nut crop,1      1000
Asked about plant protection ground nut,Recommended to spray Lamda cyolothrin 1mlliter of water
mungphali ki parjati bataye,koushlprakashambartaip-64
PLANT PROTECTION OF GROUNDNUT,Quinalphos 25  2ml dawa parti liter pani ke sath sprey kre
Ask about growth problem in  GNUT crop,25
ground nut grouthing,multi k 1kgacre
ask for gnut grub,suggest chlorpriphos 30mlpump
LEAF CURAL,ACEPHETE 1GM LIT
seed tratment in groundnut,mancozeb3glit
Asking about Groundnut top dressing fertilizers,Recommended for apply Gypsum - 75 kg  Borox - 4 kg acre
FARMER ASKED ABOUT TO SOWING TIME IN GROUNDNUT,15   15
Gram pod borer in groundnut,recommended for Spray quinolphos 2mllit of water
fertilizer dose,1 bag dap  50 kilo gipesm
white grub control in  groundunut crop,apply phoret 5 kgacre for white grub control in  groundunut crop
yellowing of leaves,Spray metalyxl  2glit of water
ASKED ABOUT TO DISEASE CONTROL IN peanut,-- 12   63    2
Information about weed control in groundnut crop,20
fertilizer management in groundnut,apply 150kg super  ac
TELL ME SEED TREATMENT OF GROUNDNUT,BAVASTIN 2GRAMKG SEED  TRAICODARMA 6GRAMKG SEED
To increase pod number per plant,Spray multi k 75 gram in 1 litre water
farmer asked about varieties of groundnut,-   -  -  --     ------- -
ASKED ABOUT GNUT FERTILIZER DOSES,-  -  -    --     ------ -- -
NO GROTH IN GROUNT,2 KG CALCIUM SULPHATE PER BHIGA USE
TELL ME CONTROL THRIPS IN CABBAGE,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER
TELL ME WEDD CONTROL IN GROUNDNUT,YOU CAN NOT USE HERBICIDE IN STANDING CROP OF GROUNDNUT
GROUND NUT NUTRIENT MANAGEMENT,GROUND NUT NUTRIENT MANAGEMENT : 100 KG SSP 30 POTASH AT BASAL APPLICATION
TELL ME ABOUT WEATHER INFORMATION,LIGHT RAIN POSSIBILITY IN NEXT 3-4 DAYS  CLOUDY SKY
Asking about plant protection of groundnut,CARBENDAZIM 12  MANCOZEB 63
DOSE,TRANSFER
ASKING ABOUT MICRO  NUTRIENT  IN GROUNDNUT,-          -
THRIPS ON GROUNDNUT,THRIPS ON GROUNDNUT  - Spray Rogar 15ml15 Lit of Water
Farmer asked seed treatment of fungus problem in ground nut crop,WG 50
application of gypsum in gnut,100kgacre
Asking about aphids and leaf caterpillar in groundnut,:       :    2
FARMER ASKED ABOUT FOR CONTROL ATTACK OF ROOT ROT ON GROUNDNUT CROP,:-
varities,-  -1
Farmer asked seed treatment of white grub control in groundnut,WG
ASKED ABOUT TO TERMITE CONTROL IN GROUNDNUT,--      178
Asking about Water management for Groundnut,:      :     2-3
ASKED ABOUT FERTILIZER DOSE FOR GROUNDNUT,FERTILIZER DOSE FOR GROUNDNUT:GIVE UREA 25 KG AND 40KG GYPSUM PER ACER
WEED PROBLEM IN GROUNDNUT CROP,GROUNDNUT KI NIRAI KARE
Aphids in Groundnut,Recommended to spray Fipronil5SC 30ml in 15 liter of water
CATEPILLAR IN GROUND NUT,RECOMMENDED TO SPRAY PROCLAIM 90GRAMS PER ACRE
TELL ME ABOUT WHITE GRUB CONTROL IN GROUNDNUT,25  4
TELL  ME CONTROL OF LEAF SPOT IN GROUNDNUT,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER
Asking about Rust control management in Groundnut,Query : Asking about Leaf caterpillar control management in Groundnut Answer : Recommended for spray Profenophos 2 ml  1 lit of water
Farmer needs information regarding control measures of sucking and chewing insects groundnut crop,20     2
SEED TREATMENT OF GROUND NUT,SEED TREATMENT WITH SAAF 1GM1KG SEED
FARMER ASKED QUERY ABOUT SEED TREATMENT IN GROUNDNUT,RECOMMENDED TO TREAT 1 KG OF SEEDS WITH 1 GRAM CARBENDAZIM AND 2 ML IMIDACHLORPID
ASKING ABOUT ROW TO ROW AND PLANT  TO PLANT DISTANCE IN GROUNDNUT PLANT,-  X
TELL ME FERTILIZER USE IN GROUNDNUT,3 KG CALCIUM SULPHATE 2 KG ZINK SULPHAT PAR BIGHA DE
GROUND NUT TIKKA LEAF SPOTS AND CATERPILLARS,RECOMMENDED TO SPRAY HEXACONAZOLE 2ML  LAMDA CYHALOTHRIN 15GL OF WATER
asked about leaf spot in groundNUT,suggest to spray mancozeb
Asking about Leaf eating caterpillar control in Groundnut,:    : 55  12
Asking about Ground nut top dressing fertilizer application,:      :   6    12     30
Pest in ground nut,spray corozen 40 mlAcre
Asking about Weed management for groundnut crop,Recommended for spray pendimethalin 1 litre dissolve in 200 litre of water acre at 3 day after sowing
Farmer asked fungus control information of  Groundnut crop,WP -
FERTILIZER APPLICATION IN GROUNDNUT,RECOMMENDED TO APPLY MOP-33KGACRE AND GYPSUM-200KGACRE
GROUND NUT WEED MANAGEMENT,GROUND NUT WEED MANAGEMENTPENDAMITHALIN 125LITTER ACER
ASKING ABOUT USE  DOSE OF CARBOFURAN 3G IN GROUNDNUT,THE DOSE OF CARBOFURAN 3G  10 KG  ACRE
Asking about stem rot management for groundnut,recommended for the soil trenching :  Carbandazem  2 gm lit of water
LEAF FOLDER IN GROUNDNUT,RECOMMENDED TO SPRAY QUINOLPHOS 400 ML PER ACRE
WANT TO KNOW ABOUT PROCESS OF BETTER QUALITY IN GROUNDNUT,GRADE 2   -           I
Asking about Foliar spray in Groundnut,Recommended for groundnut rich 2 kg 200 litre of water at Peak flowering and pod development stage
groundnut ki prajati,kisan bhai- mungfali ki prajati-kausal chitraprakashamber
Farmer asked about control of  Rust  Blight on GROUNDNUT crop,WP
catterpiller attack,Spray Profex super 25ml15 Lit of Water
information about insect in  ground nut crop,50   5   2
DISEASE CONTROL IN GROUNDNUT,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
pest on ground nut,Spray Proclaim 90 grAcre  Acephate 300 gr Acre
Asking about tobacco caterpillar management for ground nut,Recommended for spray Azadirachtin 3 ml Teepol 1 ml litre of water
wilting diseases of groundnut,recommended for spray copper oxichloride 30gm streptocyclin 15 gm wilting diseases of groundnut
Ask about use fertilizer information in Groundnut crop,NPK 20     90  2
Farmer asked Larvae control information of  ground nut crop,SG 7-8
groundnut alternaria blight control,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML 200 LITRES OF WATER  ACRE
ROOT PROBLE IN GROUNDNUT,KARBANDAZIM 300 GRAM  PER BHIGA
mung phalli ki zado me galan hai,Carbendazim 12  Mancozeb 63 WP 2 gram  liter pani ka spray kare
ATTACK OF BLIGHT,Spray Tilt  score  kavach 30gm15lit of Water
ASKING ABOUT FERTILIZER MANAGEMENT IN GROUNDNUT,- ::  -
