QueryText,KccAns
BALANCE DOSE OF FERTILIZER APPLICATION IN GROUNDNUT,RECOMMENDED TO APPLY 10 KG DAP5 KG MOP8 KG UREA PER ACRE AS BALANCE DOSE OF FERTILIZER APPLICATION IN GROUNDNUT
vaieties of groundnut,vaieties of groundnut- TAG-24 SB-11
TELL ME WEATHER REPORT IN BANSWARA,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY
dose of zipsum in groundnut,250kghacter apply zipsum in groundnut
gnut fertilizer,25kg nitro and 50kg phos
aphids in groundnut,recommended for spray dimethoate 2mlneemoil 3mlteepol 1mllit of water
Asking about weather forecast,cloudy weather  rainfall chances today
Asked about recommendation of 3G extract with neem oil,:            :
GNut Plant Protect,Hirakashi 100gm  Citric Acid 10gmPump
weed management of ground nut,pendimethelin 30 ec  1 liter acre
ASKED ABOUT TO DISEASE CONTROL IN  GROUNDNUT,2
Farmer asked about larvae problem in groundnut,SCSG
Farmer asked query on Weather,:   -     : :            31  C    26  C     9
Farmer needs information regarding control of weeds in garlicrice crop,Recommended for before germination use pendimethilin 1 liter at  per acre or 50 ml per pump
Fertilizer Dose -,GOAL
Asked about Leaf roller management in groundnut,recommended for spray dimethoate 2mlneem oil 3mlteepol 1mllit of water
TELL ME FIRST IRRIGATION TIME OF GROUNDNUT,AFTER SOWING 3-4 WEEK
FRUIT ROT,TRICOGAMA VIRIDI 15KGACRE
ground nut top fertilizer management,recommended fro apply gypsum 75 kilo  acre
mites,dicofol 2mlltr
GROUND NUT LEAF EATING CATERPILLAR,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 MLAcre
ASKED ABOUT FERTILIZER DOSE FOR GROUNDNUT,-   1
YELLOW LEAF IN GNUT,FERROS SULPHATE 25 GRAM IN 15 LIT WATER
PEST IN GROUNDNUT,DIMETHIOATE 15 ML  1 LITER
SEED TREATMENT OF GROUND NUT SEEDS,RECOMMENDED TO TREAT SEEDS WITH CARBENDAZIM 2 GM PER KG SEED
groundnut basal fertilizer management,Recommended for apply DAP 41 kg potash 24 kg ac
GROUNDNUT ROTTENING,CALL CANNOT BE COMPLETED PLEASE CALL AGAIN
rain water damage,zineb 2gl
Information about pest management in Groundnut crop,Fipronil 06 GR 4
Asked about Nutrient management in GROUNDNUT,--Recommended to spray SAMRUDDHIMULTIPLEX tonic  2mllitre of water
Ask about seed treatments of White Grub in Groundnut,WDG -
NUTRIENT MANAGEMENT IN GROUNDNUT AT PEGGING STAGE,APPLICATION OF GYPSUM 200 KG ACRE AT PEGGING STAGE IN GROUNDNUT
FARMER ASKED ABOUT FERTILIZER SPRAY ON GROUNDNUT,- : :  -60
Farmer  wants to know information about How to control of rodents attack in pea nut crop,Recommended for to control of rodents attack in pea nut crop apply zinc phosphide in field
COLLAR ROT MANAGEMENT IN GROUNDNUT,RECOMMENDED TO SPRAY MANCOZEB 3 GRAMS PER LITRE WATER
TELL ME CONTROL BREAT NACROCIS IN GROUNDNUT,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER
IMPROVE PODDING IN    GROUND NUT,APPLY  GYPSUM  100 KGS  ACRE
Season of sowing for groundnut,recommended Season of sowing for groundnut April -may
ASK FOR GNUT TERMITE,suggest:Chlorpyriphos 30 ml  10 lit water
Farmer wants to know information about can use of weedicide in flowering condition ground nut crop,I
Attack of Thrips,Spray Actra 5 gm15 Liter of Water Thiomithoxom 25-Syngenta
Farmer asked Larvae control information of of groundnut crop,SC 7-8
TELL ME NUTRIENT MANAGEMENT IN GROUNDNUT,SPRAY OF FERROUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
TELL ME ABOUT WEATHER INFORMATION,RAIN POSSIBILITY IN NEXT 5 DAYS IN YOUR DISTRICT
WEATHER--BADAUN,IS SAPTAH BADAUN ME BARISH KI KAM SAMBHAVNA HAIN
Asking about groundnut seed treatment,:      :  10
GROUND NUT HELICOVERPA,CORAZEN 60MLACRE IN 200 LITER WATER
TELL ME ABOUT INSECT CONTROL IN  GROUNDUT,25   4
TELL ME VARIETIES IN GROUNDNUT,TG-37GG-20G-2CHANDRA
asking about groundnut growth regulator use,recommended for groundnut rich 2 kg 200 litre of water
top dressing for groundnut,recommended for apply Gypsum 150gmborax 10kgac
FARMER ASKED QUERY ABOUT WEED MANAGEMENT IN GROUNDNUT,RECMMENDED TO SPRAY IMAZITAPYR IMAZAMAX - 40 GR 200 LITRES OF WATER PER ACRE
ROOT ROT IN GROUND NUT,BLITOX 3 GRLT WATER
asking about sesamum top dressing fertilizers,Recommended for apply urea 12kg  ac
TELL ME ABOUT PEST IN GROUNDNUT,USE OF IMIDACLOPRID  250 ML BEEGHA IN GROUNDNUT
TELL ME GROWTH IN GROUNDNUT,UREA-10KG  ZINK SULFET 5 KGBIGHA
GROUND NUT FERTILIZER MANAGEMENT,GROUND NUT FERTILIZER MANAGEMENT30 DAYS AFTER SOWING APPLY 9 KG UREA
Ground nut Red spider control,Recommended for spray propargite 2 ml  lit of water
MUNG PHALLI ME white grub sundi lag rhi hai,apply- fipronil 3g -10kgacre prayog kre
ASKED ABOUT TO CONTROL OF FLOWER DROPING,45   1    4
ask for groundut chlorosis,suggest:hirakashi powder 150 gmleman flower 15gmpump sprey
asking for the pest management in groundnut,recommended for the spray of neem oil 3 ml  teepol sticking agent 1 ml in 1 litre of water to control pests
VARIETIES,Phule Pragati  kopergaon -1
GRAM CATERPILLAR MANAGEMENT,GRAM CATERPILLAR MANAGEMENT :  RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML 200 LITRES OF WATER  ACRE
peanut stem necrosis,RECOMMENDED TO SPRAY DIMETHOATEROGAR   ROGARIN  400MLACRE
ASKING ABOUT THE VARIETIES OF GROUNDNUT,- -
root rot in groundnut,root rot in groundnut :                                                                                                                                                                                                                                                                                          RECOMMENDED TO SPRAY COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE
TELL ME ROOT ROT CONTORL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
Bihar hairy caterpillar,recommended for spray with Ekalax 2 ml in 1 litre of water
ask for gnut yellowing,suggested ferrous sulphate 100 gram  10 lit
CONTROL OF RUST DISEASE IN GROUNDNUT,RECOMMENDED FOR SPRAY  CHLOROTHALONIL 75 WP   2 GM   LIT OF WATER
Asking about root rot in Ground nut,Recommended for drench with Carbendasim 25 gram litre of water
SEED TREATMENT IN GROUNDNUT,SEED TREATMENT IN GROUNDNUT : RECOMMENDED  MANCOZEB  3 GRAMSKG SEEDORCARBENDAZIM 1 GRAMKG SEDD
Asking about controlling of weeds in groundnuts,Apply pendimethaline
ask for gnut rust  larva managment information,suggest: chlorothelonil 30 gmpamp cypermethrin 15 mlpump sprey
Season for groundnut,recommended for sowing at april-may
Asking about termite management in groundnut,1
TELL ME WEATHER INFORMATION OF TONK,NO RAINFALL NEXT FIVE DAYS OF TONK
leaf blight,copper oxy chloride 3g in 1lt of water
WHITE GRUB IN GROUNDNUT,USE QUNALPHOS 1LBIGHA
Asked about biological pest and disease management in Groundnut,:     :              NPV
FARMER ASKED ABOUT IRON DEFICIENCY MANAGEMENT IN GROUNDNUT,SUGGETSED TO SPRAY FESO4 1KG AND NEEM SALT 200G PER ACRE
TIKKA DISEASE,MANCOZEB 3GMLIT
TELL ME FUNGUS CONTROL IN GROUNDNUT,APPLY HEXACONAZOLE 5 EC 300 ML PAR BIGHA WITH IRRIGATION
ASKED ABOUT TO NUTRIENT MANAGEMENT GROUDNUT,5     1
asking about the control of stem  rot in groundnut,SPRAY  THIOPHANATE METHYL 70 WP  1 GM    LIT OF WATER
Farmer needs information regarding how to control  caterpillar  in groundnut crop,03 GR     8  10
basal fertilizer management for ground nut,apply 50kg super phosphate ac
mung phali ki patti me sundi lagi hai,Quinalphos 25EC 1mlliter ka sprey kare
termit control of groundnut,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
leaf miner in groundnut,Recommended for spray Dimethoate 2ml  litre of water
groundnut leaf eating cater pillar management,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 200 LITRES OF WATER  ACRE
Farmer asked query on Weather,:   -      : :             31  C    23  C     6
Asking about root rot prevention management  in groundnut,:       :   1     20
asking about fertiliser in groundnut,Suggest to not require nitrogenous fertilizer
asked about biofertilizer management in groundnut,:      :    1  20      1
farmer asked about attack of wilt in groundnut,30
WHITE GRABS IN GROUNDNUT,KARBANDAZIM 300 GRAM PER BHIGA
LAST IRRIGATION IN GNUT,AT MATURITY STAGE
tell me weather information,LIGHT RAIN MAY BE IN NEXT 2 DAYS
asked about to   DISEASE CONTROL IN   groundnut,50   250
The farmer asked seed treatment of white grub control,30  FS
TELL ME MANDI RATE OF GROUNDNUT,JAIPUR GRAIN  GROUNDNUT WHITE 4100
TELL ME CONTROL YELLOWING IN GROUNDNUT,SPRAY OF ZINK SALFET 4 GRAM PER LITER WATER
asked about weed management in groundnut,:        :
leaf folder in ground nut,chloripyriphos  25mllit water
Farmer asked Fall Armyworm problem in ground nut crop,SC
Asking about micro nutrient deficiency in groundnut,:      :      5
fungi problem in gnut,suggest:hexakonazol 30 gm per pump and to sprey
ASKED ABOUT ZYPSUM DOSAGE,SUGGEST  TO APPLY 200KG PER ACRE
Ask about fungus problem in ground nut crop,-
how to control colar root diseases ground nut,spray carbendazimmencozeb35gtricodrma viride 75gpump
powdery meldew on grnut,Sprey Topaz 10 ml 15lit of Water
ASKED ABOUT FUNGAL ATTACK ON pea nut,15
Asked about Plant protection in  groundnut,Recommended to spray Imidachloprid 178 SL- 05 ml per lit water
Asking about leaf caterpillar and leaf blight in groundnut,:         :     2    2
groundnut varietis,groundnut varietis -TAG 24 JL 24
FARMER ASKED ABOUT THE CONTROL THE LEAF EATING CATERPILLER,ppm-         30
MANCOZEB  2GLT,MANCOZEB  2GLT
TELL ME DISEASE CONTROL IN GROUNDNUT,25  100
asked groundnut,multi k 1 kg  acre
Groundnut Fertilizer dose,--                                                   -                    -
post emergence weed management for groundnut,Spray Imazethapyr  3 mllitre at 20-30 days
ASKING ABOUT THE CONTROL OF ROOT ROT IN GROUNDNUT,SPRAY   THIOPHANATE METHYL 70 WP  1 GM    LIT OF WATER
Farmer asked fungus control information of groundnut crop,70  WP 30
asking about leaf miner in groundnut,Recommended for spray Dimethoate 2 ml  lit of water
groundnut variety information,gg-20 2 june-july
NEMATODES MANAGEMENT IN GROUND NUT,RECOMMENDED TO APPLY CARBOSULPHAN GRANULES 5 KGSACRE
Farmer asked about weed control in Groundnut crop,165   -  8
Farmer asked fungus control information of groundnut,4    68  40
Ground nut in aphids,Recommended for Ground nut in aphids spray dimethoate 2 ml teepol 1mlliter of water
TELL ME BLACK ROT CONTRPOL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION
LEAF WEBBER IN GROUNDNUT,RECOMMENDED SPRAY QUINALPHOSKINALUX 2MLLTR WATER FOR LEAF WEBBER IN GROUNDNUT
weed in mugfali  me,hand weeding krwade aap
red hairy caterpillar in groundnut,Spray quinalphos 25 EC 2ml  lit of water
block spots on ground nuts pods,recommended ETHOPHAN PRACOX 200MKLACRE
INFORMATION REGARDING IMPROVED VARIETIES OF GROUNDNUT,IMPROVED VARIETIES OF GROUNDNUT : MH-4  PUNJAB MUNGFLI-1
Farmer wants to know information about how to control sucking pest in groundnut crop,Recommended for to control sucking pest Spray Dimethoate 30 EC 500 mlha
Ask about blank pod inground nut,-
groundnut me sudi lagi hai jankari lani hai,Monocrotophos 36 SL 2 mili  liter paani ke sath sprey kre
root rot in groundnut,recommended for drench trichoderma 3 mllt
groundnut variety,groundnut variety - sb 11
Farmer asked seed treatment of fungus problem in  Groundnut,DS -
ground nut sucking pest,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML PER ACRE
seed growth in ground nut,zypsum apply in fied
disease,saaf 2g
seed rate of groundnut crop,seed rate of groundnut 100 kg seed hecter area
Asked about sowing season in groundnut,suggested that the suitable season for groundnut sowing is august and september
VARIETIES OF GROUND NUT,VARIETIES OF GROUND NUT -AK-12-24DEVI
Asking about Termites management in groundnut,Recommended for soil application chlorpyriphos dust 2 kgac
moog fali ki jankar,moog falo ki prajati -kosal chatra
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT CROP,-
ask about biofertilizer in groundnut crop,:           :
Fungicides,Spray Ridomil Gold 30gm15 LITER WATERMetalaxl-M-Syngenta
top dressing fertilizer mnt in groundnut,apply gypsum 120kgac
ASKED ABOUT TO INSECT CONTROL IN,178  05
borer,rogar
WEATHER INFORMATION OF GANGANAGER,THREE DAYS RAINFALL
Moongfali ki fasal kitne din me taiyar ho jati hai,-   86
Farmer asked query on Weather,35
TELL ME ABOUT NUTRIENT MANAGEMENT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
Farmer asked white grub control information in Groundnut crop,1   5  GR 25
farmer want to know about seed treetment og groundnut,Recommended for Use bavastim or vita vex power 2-250 gm per kg of seed
root rotin groundnut,copper oxy chloride 3glit-mokka modalu daggara poyandi
Asking about top fertilizer management for groundnut,:     :  6    12    25
ASKING ABOUT FERTILIZER DOSE FOR GROUNDNUT,- -     1     80      8
ask abt groundnut in tikkka,hexaconazol 15mlpump to apply
fungus in gnut,CARBENDAZIN 250 GRAMBIGHA
ROOT PROBLEM IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG  PER HA IN ROOT ZONE
mungphali upchar ke liye,carbendazim 2 gram or thiram 25 gram dawa  kg seed ke hisab se upcharit kare
GROUNDNUT LEAF EATING CATERPILLAR MANAGEMENT,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 MLAcre
TELL ME WEATHER REPORT BARMER,RAIN FALL POSSIBILITY NEXT 5 DAY BUT CLOUDY
Asking about Sucking pest control management in Groundnut,:      :
Asking about Groundnut 1812 seeds availability,:  1812
ASK FOR THE YELLOWISH OF GROUNDNUT LEAF,SPRAY OF 20GM FESO4  10ML CITRIC ACIDPUMP
weed control in groundnut,30-35
call from Bihar,suggested
Blight Attack,Spray Bavistine 30gm15lit of Water
groundnut amendments,gypsum 200kgacre
TELL ME DISEASE  CONTROL IN,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
TELL ME SEED RATE OF GROUNDNUT,SEED RATE 20-25KGBIGHA
SUCKING PEST IN GROUNDNUT,spinosad 75ML ACRE
VARITIES OF GNUT,VARITIES - TAG- 24  SB - 11
asking about Leaf eating caterpillar control in groundnut,recommended for Spray neem oil 3 mllit of water
Suppliment nutrient for ground nut,Spray multi K 75 gram in 1 litre water
stem rot disease control in groundnut,Dear farmer use to  Copper Oxychloride 50 WP  25gliter water splash in the field
ask for termite control information,25
Farmer asked query on Weather,:   -      : :              34  C    25  C     9
groundnut spacing,spacing of 15cm x 15 cm
TELL ME CONTROL SUCKING PEST IN GROUNDNT,SPRAY DAIMETHOIT 30EC 2MLLITTER WATER
groundnut,recommended to spray dimethoate 2 milli liter  liter water
Farmer asked weed control in Groundnut crop,30 EC      -       -  -
TELL ME WEATHER INFORMATION OF NAGOUR,FOUR DAYS RAINFALL
Farmer asked fungus in root control information of,4    WP -
ask abt groundnut in variety,Gujarat groundnut-20
Farmer asked query on Weather,:   -     : :             30  C    20 C     6
Ground nut tobacco caterpillar,Recommended for spray chlorpyriphos 2 ml teepol 1 mlliter of water
Farmer asked query on Weather,:   -       : :               31  C    22  C     6
Red hairy caterpillar problem in groundnut crop,Recommended to spray cholropyriphos 500 mlacre
Farmer asked query on Weather,-                                  27      24      5          I
FARMER ASKED ABOUT ATTACK OF APHIDS ON GROUNDNUT,-  -           126    95
saff  2gm  1ltr,saff  2gm  1ltr
sucking pests in groundnut,RECOMMENDED TO SPRAY THIOMETHOXOME ACTRA SITARARENOVA 40 GRAMS PER ACRE
TEL ME WEATHER REPORT IN SIKAR,NO RAIN POSSIBILITY IN NEXT 5 DAYS IN YOUR DISTIC
ROOT ROT IN GROUNDNUT,ROOT ROT IN GROUNDNUT-SPRAY COPPER OXY CHLORIDE 3GM IN 1LITRE OF WATER
TELL ME ROOT ROT DIEASE CONTROL IN GROUNUT,DRENCHING OF CARBENDAZIM 2 GM PER LITER
ASKED ABOUT GROUNDNUT PLANTATION,-  -             -      -           SSP
Farmer asked about weedicide on groundnut,-
basal stem rot in groundnut,soil application trichoderma viridi 2kgac mixed with FYM or sand
Groundnut nut plant protection,Regent-2mllit
Asked about red spider mite management in groundnut,:    : :      2
TELL ME ABOUT WEATHER INFORMATION OF BIKANER DISTRICT,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY
GROUND NUT BORON DEFFICIENCY,RECOMMENDED SPRAY BORAN 15GLITRE OF WATER
TELL MEblack  ROOT ROT CONTROL IN GROUNDNUT,250
Asking about Market name of Boron fertilizer,:     : Solubor
TELL ME ABOUT WEATHER INFORMATION,some clouds and chance to rain fall today
TERMITE CONTROL IN GROUNDNUT,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION
Tikka leaf spot problem in groundnut crop,recommended to spray Mancozeb 500 gracre
TELL ME  ABOUT LOW GROWTH IN GROUND NUT,SPRAY OF MULTIPLAX MICRONUTRIENT 4 ML PER LITER WATER
yellowing leaf control,spray feso4 100gmpump
TELL ME CONTROL OF FRUIT BORER,SPRAY OF ACEPHATE 75 SP 2 GM PER LITER WATER
weedicide,pershuet
Farmer asked fungus in root control information of Groundnut crop,WP 35-
Termite control in groundnut,Advised to apply Chloropyriphos  15DP  10kgacre for control of termite in groundnut field
ask information about  control of heliothis,I suggested to spray endozacarb 7 mili pump
Attack of White Grub IN GROUNDNUT,Attack of White Grub IN GROUNDNUT -Humnasur 6 kgacrePatil Biotech
Asked about top fertilizer management for groundnut,:    : :     50
TELL ME ABOUT SEED TREATMENT OF GROUNDNUT,30FS 75ML
WEATHER INFORMATION,TODAYS WEATHER PARTLY CLOUDY NO CHANCES OF RAINFALL
ground nut sucking,recommended DIMETHOATEROGAR   ROGARIN  400MLACRE
Asking about Ground nut leaf webber and whitflys management,:     2    50
TELL ME COLAR ROT DISEASE CONTROL IN GROUNDNUT,TRICODERMA 25 KG HECTAR IN FYM 100 KG
Asking about groundnut seed farming information,:    :
TELL ME MANDI RATE IN GUAR NAGAUR,MANDI RATE IN GUAR NAGAUR  RS 3600 RUPAY PER UQ
FARMER ASKED ABOUT VARIETIES FOR SUMME GROUNDNUT,-  -  -
Asked about disease prevention management in groundnut,:    :      5
asking about groundnut caterpillar management,recommended for spray  indoxacarb 1 mllitre of water
groundnut affected by colar rot,give bavistin 250gm  bigha with irrigation water
Farmer asked termitewhite grub control information of groundnut,40
fertilizer for groundnut,give gypsum 50 kg acer after 40 days of sowing
Herbicide,Use Pesuit
ASK ABOUT GENERAL INFORMATIO,Nall information provided - thanks for calling in kisan call centre
FARMER ASKED QUERY ABOUT GROUNDNUT CROP,-
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,5     1
stem rot management  in ground crop,RECOMMENDED TO DRENCH COPPER OXY CHLORIDE  Blitox 3 GRAMS  1 LITRE OF WATER    3
FARMER ASKED ABOUT ATTACK OF WHITE FLY ON GROUNDNUT,:-
weedicide,spray imazytopyr 25mll
TO CONTROL ATTACK OF STEM BORER IN GROUNDNUT CROP,SPRAY CHLOROPYRIPHOS 25 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF STEM BORER IN GROUNDNUT CROP
control of wilt attack,drenching of blu coper 25 gm  15 liter water
GROUNDNUT TIKKA LEAF SPOT SUCKING PESTS,RECOMMENDED TO TILT 400MLACRE NAD ULALA 75GMACRE
yellowing disease,redomeal goal 25 gm10 litwater
FARMER ASKED ABOUT INCREASE FLOWERING IN   GROUNDNUT CROP,-
