QueryText,KccAns
FARMER ASKED QUERY ABOUT WEED MANAGEMENT N GROUNUT,-
Ask about Plant Growth Retardant Information of groundnut crop,- 3
termites in groundnut,termites in groundnut-chlorpyriphos-2mllit of water
Asked about caterpillar management in groundnut,:     : :      2
Asking about Trichoderma viride application in Groundnut,:     : 1     20
SPRAYING DOSE,Spray fame 5ml15 Lit of Water
Ask about sucking pests problem in crop,Suggested: Dimethoate Rogar 30 EC 30 mlpump spray Suitable for young crops
ASKED ABOUT HOW TO INCREASE YIELD IN GROUNDNUT,SAGARIKA  SEA WEED EXTRACT-28 PROTEIN CARBOHYDRATE MICRO-NUTRIENTS- Ca B Fe Mn Zn Cu Mg PRIMARY NUTRIENTS- N P K S AUXIN CYTOKININ GIBBERELLIN      -
wilt in ground nut,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITRE OF WATER
WATER MANAGEMENT,KEOLIN SPRAY
ask about yellowing of gnut,suggested to spray 100 gm ferrous sulphate and 10 gm lemon flower
TELL ME WATER MANAGEMENT IN GROUNDNUT,AFTER 10 DAYS
gnut red leaf spot control,sprey contaf 15 mlpump
ask about gnut yellowing,I suggestd to spray 100 gm ferrous sulphate and 10 gm lemon flower
ASKED ABOUT TO INSECT CONTROL IN GROUDNUT CROP,145   1
groundnut fertilizer management,recommended to apply gypsum 100kgacre
stem rot in ground nut,recommended to use trichoderma viridi 25kg with fym
Asking about Groundnut basal fertilizer management,Recommended to apply DAP 50 Kg  Gypsum 75 Kg  acre
Farmer asked query on Weather,32      27     8
Asking about leaf roller in groundnut,Recommended for spray dimethoate 2ml  lit
Information regarding weather in fatehabad,Information regarding weather in fatehabad    Some clouds and chance of rain fall today
Isabion dose in ground nut,Recommended to spray 2ml1ltr water
asking about groundnut top dressing fertilizer,recommended for apply gypsum - 75 kg acre
Asking about Aphids management in Groundnut,Recommended to spray Dasagavya 30 ml  liter of water
root rot control in groundnut,recommended for Spray copper oxychloride 25 glit of water
Ask about termitewhite grub control information in peanut,GR
ROOT ROT IN GROUNDNUT,RECOMMENDED TO SPRAY SAAF CARBAZENDIUMMANCOZEB 2G PER LITRE WATER
Nutrient Management,Sprey Microla 30  15 lit of water
asking about groundnut whitefly,recommended for spray Dimethoate - 2 ml lit of water
GROUNDNUT LEAF BLIGHT CONTROL,RECOMMENDED TO SPRAY CHLOROTHALONIL 400 GRAMS  ACRE
asked about leaf spot yellowing in Gnut,--           WP
TELL ME CATER PILOR IN GROUND NUT,INSECT CONTROL IN CHILLI SPRAY OF PROFENOFOS 15 ML PER LITER WATER
Asking about Leaf eating caterpillar control in groundnut,:     : 3
GROUND NUT ROOT GRUB MANAGEMENT,GROUND NUT ROOT GRUB MANAGEMENT :SEED TREATMENT- CHLORPYRIFOS 65MLROOT  GRUBS 1 KG OF SEEDS
TELL ME ABOUT INSECT CONTROL IN  GROUND NUT,20   40
GROUNDNUT LEAF EATING CATER PILLER,RECOMMENDED TO SPRAY MONOCHROTOPHOS 16 MILLI LITER LITER WATER
Farmer asked fungus control information of  groundnut crop,EC 10            WP -
Asking about Leaf miner  Tobacco caterpillar management and prevent root rot for Groundnut,:             :  15   2   1
Asked about season for groundnut,:     :   -
ukhda ki problam in graund nut,Hexaconazole 5 EC 600 ml acre me prayog kare
Groundnut plant protection,Manocrotopos-2mllit
Ask about use fertilizer information in Groundnut crop,12-15
Farmer asked Larvae control information of GROUNDNUT,EC
Pod borer in Groundnut,Apply carbofuran 3 CG  20 kgac in endemic areas to the soil prior to sowingRepeat soil application on the 40th day of sowing and incorporate in the soil during the earthing up
TELL ME INSECT CONTROL IN groundnut,178   1
Ask about larvae control information,Suggested:  Quinalphos 25 EC  30  ml pump spray
Weather Condition,Overcast and light rainPrecip chance: 18Humidity: 42
Farmer wants to know about irrigation in groundnut crop,8  10
groundnut pest,drenching coc AT 3g in 1 liter water
Ask about blank pod problem information ground nut crop,100
ASKED ABOUT TO SEED RATE IN GROUNDNUT,60  80
WHITE GRUB OF GROUNDNUT,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
Termites control in Groundnut crops,chloropyriphaas 20  EC 1 litreacre ki dar se sichai waale paani mein prayog kare
groundnut gram pod borer,RECOMMENDED FOR SPRAY Profenophos 400 ml  acre
TELL ME WEATHER REPORT HANUMANGARH,NO RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY
gnut leaf yallow  leaf spot,spray hirakachi powder 100 gmpump
fertilizers for Bengal gram,BASALDOSE: 1BAG DAP SULFAR 16 KG
Attack of Powdery Mildew,Spray Bavistine 30gm15lit of Water
TELL ME WHITEBGURB CONTROL IN GROUNDNUT,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE
Asking about Seed treatment for Groundnut using Pseudomonas fluorescens,:     :  10
FARMER ASKED ABOUT FERTILIZER DOSE FOR GROUNDNUT,-   :
groundnut top dressing,recommended for applu gypsum 75 kg  acre
sucking pest,emida chloropreaid 1ml 3lit water spray
root fungs attak,Humic Acid 30ml15 Lit of Water Drenching
ask aboutr the mely bug in the cotton,isuggested trizofos 30 ml in 1 pump
To control Nematode in groundnut crop,Carbofuran 8  10
Information about of seed treatment in groundnut crap,25  3
Farmer asked fungus in root control information of Groundnut crop,:
Ask about growth problem in groundnut   crop,25
Farmer asked query on Weather,-                 37   26
Asked about Leaf caterpillar management in groundnut crop,:     :  2     1
FARMER ASKED QUERY ON WEED MANAGEMENT IN GROUNDNUT,RECOMMENDED TO SPRAY IMAZITAPYR  IMAZAMAX 70 WGODESSY-40 GRAMSACRE
Asked about nutrient management in groundnut,suggested to apply gypsum 100 kg for half acer land
CONTROL OF CATERPILLAR IN GROUNDNUT,RECOMMENDED FOR SPRAY  CHLORPYRIPHOS 20 EC  25 ML   LIT OF WATER
TERMITE ATTACK IN GROUNDNUT,TERMITE ATTACK IN GROUNDNUT-SPRAY CHLOROPYRIPHOS 2ML IN 1LITRE OF WATER
Asked about Early leaf spot management in groundnut,:       :  5 ml
Asked about Groundnut top fertilizer application,:       :  6      12
TELL ME COLLAR ROT IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION
Farmer wants to know information about control of root rott on Groundnut crop,-
FARMER ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,:         03       :- 60
GROUNDNUT SEED TREATMENET,RECOMMENED TO TREAT  WITH  RIZOBIUM CULTURE 10 GRAM  KG SEEDS
Farmer asked query on Weather,:   -      : :            36  C    26 C     8
Farmer asked query on Weather,:   -       : :             38  C    26  C     8
Leaf Eating Caterpillar,Spray Proclaim 5gm 15 Lit of Water
Ask for weediside in groundnut information,Suggested: Pendimethalin 387 CS Stomp 35mlpump spray
COLLAR ROT IN GROUNDNUT,USE HEXACONAZOLE 5 EC 250 MLBIGHA WHEN IRRIGATION
ask abt fungal problem,suggested bavistin 25gmump
asked about groundnut top dressing fertilizer management,Recommended for apply gypsum 150kg  ac
leaf beetle control in groundnut,Quinalphos 25 EC 2ml liter pani me ghol kar spray kare
Ask for cotton  red mite,I suggested to spray dycophol 30 ml per pump
Aphid infestation in Ground nut,Recommended to spray Flonicamid 50WDG  70gm per acre for controlling Aphid infestation in Ground nut
Farmer asked Heliothis Larvae Problem in groundnut  crop,EC 15
Information regarding quantity of seeds in sowing of groundnut crop,95-100
attack of rot,Drenching of Bavistine 20gm 15 Lit of Water
sedling rot in gmnut,metalaxyl 3 gm10 l waterdrenching
mealy bug in ground nut,spray profenophos 2 ml lit of water
mung phalli lagane ke liye machin kaha milege,krashi agro farm per mile
ASKING ABOUT CONTROL OF ROOT ROT IN GROUNDNUT,RECOMMENDED FOR SPRAY  AZOXYSTROBIN 25 EC  1 ML   LIT OF WATER
plant protection,spray flubendimide 05gl dimethaoteb 15mll
asked about nutrient for groundnut,nutrient for groundnut - apply gypsum 30 kg  ekar
ASKED ABOUT TO NUTRIENT MANAGEMENT,--  33 15
weed control in grount nut,ALACHLORLASSO  ALATOP  1 LITRE PER ACRE
THRIPS,ETHION 2MLLIT
groundnut sucking pest management,groundnut sucking pest management recommonded  monocrotophos 300mlacre
Ask about seed storage,boric acid powder 5 gram  kg seed
GROUNDNUT NUTRIENT MANAGEMENT,--RECOMMENDED TO SPRAY   AMBITION 250MLACRE
TIKKA DISEASE IN GROUND NUT,RECOMMENDED TO SPRAY TEBUCONAZOLE  TRIFLOXYSTORBIN  15 GM  1 LITER OF WATER FOR TIKKA DISEASE IN GROUND NUT
Farmer asked Army worm Problem in  Groundnut crop,SC 7-8                SC
GROUNDNUT BIHAR HAIRY CATERPILLER CONTROL,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 200 LITRES OF WATER  ACRE
Asking about leaf roller management in Groundnut,Recommended to spray Chlorpyriphos 2 ml  liter of water
asking about Groundnut TNAU foliar application information,:        :         2  200
ASKED ABOUT SUCKING PEST ATTACK ON GROUNDNUT,-    303 -22
groundnut top dressing,Recommended for apply potash 25 kg  Gypsum 160 kg acre
asking about groundnut aphid management,recommended for Imidacloprid 3 ml 10 litre of water
ASKED  DISEASE CONTROL IN GROUNDNUT,50   250
TELL ME WEATHER INFORMATION OF CHURU DIST,FIVE DAYS RAINFALL
irrigation management in groundnut,use of 10-12 days interval irrigation
Farmer asked query on Weather,lathi
Ask about groundnut information,Ask about growth problem in crop
weed in wheat,sulfosulfuron 75  metsulfuron methyl 5 wg
Farmer asked query on Weather,30     23       5
Asked about dosage of novaluron 525  indoxacarb 45 chemical and acephate chemical,Suggested to spray at a dosage of 2-3 ml per 10 liter waterAcephate at 1 gram per liter water
seed of ground nut,70 kg acre
Information about use of herbicide in peanut crop,1
ask abt white grub,Chlorpyriphos 20 ml  10 lit water
Farmer asked Fertilizer dose in groundnut crop,100
Information about weather,Kisan bhai aapke shetra mein 12 july ko barish ki sambhavna hai
leaf curl in ground nut,spray quinalphos 2 ml in 1 litre of water for leaf curl in ground nut
Farmer asked query on Weather,:             :         -                     - 34C   -  23C       8
groundnut varietes,kbh-1phg-9
Thrips in Groundnut,Recommended for Spray imidacloprid 05 ml litter
TELL ME SOIL TEST INFORMATION,DEEG 6-9 INCH DEEP V SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL
plant protection,Dimethiot 15ml per liter
Farmer wants to know information about Weed management in Groundnut field,-                  250        -
TELL ME CONTROL BALCK ROOT IN GROUNDNUT CROP,USE-BAVISTIN 250GRAM PER BIGHA WITH IRRIGATION
Ask about fungus problem in ground nut Root,50     250           WP
Root rot in groundnut,Recommended for soil drenching with copper oxy chloride 25 glit of water
mugphali me pila per rha hai,Apply MANCHOJEB   CARBANDAJEEM  20 Grm  Lt of water
FERTILIZER SPRAY ON GROUNDNUT,30
Asking about blackgram foliar application,Recommended for spray DAP 20gm  lit
ATTACK OF THRIPS AND  JASSID,Spray Regent 15 ml 15 liter water Fipronil 5 SC-Bayer
FARMER ASKED ABOUT WEEDICIDE SPRAY IN GROUNDNUT,WEEDICIDE SPRAY IN GROUNDNUT  SPRAY STOMP PENDAMETHALIN  40 ML IN 15 LITER OF WATER
asked about nutient management,100
TELL ME ABOUT WEEDS CONTROL  IN GROUNDNUT,-- 30  25-3
Asked about Foliar spray for Groundnut,:        :    TNAU   2   200
groundnut me deemak ki problem,cloripayriphas 25 lithac ka prayog karo
FARMER ASKED QUERY ON WEED MANAGEMENT IN  GROUNDNUT,NO RECOMMENDATION OF HERBICIDE
pests,carbendizium 2gramliter
which varities of groundnut use for sowing,tumhi bhumung madhe tag -24 hi jAT GHYA
Attack of White Grub,Phorate 10 gm 10kgAcre Application
weedicide fpr groundnut,spray parsut
Attack of Thrips,Spray Actra 5 gm15 Liter of WaterThiomithoxom 25-Syngenta
UREA,4 KG PER BIGA
YIELDING QUNTITY OF GROUNDNUT PER HACTER,YIELDING QUNTITY OF GROUNDNUT PER HACTER IS 20 QUINTAL
TELL ME TARMITE CONTROL IN GROUNDNUT,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE
asking about Cutworm management in Groundnut,:     :  2     3     1
Farmer asked about weed management in groundnut,- 5 EC   25 -30    -
FERTILIZER DOSE IN GROUNDNUT,FERTILIZER DOSE: DAP-35KG UREA-5KG MOP-27 KG PER ACRE
Ground nut white grub management,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML 200 LITRES OF WATER  ACRE
Foe foliar and vegetative growth of Groundnut,Recommended to spray Multi-K 75gm per litre of water for foliar and vegetative growth of Groundnut
duration and harvesting,HarvestingThe crop will be ready for harvest when the leaves start yellowing and begin to dry up Development of brown colour inside the pods also indicates maturity of the crop
ground nut stem rot,recommended to blight 600gm acre
ask for groudnut gowth related information,suggest: no any spray for growth
HERBICIDE,HERBICIDE-PARSUIT
ask for larva in g nut,drenching ddvp 20 ml per pump
tobacco caterpillar in groundnut,Recommended for spray profenophos 2ml  lit
TELL ME WEED CONTROL IN groundnut,SPRAY OF PENDIMETHILIN 30 EC 25-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION
aphids in ground nut,aphids in ground nut-spray imidachloprid-1ml3lit of water
borer in groundnut,Cartap Hydrochloride 4 GR  75-10 kgacre me pryog kare
FARMER ASKED QUERY ABOUT SOWING OF GROUNDNUTS IN BLACK SOIL,RECOMMENDED TO NOT SOW IN BLACK SOILS GROUNDNUT IS NOT SUITABLE IN BLACK SOILS
TELL ME IRRIGATION TIME IN GROUNDNUT CROP,FIRST IRRIGATION USE ON 25-30 DAYS
TELL ME BLACK ROOT IN GROUNDNUT,USE CARBENDAZIM 1 KG PER HECTER IN ROOT ZONE WITH IRRIGATION
ask information about  control of heliothis,i suggested  to spray quinalphos  20  ml  pamp
WEATHER REPORT,today there is no chance of rain fall in your area
tell me about of tarmit control in moongfali,dusting of foret 10 g  5 kg per bhiga
GROUNDNUT VARITIES FOR LIGHT SOILS,RECOMMENDED FOR KADIRI-4 NARAYANI  TAG-24 VARITIES
Asked about Namdhari -Groundnut variety information,:-       :
Moongfali me kaun si khad dalaye,Urea ka spray karaye
ASK ABOUT TERMITES IN GROUND NUT,I SUGGESTED TO DRENCHING CHLOROPYRIPHOS FOR CONTROL TERMITES IN GROUND NUT
Farmer asked fungus control information of,WP    WP 10-15 Nativo Bayer
asked about fertilizer dose for groundnut,-
groundnut pest,spray qunolfos 2mllt of water
Farmer needs information regarding control measures of caterpillars in groundnut crop,Spray chloropyriphos 20 EC  1mllitre to control Shoot and fruit borer
ASKING ABOUT CONTROLL OF WILT ATTACK  ON GROUNDNUT,WP -
root rot,spray blue copper 600gac
Farmer Asked sucking pests control information of groundnut crop,50 SC
plant protection,Imidacloprid 05ml liter
TELL ME WEATHER CONDITION IN BATHINDA DIST,30 CHANCE OF RAIN NEXT 5 DAYS
GROUND NUT VARIETY,GROUND NUT VARIETY  SB 11  tag 24 phule unap
Asking about Root rot management in groundnut,:      : :   1     20
variety of groundnut,sb -11  tag -24  phule pragati
groundnut weedicide,Spray 2 4-D-2gramliter
Farmer asked fungus in root control information of ground nut crop,WP  25  30
ground nut water management,recommended to apply water every 10 days intervels
asked about groundnut varieties,for groundnut - following variety can be taken phule pragati  kopargaon - 1
YVM IN GROUNDNUT,RECOMMENDED TO SPRAY DIMETHOATE 2 ML IN 1LITRE OF WATER FOR YVM IN GROUNDNUT
test call,test call
Farmer asked query on Weather,:     :        34      24     8
Farmer asked about seed rate of ground nut,Seed rate of ground nut 40 Kgs acre
ASKING ABOUT APHIDS MANAGEMENT IN GROUNDNUT,Spray Dimethoate 30 EC  17 mllit water
Ask about larvae control information in peanut  Hairy Caterpillar,EC 15
TELL ME WEATHER REPORT IN CG,NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY
HERBICIDES,Pursuit imazethapyr 30ml 15 lit water-Soybeanred gramgnut
TELL ME YELLOW MOISE  MOONG  CONTROL,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER
FARMER ASKED ABOUT TO MICRO NUTRIENT MANAGEMENT IN GROUNDNUT,4 ML
musterd  me  dimk  h,Cartap Hydrochloride 4G  8  kg    acer  ka  pryog  kre
control of leaf spot attack,spraying of kavach 25 gram  15 liter water
plant protection,spray saff 2gml of water
FERTILISER DOSE FOR GROUND NUT,8:8:16 KG NPK PER ACRE
sucking pest in ground nut,spray rogor 2 ml in 1 litre water
Please give me weather information,Kisan bhai badal bane rahenge barish ki sambhavna nahi hai
farmer want to know information about seed treatment of Grount nut crop,recommended for   seed treatment of gram treat the seed with tricoderma viridi 5gmkg of seed or thiram 3gmkg of seed
ASKED ABOUT CONTROL OF LEAF SPOT IN GROUNDNUT,AZOXYSTROBIN 11   TEBUCONAZOLE 183  SC
yellowing,spray bavistin 30 gm  confidor 15 mili pamp
white grub in gnut,chloropyriphos 3-4 l per ha with irrigation
piliya rog in groundnut,feresh sulphat  5 gram per liter water sprey
GROUNDNUT LEAF HEATING CATERPILLER,RECOMENDED FOR PROCLAIM 100 GRACR
information regarding sowing time of carrot,sowing time of carrotaug to sep best time of sowing
TELL ME WIGHT GRUB CONTROL,PLS USE FROMON TRAP
TELL ME ROOT ROT CONTROL IN GROUNDNUT,50 250
ASKED ABOUT SUCKING PEST ATTACK ON GROUNDNUT,SUCKING PEST ATTACK ON GROUNDNUTSpray Rogar 15ml15 Liter of WaterDimethoate-Cheminova
growth for ground nut,recommended to spray multi-k 1 kgacre
tobacco caterpiller in groundnut : spray profenophos 2mlneemoil 3mlteepol 1mllit of water,tobacco caterpiller in groundnut : spray profenophos 2mlneemoil 3mlteepol 1mllit of water
Jassids management in groundnut,Recommended for spray dimethoate 2 mllit of water
Aphids in groundnut,recommended for spray of Roger 2 ml in 1 litre of water
Farmer asked about Preventive measures of pest control on groundnut crop,-   -
GROUNDNUT LEAF EATING CATTERPILLER,SPRAY CHLOROPYRIPHOSE 2MLLITER WATER
TERMITE IN GROUNDNUT,RECOMMENDED TO SPRAY CHLOROPYRIPHOUS DUST 10KG ACRE FOR CONTROL OF TERMITE IN GROUNDNUT
Ask about Fertilizer dose of Groundnut crop,-   00  50
Asking for Groundnut second dose Fertiliser,Suggested there is no requiremnet for nitrogenous fertiliser as supplement but if yellowing observed FeSO4 and Citric Acid Spray should be done
Asked about Plant Protection inGroundnut,Recomended to spray-Dimethoate 2mlliter of water
GROUNDNUT VARIETIES,--      -
LEAF BLIGHT IN GROUND NUT,RECOMMENDED TO SPRAY RIDOMIL METALAXYL  MANCOZEB  2 5 ML PER LITRE WATER
Flower growth,Spray Boom flower 20ml15lit of Water
whitefly management in ground nut,RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS 150 LITRES OF WATER  ACRE
tobacco caterpillar in groundnut,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 150 LITRES OF WATER  ACRE
ask for ground nut army warm,I suggest quinalphos 25 mlpump
about the groundnut tikka leaf spot,recomonded to spray hexaconoazole 2millilitera in liter water
ask for gnut pest,suggest:prophenophose 25mlpump
Asking about caterpillar management in sesame,Recommended for spray Chlorpyriphos 2mllit of water
how to control of fangas diseise moongfali  crop,fangas diseise moongfali  crop  sapray of 40 gram saaf in 150 liter water per acre
fertiliser in gnut at 30 das,no any additional fertiliser needed over basal fertiliser
Information about Cutting the groundnut crop from the root and the plant is drying up,3  20
HERICIDE FOR GROUNDNUT CROP,HERICIDE FOR GROUNDNUT CROP IS PERSUIT OR ODYSSY
Ask for groundnut thrips,I suggested to spray imidaclopride  200 SL 8 ml per pump
SOWING TIME OF GROUND,1 MAY TO 15 JUN
Farmer asked fungus control information of groundnut,wp      Kavach Syngenta Jatayu Coromandel
ground nut rich detail,spray groundnut rich 2kg  200 lit of water
ground nut booster detail,spray ground nut richi 2 kg  200 lit ac
wilt,drenching of redomil gold 30 gram per pump
Information regarding weather in mahendragarh,some clouds and no chance of rainfall today
STEM ROT,COPPER OXYCHLORIDE 3GMLITRE
ask for gnut wilt,suggest:bavistin 25 gmpump sprey
f,a
TELL ME NOT GROWTH OF GROUNDNUT,SPRAY OF ZINC SULPHATE 33 5 GM  UREA 10 GM PER LITER WATER
Plant protection,Spray Dimethoate  17mlltr
TELL ME TIKKA DISEASE CONTROL IN GROUNDNUT,CARBANDAJIM 50 WP 2 GRAMLITER SPRAY
Asking about Any tonic spray for Groundnut,:       :     TNAU   2   200
Asking about control of root rot,SPRAY COPPER OXYCHLORIDE 50 WP  4 GM  LIT OF WATER
Farmer asked seed treatment of fungus problem in ground nut,WP
farmer want to know information about How to control of fungal attack in  grontnut crop,use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water
FIELD MOUSE MENACE,APPLY ZN PHOSPHIDE POISON BAIT
yellowing leaves in groundnut,recommended to spray with thiamethoxam 1ml3ltr of water
TELL ME SOWING TIME OF GROUNDNUT,SOWING TIME OF GROUNDNUT JUNE MID TO JULY MID
groundnut harvest,dry the crop untill the moisture decreases
Asking about borer sucking pest  beetle management in ground nut leaf  flower hole,:           :      15
GROUND NUT LEAF EATING CP,RECOMMENDED TO SPRAY PROPINOPHOS CURECRON PROFEXDON BOLERO  400 ML PER ACRE
Farmer asked Heliothis Larvae Problem in Groundnut crop,SC 7-8
asked about blight and sucking pest  on groundnut,Spray Ullala 8 gm  Redomil Gold 30 GM 15 LITER WATERMetalaxl-M-Syngenta
ask for gnt white grub,quinalphous 20-25 mlpump
weather ki jankri,abhi barish hein
CONTROL OF LEAF BLIGHT IN GROUNDNUT,SPRAY MANCOZEB  25 GM  LIT OF WATER
Asked about nutrient management in Groundnut,Recomended to apply-potash 30kgacre
TELL ME CONTROL ROOT ROT IN GROUNDNUT,USES TRICODERMA 25KG 50 KG MANUREBIGHA IN GROUNDNUT
How to control white grub  Attack  in groundnut crop,control of termite in white grub  crop Apply of Chlorpyriphos 4 Dust 15 kg per Hactare
ask about root wilt in gnut,suggested bavistin 25gm per pump
NUTRIENT MANAGEMENT IN GROUNDNUT,APPLY 13 KG POTASH
Asked about attack of caterpillar on groundnut,Spray Proclaim 5gm15lit of Water Emamectin Benzoate 5 SG-Syngenta
groundnut foliar application,Recommended for groundnut foliar spray TNAU Groundnut rich 2kg  ac  200 lit of water
fertilizer for g nut,use urea 25 kiloekar
asking about Late leaf spot management in groundnut,recommended for Carbendazim 2 gram 1 litre of water
ground nut Bud necrosis,recommended for spray of dimethate 2mllit of water
TELL ME WEEDICIDE IN GROUNDNUT,30  25-3
ground nut sucking pest management,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML 200 LITRES OF WATER  ACRE
GROUND NUT ME WEED CONTROL,Quizalofop ethy 15  EC 400 GM  AC
Farmer asked query on Weather,27
Asked about top up gold fertilizer application in Groundnut,:         :
Asked about plant protection in  groundnut,Recommended to spray saff 2 gram  hexaconozol 1 ml per liter of water
GROUND NUT GROWTH,MULTI K 5 GRLT WATER
TELL ME  GROWTH IN GROUNDNUT,SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
thrips problem in ground nut,Imidacloprid 178 SL 1ml 2 litre pani me gholkare spre kare
TELL ME INSECT COTROL OF GROUNDNUT,SPRAY OF TRIZOPHOS 40 EC 2 ML PER LITER WATER
LOW GROWTH IN GROUNDNUT,SPRAY NPK 5 GML WATER
asked about fertilizer for groundnut,fertilizer for groundnut: jipsam 150 kg  acre
CATERPILLAR ATTACK ON  GROUNDNUT,CATERPILLAR ATTACK ON  GROUNDNUT  SPRAY QUINOLPHOSE 30 ML 15 LITE WATER
potash deficiency in ground nut,recommended for spraying with potassium chloride 10 gram  litre of water
CONTROL LEAF YELLOWISH IN GROUNDNUT,RECOMMENDED FOR SPRAY   MANCOZEB 75 WP  25 GM  LIT OF WATER
GROUNDNUT SUCKING PEST MANAGEMENT,60   150
ledidoptera pest in groundnut,recommonded spray of proclaim 100 grams acre in ground nut
GROUNDNUT  FERTILIZER  MANAGEMENT -,200                45
Ask nutrient management in groundnut crop,:                        -
groundnut tobacco caterpillar management,recommended for spray monocrotophos 300 ml acre
farmer want to get seed in groundnut,please contact your society
herbicide use,no herbicide use after sowing
mungphali ki khudai ka time kya hai,september - october me kudai ki jati hai
Asking about  Groundnut  Black gram foliar nutrition spray management,:       :    - 2   200
Ask about groundnut leaf yellow chlorosis problem,GA 20-25MLPUMP SPRAY
FARMER ASKED ABOUT IRRIGATION IN GROUNDNUT,2  3                                         2-3
Groundnut NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY MULTI-K 1KG ACER
Asking about Can be foliar spray Groundnut rich in other than groundnut crop,:
TELL ME CONTROL OF ROOT ROT IN GUROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
Asked about leaf caterpillar  leaf spot disease management in groundnut crop,:            :  2    2        1
TELL ME ABOUT YELLOWING CONTROLE IN GROUNDNUT,SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
TELL  ME ABOUT DISEASE CONTROL  IN GROUNDNUT,SPRAY OF MENCOZEB 2 GM PER LITER WATER
Asked about sms service activation,sms service is activated on your mobile number
Asked about Groundnut aphids management,:    :  - 2
GROUND NUT GROWTH,MULTI-K  1 KGACRE  IN 200 LITER WATER
Attack of White Grub,Thimate 5 kg  acre
TELL ME NUTRIENT MANAGEMENT IN groundnut,SPRAY OF MULTIPLAX MICRONUTRIENT 4 ML PER LITER WATER
