QueryText,KccAns
WEED GARMINET,SPRAY TARGASUPER1MLLITER OF WATER
weed management,atrazine 2 gm 1 liter
Plant protection in Ground nut crop,kisan bhai aap Chlorpyriphos 20 EC 15 litre pani me milakar spray kare
TELL ME BLACK ROT CONTROL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
Farmer asked query on Weather,:   -      : :              34  C    23 C     6
TELL ME ABOUT WHITE GUEB CONTROL IN GROUNDNUT,USE QUINOLPHOS 15 DUST 25 KG PER HA MIX IN SOIL
Bacterial blight in groundnut,recommended for spray of Carbendazim at the rate of 1 gram in 1 litre of water
TELL ME FERTILIZER IN GTNUT,UREA 4 KG  ZINK SULPHET 2 KG BEGHA  GT NUT
FARMER ASKED QUERY ABOUT ON FERTILIZER SCHEDULE IN GROUND NUT,RECOMMENDED TO APPLY UREA 9 KGS AND ZYPSUM 200 KGSACRE
Pod filling in groundnut,Recommended to apply  gypsum 100kg for pod filling in groundnut
ground nut ferrous deficiency,RECOMMENDED TO SPRAY FERROUS  20 gram per liter of water
mungphali ki varietes,kausal prakash  amber utkrsh
Asking about Alterneria leaf disease in groundnut,:      : :      2
Farmer asked query on Weather,31     26     6
fertilizer dose,fertilizer dose -50 kg urea 125 kg gypsum hect
VARIETIES OF GROUNDNUT,HNG-69 M-13
Aphids in groundnut,Recommended for Spray imidaclopride 05 mlliter of water
SEEDLING ROT IN GROUNDNUT,METALAXYL M Z 3 GM  10 L WATER - DRENCHING
TERMITE PROBLEM IN GROUNDNUT,USED PIPRONIL 250ML  BIGHA
asked about weed management in groundnut,weed management in groundnut-spray parsut after one month of sowing
Fertilizer dose,50 KG SUPHALA  50SP KGACER
Asking about TNAU GROUNDNUT RICH Availability information,: TNAU      :
ground nut leaf spot,RECOMMENDED TO SPRAY IMIDACHLOPRIDCONFIDOR TATAMIDA  VICTOR ATOM   160 ML PER ACRE
GROUNDNUT CROP IS AFFECTED BY YELLOQWING PROBLEM,USE ZINK SULPHATE 25 KILOGRAM PER HECTARE BY SOIL APPLICATION WITH IRRIGATION
asking about groundnut root rot management,recommended for carbendazim 2 gram 1 litre of water
TELL ME PEST CONTROL OF GROUNDNUT,SPRAY OF INDOXACARB 145 SC 1 ML PER LITER WATER
TELL ME ABOUT TERMITE CONTORL IN GROUNDNUT,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER
farmer asked about information of fertilizer management  in groundnut crop,90 1      3
FARMER ASKED ABOUT TO MICRO NUTRIENT MANAGEMENT,4 ML
Asked about Plant protection in ground nut,Recommended to spray Redomil gold 2gmslitr
watermelon varieties,watermelon varieties--sugarkingaugastakiran
ask about CAN fertilizer application in groundnut,-
TELL ME ABOUT SEED TREATMENT IN GROUNDNUT,clothianidin 50 wdg  2
ASKED ABOUT ATTACK OF THRIPS ON GROUNDNUT,-  25 5 15
PLANT PROTECTION,DRENCH CARBENDIZIUM 1GML OF WATER
Ask about growth problem in Groundnut crop,25-30
ASKING ABOUT CULTIVATION OF GROUNDNUT,KINDLY CHECKING THE SOIL
groundnut ki jankari,apni mitti ka testing karaye
ASKING ABOUT SOWING TIME OF GROUND NUT,SOWING TIME OF GROUND NUT-IN THE MONTH OF JUNE
Ask about chek Market price,--agmarknetgovin
Farmer want to know information about Weed Management on Pigeon pea crop as a pre-emergence,-
ASKED ABOUT ATTACK OF NAGALI ON GROUNDNUT,SPRAY  CALDAN 15 GRAM 15 LIT WATER
mungphali me uktha rog laga hai,rogrodhi kisme boye  soil ka treatment kare
TELL ME ABOUT CATERPILLER CONTROL IN GROUND NUT,SPRAY OF PROFENOFOS  CYPERMETHRIN 15 ML PER LITER WATER
mausam ki jankari de,poore hafte mausam saaf rahega aur barish ki koi sambhawna nhi hai
TELL ME CONTROL OF ROOT ROT IN,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
LEAF BLIGHT IN GROUNDNUT,SPRAY MANCOZEB  4GM PER 1 LITER WATER TO CONTROL LEAF BLIGHT IN GROUNDNUT
Yellowing of leaves,Spray combi 1 gm  silicon 2 gm  liter of water
Asking about Any fungicide can be mixed with Profenophos  Leaf miner control in groundnut,:           :         15   2  1
FARMER ASK ABOUT WATER MANAGEMENT IN GROUND NUT,:                   -
Asked about plant protection,COPPER OXY CHLORIDE 3 GMLTR AND STREPOCYCLINE 05GM LTRE
Asked about leaf caterpillar management in Groundnut,:    :  2   1
LEAF YELLOWLEAF HOLE,SPRAY IMIDACHLOROPRID 1ML3LIT WATER
Asked about seed treatment for groundnut crop,:     :    4
asking abt fertilizer,i have suggest DAP
TOBACCO CATTER PILLER IN GROUNDNUT,RECOMMENDED TO SPRAY QUINOLPHOSEKALUX FLASH DHANULUXQUINGUARD 400 ML PER ACRE
TELL ME NUTRIENT MANAGEMENT,SPRAY OF PLANOFIX 4 ML PER 16 LITER WATER
TELL ME  SOWING TIME GROUNDNUT,SOWING TIME OF GROUNDNUT 1 APRIL TO 15 JUNE
Insect problem in ground nut,Spray imidachloprid  1ml3lit of water
information about of improved variety Groundnut crop,65-70
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT,-  -  -  -    -        -
TELL ME CONTROL OF  SHOOT BORER CONTROL IN GROUNDNUT,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER
Asking about Planofix growth regulator availability,:       :
GROUNDNUT  THRIPS DAMAGE  MANAGEMENT,RECOMMENDED TO SPRAY DIMETHOATE 2 MILLI LITER  LITER WATER
ground nut flowering,spray 19-all fertilizer 2gliter
water in gr nut,8 to 10 days interval
WANTS TO KNOW THE PLANT GROWTH REGULATOR FOR GROUNDNUT,RECOMMENDED FOR SPRAY   ALPHA NAPTHALENE ACETIC ACID   1 ML  45 LIT OF WATER
Farmer asked query on Weather,DRY WEATHER NO CHANCE OF SHOWERS IN YOUR AREA        42C - TEMPERATURE
asking about Late leaf spot in groundnut,recommended for the spray Chlorothalonil 2gm lit of water
Asked about foliar application in Groundnut,:       :   1     20
Asking about How to increase the pod yield in groundnut,:   : 05
ground nut nutrient management,recommended to apply gypsum 200 gm  acre
TOBACCO CATERPILLERS IN GROUNDNUT,RECOMMENDED TO SPRAY MONOCROTOPHOS 400 ML ACRE
Asking about caterpillars management in groundnut,:     :      2
basal rot,zineb
Farmer asked Larvae control information of groundnut,EC
asking about groundnut leaf miner management,recommended for chloripiriphos 2 ml 1 litre of water
TELL ME FUNGAS CONTROL IN GROUNDNUT,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER
ROOT ROT,--APPLY MANCOZEB 3GM LT OF WATER DRENCH THE SOIL RIDOMIL GOLD 500GM ACRE SPRAYON THE PLANT
Asking about fertilizers,I have suggested to give DAP and Urea
Asking about  Jewel beetle management in  Groundnut,:       :      15
SEED RATE OF GROUNDNUT,SEED RATE OF GROUNDNUT 80-100 KG PER HA
ask for groundnut pre weediside,spray pendimithlin 50gmpump for weed problem
asked about sowing time of groundnut,sowing time of groundnut - january
ground nut stem rot,recommended to spray copper oxy chloride 3gm or Mancozeb 3 gm  lit of water
tell me seed treatment in groundnut,2   kg
FARMER ASKED ABOUT BLIGHT ATTACK IN GROUNDNUT,-
TELL ME CONTROL UTKA ROG IN GROUNDNUT,--       400        AGLE DIN  2
TELL ME GURB CONTROL IN  GROUNDNUT,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
ground nut leaf damage,RECOMMENDED TO SPRAY NOVALURANINDOXICARB  350 ML PER ACRE
Ask for the drying of the gnut,I suggested for the carbendezim-20 gm pump as a drenching
Termite infestation in groundnut,Advised to use Chlorpyriphos 15  Dust 5kg  per acre for termite infestation in groundnut
FARMER ASKED ABOUT WILT ATTACK ON GROUNDNUT,-     30     30
leaf spot,chlorothalonil
Asking about Weather Forecast,In This Week Cloudy weather No Possibility of rainfall today
varities of groundnut,varities of groundnut- TAG-24
VARIETIES OF GROUNDNUT,ADVISED TO SOW TAG-24 KADIRI 4 5 6 VARIETIES
ASK ABOUT WILT IN GNUT,Blue copper 40 gmpump AND DRENCHING
Asking about Micronutrient mixture spraying information during rainy days  for groundnut crop,:             :
Ask about fungus problem in groundnut crop,WP 35-40
ground nut stem rot,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE
TELL ME CONTROL OF CROWN ROT,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
ask for registered,I registerd from kcc
ask about general information,Suggsted : thanks for calling kisan call center
GROUND NUT SEED TRETMENT,RECOMENDED MANCOZEB 3GR KG SEED
Farmer asked fungus in root control information of GROUNDNUT,WP
ground nut late leaf spot,recommended to spray azxistron 1mlliter
root rot in groundnut,Recommended for apply trichoderma viride 1 kgacre
attack of thrips on groundnut,Spray Karate 10 ml15 Liter of WaterLambda 5 SC-Syngenta
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT,-  -           -    -
TELL ME ABOUT ALTERNARIA BLIGHT CONYTROL IN GROUNDNUT,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER
armer wants to know information about How to control of fungal attack in groundnut crop,Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water
TELL ME ABOUT WEATHER INFORMATION,TOMMORROW MAY BE LIGHT RAIN
WEED,SPRAY OF PURSUIT
Asking about groundnut weed management,:   :
FERTILIZER MANAGEMENT IN GROUND NUT,RECOMMENDED TO APPLY 200 KG ZYPSUM PER ACER
TELL ME WEATHER INFORMATION,LIGHT RAIN POSSIBILITY IN NEXT 2-3 DAYS
ask about ground nut variety,I suggested to GG-20 variety
Farmer asked Varieties information of Castor crop,-   -              -  https:icar-iiororgintechnologycultivarscastor
plant protection of groundnut,Cartap Hydrochloride 4 GR75-10 kgacre ki dar se khet me bikher de
ASKED FOR THRIPS ATTACK ON GROUNDNUT,THRIPS ATTACK ON GROUNDNUT-SPRAY- KARATE 25 ML IN 15 LITERS OF WATER
yellowing control GROUNDNUT,yellowing control SPRAY OF ferus sulphate 5 g PER LIT WATER
Information about Groundnut crop has become weed after sowing above 20 days,20
root rot management in groundnut,rxcommended to spray copper oxi chloride 600 grams  20 grams streptocyclin acre
TELL ME WEED CONTROL IN  GROUNDNUT,SPRAY OF PENDIMETHILIN 30 EC 25-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION
NUTRIENT MANAGEMENT IN GROUNDNUT,RECOMMNEDED TO APPLY 15 KG UREA PER ACRE AT 30 DAYS AFTER SOWING
TELL ME FERTILIZER  IN GROUNDNUT,SOWING IN SSP - 20 KG BEGHA
Farmer asked fungus control information of  groundnut,WP    WP 10-15
Farmers want to know whether Pre-emergency weedicide can be used in groundnut,-
tell me control of yellow leaf in groundnut,5     1
Farmer asked about weed control information in Groundnut crop at 25-30 DAS,165   -  8
flower reducing in gnut,sprey rec dosage of multi-k
ground nut cutworm management details,recommended for spray quinolphos 2 ml  lit of water
ASKING ABOUT FERTILIZER DOSE OF GROUNDNUT CULTIVATION FIELD,CONTACT WITH BLOCK  ASSISTANT DIRECTOR OF AGRICULTURE ADA
groundnut basal fertilizer management,Recommended for apply DAP 50 kg  gypsum 75 kg  ac
Top dressing fertilizer management for groundnut,Recommended for apply urea 25 kg   potash 15 kgac
FARMER ASKING ABOUT VARIETIES OF GROUNDNUT,:
Farmer asked Varieties information of Ground nut crop,66  :-      - 95
ask about groundnut varieties,:
FARMER ASKED ABOUT RABI SEASON GROUNDNUT CULTIVATION,-       - -41
leaf eating cater pillar on groundnut,Spray Profex Super 30 ml  15 lit of water
Asked about DAP solution application information,:            :
TELL ME WEATHER INFORMATION,RAIN POSSIBILITY UPTO NEXT 2-3 DAYS
TELL ME WEATHER REPORT IN BARMER,RAIN POSSIBILITY IN NEXT 5 DAYS AND  CLOUDY SKY
ask about groundnut,Suggested: Carbozin 75 WP vitavax 3 gramkg seeds  for fungus protection
Asking about groundnut water scarcity management,Recommeded to spray PPFM 10mllit of water
fertilizer info,gipasam wapar kara
GROUNDNUT SUCKING PEST MANAGEMENT,GROUNDNUT SUCKING PEST MANAGEMENT : RECOMMENDED FOR SPRAY NEEM OIL 5 ML  ACEPHATE 15 GRAMS 1 LITRE OF WATER
TELL ME CONTROL YELLOW LEAVES COLOUR IN GROUNDNUT CROP,SPRAY OF FERUS SULPHATE 5 GM  CITRIC ACID 1 GM PER LITER WATER
whitegrab control,give cloropyriphos 2 litha
basal fertilizer management for rice,apply 5o kg DAP ac
WEEDS HAI GROUND NUT,IMEJATHAIPAER 10  250 MLACRE
ask about rust control in groundnut crop,SC 15-20
water management,8-10 days intervals
THRIPS,spray methyl demeton 2 mili per litre of water
Ask nutrient management in groundnut crop,:
Seed treatment - Trichoderma viride for Groundnut,Recommended for treat the seeds with Trichoderma viride - 4 gkg of seed
Asked about Groundnut seed rate,:     : 50
Information about Fertilizer use in Ground nut crop,30     8
The neck region of the plant with black colour gradually such plants withers,Spray Dimethoate 30 EC  17 mllit waterADD Carbendazim 1 GRAM PER LITER OF WATER
FARMER ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,-  5   05
Attack of  Wilt Mar,Drenching of  Blue Copper 30 gm Copper Oxichloride-syngenta
Asking about Groundnut Root rot management,:      :      - 1  20            - 1
TELL ME NUTRIENT MANAGEMENT,SPRAY OF IMAMECTIN BENZOATE 1 GM PER 3 LITER WATER
TELL ME NUTRIENT MANAGEMENT,DRENCHING OF CARBENDAZIM 2 GM PER LITER
ask for fertilizer information,SUGGESTED NEEDED FOR THE CROP
GROUND NUT SPODOPTERA MANAGEMENT :,GROUND NUT SPODOPTERA MANAGEMENT :RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 200 LITERS OF WATER  ACRE
attack of sucking pest on groundnut,spray supar confidor 6 ml  15 litter of water for controlling sucking pest on groundnut
ask for groundnut  tikka information,suggest: spray mancozeb 35gmpump
Ask about blank pod in ground nut crop,3     300
iron deficiency in groundnut,recommended to spray ferrous sulfate  20 grams per litre
Farmer asked query on Weather,29      24       5
Farmer wants to know information about How to control of fungal attack in onion crop,Recommended for to control of fungal attack in gram crop use belidamycin 25ml at 15 liter of water
Asking about rust in groundnut,:       :     2
yellow leaf spot in groundnut,mancozeb 1 gram ko 1 liter pani men ghol kar chhidkaw Karen
ask about groundnut,suggest spinocide 5gmpump spray
WEED MANAGEMENT IN GROUNDNUT,KHET KI NIRAI GUDAI KARYE
FARMER ASKED QUERY ABOUT PEST MANAGEMENT IN GROUNDNUT,5-10
Asking about Growth regulator and Herbicide using days interval information,:          :3
ROOT ROT,SPRAY SAAF 2GMLT OF WATER
Farmer asked Larvae control information of cotton crop,SC 7-8
stem borer control,apply cartap hydrochloride  75 kg  acre r
groundnut diesease,spray mancozeb 2gl of wster
GROUNDNUT WILT,Spray copper oxy chloride  30g streptocyclin  1g 10l of water twice at weekly interval
Ask about sucking pests problem in crop,Ask about sucking pests problem in crop Suggested: Dimethoate 30 EC  30 mlpump spray
WHITE GRAB IN GROUNDNUT,termite control in PLANT USE choloropyrifos 20 EC 30 ML PER PLANT WITH WATER  IRRIGATION
sucking pest in groundnut,recommended for spray fipronil 15mllit
weed management in Groundnut,Hoeing is done
fertilizer management for groundnut,apply urea 12kg  potash 34 kg mn mixture 5 kgac
Asked about plant protection in groundnut,suggested to spray quinolphos  2 ml ltr of water
root rot in groundnut crop,TELL ME ROOT ROT CONTROL IN GROUNDNUT
TELL ME SOIL TREATMENT FOR CONTROL OF WILT DISEASE in ground nut,USE TRICHODERMA 25 KG PER 100 KG FYM
ask about variety information of groundnut crop,:-  :- -  -  -3233  :-  -  -  -
Farmer asked query on Weather,:        :             34       10
termiti in ground nut,cloropayriphos 1 literacre spray krein
CONTROL OF APHID IN GROUNDNUT,RECOMMENDED FOR SPRAY   THIAMETHOXAM 25 WG  1 GM  2 LIT OF WATER
Farmer asked about Fungus in Ground Nut,:
ask for water information in gnut,suggest:apply to irrigation intime
ask for groundnut white grub information,suggest: drenching with cloropayriphose 40mlpump
ASKED ABOUT TO NUTRIENT MANAGEMENT GROUNDNUT,- 20-25
Asking about top fertilizer management for groundnut 40-45 DAS,:    : :  160  4
FLOWER DROP IN GROUNDNUT,SPRAY PLANOFIX  3ML15LIT WATER FOR FLOWER DROP IN GROUNDNUT
Farmer asked Larvae control information of Groundnut crop,EC 15
leaf eating catter piller in ground nut,karate 2mlliter water
Farmer asked Larvae control information of Groundnut,SC 7-8
Information about the protection form termite,Carbofuran 3G  8
TELL ME CONTROL OF BLACK ROOT OF GROUNDNUT CROP,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
Farmer asked query on nutrient management in groundnut,RECOMMENDED TO SPRAY BORAX 2 GR1 LITRE OF WATER
Farmer asked Larvae Problem in groundnut crop,EC 0                    ppm
Asking about stem rot management in groundnut,Recommended for apply Trichoderma viride 1 kg  farm yard manure 20 kg  acre
Ask about seed treatments of White Grub,FS
Ask about sucking pests problem in crop,Suggested: Profenofos 50 EC 50 mlpump spray
Farmer want to know information about  how to increase growth of  groundnut crop,30-35ml
tell me disease control in groundnut,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
Asked about leaf folder management in paddy,:      :     3     1
Asked about root rot management in Groundnut,:        :   1     20
TELL ME APHIDS CONTROL IN GUAR,SPRAY OF MONOCROTOPHOS 36 SL 2 ML PER LITER WATER
ASKING ABOUT  INDUCE FLOWER IN GROUNDNUT PLANT,SPRAY GRADE 2    2-3 GMML  LIT OF WATER       BOZNMO
VARIETY OF GROUNDNUT,VARIETY OF GROUNDNUT- TAG-24 PHULE PRAGATI SB-11
Ground nut leaf webber management,Recommended for Spray Chlorpyriphos 20 EC Perfban Terminator2ml  lit of water
Information regarding weather in sirsa,Information regarding weather in sirsa Some clouds and  chance of rainfall today
Farmer asked larva Problem in groundnut crop,SC
thrips and lurf curling,spray imidacloprid 1ml liter and boron 2gmliter
Asked about Sucking pest  leaf minor management for Groundnut,:             :  2  1
Ask about fungus problem in Root,:   8
Leaf Eating Caterpillar,Spray monocrotophos 15ml15 Lit of Water
TERMITES IN GROUNDNUT FIELD,RECOMMENDED TO APPLY CHLOROPYRIPHOS DUST 10 KG PER ACRE TO CONTROL TERMITES IN GROUNDNUT FIELD
ASKED ABOUT VARITIES OF GROUNDNUT,VARITIES OF GROUNDNUT :TAG-24SB-11 PHULE PRAGATI DAFTARIPHULE UNAP
Ask about sucking pest control in groundnut,40         ppm
STEM ROT IN GROUND NUT,RECOMENDED DOSE OF CARBENDAZIM 2GM1LIT WATER SOIL DRANCHE
asked about root grub management in Groundnut,:     :   1    1
Ask for groundnut wilt,I suggested to drenching blue copper 45 grampump
Suggested:,Spinosad 45 SC Tracer 5mlpump spray Thrips
Ask about seed treatments of fungus Problem Ground nut,DS
Asked about leaf caterpillar management in Groundnut,:     :  2   1
tell me control of yellow color in groundnut,FERUS SALPHAT 5 GRAM PAR LITER SPREY
tobacco caterpillar in ground nut,RECOMMENDED TO apply  CHLORPYRIFOS 25 ML1 LITRE  OF WATER
attack cut worm,Spray Nuvan 15ml 15Lit of Water
Asked about Nutrient management in  GROUNDNUT,Suggested to apply Complex fertilizer and spray SAMRUDDHIMULTIPLEX tonic  2mllitre of waterGypsum - 100 kg per acre
About nematode in Gronudnut,Recommended for apply carbofuron 3-5 kg  20 kg sand or FYM  acre
TELL ME TREMIT CONTROL IN GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
Farmer asked basal soil application for pests and insects Control information of Groundnut,GR
Asking about Organic foliar spray application for Groundnut,:        :
Farmer asked Larvae and Sucking pests control information Groundnut,126    95  ZC
mung phalli me kire lag rhe hai,cartophydrocloride 4g 6kgacre
ask abt sucking pest problem,suggested trizophos and regant 20 mlpump
TEL ME WEED CONTROL IN groundnut,YOU CAN NOT USE HERBICIDE IN STANDING CROP OF groundnut
PLANT PROTECTION RELATED QUERY,2
GROUNDNUT SEED VARIETIES,NARAYANI AND K 6
TELL ME TERMITS CONTROL IN GROUNDNUT,QUNOLFOSH 15  5 KGBIGHA
Downy or blight,Spray Bavistane 15 gm15 Liter of WaterCarbandazin-Basf
farmer want to know information about How to control of tarmit attack in groundnut crop,recommended for to control of tarmit attack in groundnut crop plz drench the field with chlorpyriphos 20 ec 01 literacre
control of paccha PURUGU IN GROUND NUT,PROCLAIM  90 GR  ACRE
TELL ME CONTROL NIMETOD OF GROUNDNUT,USE-CARBOFURAN 20-25KILOGRAMHAC
Leaf spot in groundnut,recommended for spray propineb 2 gmlit of water
Asked about seed treatment for groundnut,:     :    4      2
Attack of Thrips,Spray Actra 5 gmbavistin 30 gm15 Lit of Water
Asked about plant protection in Groundnut,Suggested to Spray Chlorpyriphos  2 mlltr of water
ask abt fungi,i suggested bavistin
zipsum level in groundnut,150kgacr
suckking pests in groundnut,RECOMMENDED TO SPRAY ACEPHATE ANTAF ARTIN LUCID   300 GRAMS PER ACRE
Ask about sucking pests control information in Groundnut,SL 7-8
farmer want to know information about How to control of fungal attack in groundnut  crop,recommended for control of fungal attack in gram crop thiophanate methyl roko 25ml and streptocyclin 2 gram at 15 liter of water
white grub problem of groundnut,quinolphos 25 ec 4 liter per hac
fertilizer dose for gnut,1bag dapacre
groundnut helicoverpa damage,recommended to spraymonochrotophos 16 milli liter  liter water
WEED CONTROL IN GROUNDNUT,RECOMMENDED TO DRENCH TARGASUPER 2ML1 LITER OF WATER
Farmer asked weed control in Groundnut crop,-    EC     30
Farmer asked termitewhite grub control information of ground nut,250
Asking about Rust management in groundnut,Recommended for spray Mancozeb 2 gram  sticking 05 ml litre of water
Asked about groundnut stem and root rot,recommended for Pseudomonas 1 kg  25 kg fym  acre
Farmer asked  white grub Problem in ground nut crop,SGCG
Attack of thrips,Spray Admire 5 gm15 Liter of Water Imida 70 wp-Bayer
leaf minor in groundnut,spray quinalphos 25 mllitre
