QueryText,KccAns
Farmer asked weed control in Groundnut  crop,16        EC  25
ask about wilt in gnut,i suggested copperoxicloride 40 gram  15 liter
PEST CONTROL IN GROUNDNUT,QUENALFOS 25EC 2 MLLITER WATER SPRAY
Asking the yellowish leaf in groungnut,Advice to apply 100 gm ferrous sulphate  10 gm cytric acid per pump
asking abt the rainfall,i have that there is no rainfall in this week
pest control in groundnut,SPRAY OF TRIZOPHOS 40 EC 2 ML PER LITER WATER
Farmer asked Varieties information of Soybean crop,-  -3 -- ---
GROUNDNUT ME WEED CONTROL,Quizalofop ethy 15  EC 400 GM  AC
weed control,parshut 25 ml15 lit water
Ask about reno 39 groundnut related information,-39:-     40
ASKED ABOUT VARIETIES OF GROUNDNUT,VARIETIES OF GROUNDNUT - WESTARN-44WESTARN-55
about whitegrub in gruondnut,QUNALPHOS 25   EC  4 LITTER  HAC
Farmer asked about fungus problem in Root of Groundnut,12    63  Ws 5
Ask about all type of pest control in groundnut crop,ppm
RUST MANAGEMENT IN GROUNDNUT,RECOMMENDED TO SPRAY CHLOROTHALONIL KAVACH 400 GRAMS  ACRE
ATTACK OF WHITE GRUB IN GROUNDNUT,ATTACK OF WHITE GRUB IN GROUNDNUT: Use Thimet 4 kgacrediethyl S- phosphorodithioatemvac
tell me black root control inn groundnut,250
Ask about water management in groundnut,-  10 SL           -
Seed treatment in Groundnut,Seed treatment in Groundnut: Advised to treat 1kg seeds with 2gm of Carbendazim 50WP
groundnut  rust,mancozeb 35 gram per pump and to spray
GROUNDNUT WHITE FLY DAMAGE,RECOMMENDED TO SPRAY ACEPHATE 15 GRAM  LITER WATER
FARMER ASKED ABOUT ATTACK OF SUCKING PEST ON GROUNDNUT,7   15
Asked about White grub management and Prevent white grub in Groundnut Granules can be apply,:       :   2  1          80
groundnut tikka leaf spot,hexaconazole 400 mlac
GROUND NUT TOBACCO CATTER,RECOMMENDED SPRAY THIODICARB  LARVIN 300 GACRE
TERMITE MANAGEMENT IN GROUNDNUT,APPLY CHLORPYRIFOS  8KGACRE AS TERMITE MANAGEMENT IN GROUNDNUT
season for ground nut cultivation,season for ground nut cultivation-JANUARY-FEBRUARY
33 2 msPartly cloudy and light rainPrecip chance: 13,33 2 msPartly cloudy and light rainPrecip chance: 13
Asking about mosaic sucking pest management for groundnut,:       : :      2
Asked about plant protection,Recommended to spray Malathion 5 D  8 kgacre during morning hours
TELL ME WEATHER INFORMATION OF GANGANAGAR DIST,TWO DAY RAINFALL
fertilizer dose :,fertilizer dose :recommended zypsum 200kg acre
COLLAR ROT IN GROUNDNUT,SPRAY SAAF 2G  PLANTOMYCIN 1G PER 1LTR WATER
asked about increase flowering rate,to increase flowering Spray Boom flower 20ml15lit of Water
DEFOLIATOR PEST INFESTATION ON GROUNDNUT,spray PHOSALONE  2 ml per litre water
ground nut tikka,spray folicure 050mllit
Asked about plant protection in groundnut,2          35 -2
asking about groundnut top dressing fertilizers,recommended for apply gypsum  - 75 kg  borox - 4 kg acre
ask about fertilizer dose in groundnut,-
TELL ME ROOT ROTR CONTROL IN GROUNDNUT,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
farmer want to know sowing time of groundnut crop,Peanut sowing time have a big effect on the yield Sowing should be enough moisture in the fields but also in the more moisture the seeds are likely to rot Kharif sowing of peanuts from the third week of June until the second week of July when should be Plewa by early sowing of the crop at the time of heavy rains Bdwar is faster and does not harm the crop Rain sown at the commencement of the growth of plants is affected is the rapid outbreak of weeds
Ask about larvae control information in Ground nut,SC 7-8
Farmer wants to know information about groundnut digging,-:
Aphids in groundnut,Recommended for spray dimethoate 2ml  lit
tikka disease on groundnut,kocide 20 gm 15 ltr water
farmer asked about variety of groundnut,- -            -    -
WEED PROBLAM IN RICE,NIRAAI GUDAAI KRE
GIVE ME WEATHER INFORMATION,KISAN BHAI APKE YAHA 24-29 JUNE TAK  BADAL RAHENGE  BARISH KI SAMBHAWANA BAN SAKTI HAI
Asked about Plant protection in Ground nut,Recommended to spray Dimethoiate 2mllitr
APPLICATION OF FERTILIZER IN GROUND NUT,RECOMMENDED TO APPLY UREA 8KGSUPER PHOSPHATE 16KGPOTASH 8KG PER 1 AC
groundnut fertilizer,ON 45 TH DAY GYPSUM 160KGAC
GROUNDNUT LEAF EATING CATERPILLAR MANAGEMENT,60      200
mung phalli ki jad me galan lag rhi hai,thiophinate methayl 70-500gmacre
Information regarding varieties of groundnut,: -4  -2  -1
Asking about Seed rate for Groundnut,Recommended for 50 kg acre
TELL ME NUTRIENT MANAGMENT IN GROUNDNUT,20 KGBIGGA UREA25 KG ZING NUTRIENT MANAGMENT IN GROUNDNUT
which fertilizer use peg formation stage,peg formation stage 50kg gypsum acre
Farmer asked jassid  problem in groundnut crop,WG   WS 8
TELL ME FERTILIZER IN GT NUT,BROADCAST IN UREA  3 KG  BEGHA   ZINK SULPHET 2 KG  BEGHA
CONTROL OF TIKKA DISEASE IN GROUNDNUT,RECOMMENDED FOR SPRAY  CHLOROTHALONIL 75 WP   2 GM   LIT OF WATER
Asked about Groundnut Cake application,:      : 100   5
asking about Groundnut seed rate,Recommended for Groundnut seed rate : 50 kg  acre
TELL  ME  SOLAR PUMA SUBSIDY,SUBSIDY ON SOLAR PLANT70 OF TOTAL COST
TELL ME SEED TREATMENT IN GROUNDNUT FOR CONTROL OF WHITE GRUB IN GROUNDNUT,USE CLOTHIANIDIN 2 GM PER KG SEED FOR CONTROL OF WHITE GRUB IN GROUNDNUT
asking about Tobacco caterpillar and Aphids management in groundnut,:          : :     2    1
Asking about Tobacco caterpillar management in groundnut,:     : :  10      4
Asking about groundnut tobacco caterpillar management,15
tobacco caterpillar in management,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 150 LITRES OF WATER  ACRE
Groundnut leaf miner,recommended for spray profenophos 2 mllit of water
Suggested: dial 491103 from your mobile,Suggested : all information provide  thanks for calling in kisaan call center
Asked about aphids management in groundnut,:     :    3
Ask about variety,Suggested: TGA 37
ask for gnut caterpillar control,sprey quinalphos 20 mlpump
TELL ME CONTROL OF PEST IN GROUNDNUT CROP,SPRAY OF PROFENOFOS 15 ML PER LITER WATER
powdery mildew in groundnut,recommended to apply sulfex 4 gram in 1 litre of water spray
FARMER ASKED QUERY ABOUT WEED MANAGEMENT FOR EMPTY FIELD,--RECOMMENDED TO SPRAY GLYPHOSATE GLYCILROUNDUP2LITERS  UREA 2 KGS200 LITER OF WATERACRE
groundnut varities,groundnut varities kadire 659ananthavemana
ASKED ABOUT  DISEASE CONTROL IN GROUNDNUT,50  250
Farmer asked query on Weather,-             35      29      8
MOONGPHALI ME DIMAK LAGA HAI,CHLORPYRIPHOS40 LIHA
variety of groundnut,variety of groundnut  SB 11   TAg 24 fule pragati
LEAF EATING CATERPILLAR IN GROUNDNUT,RECOMMENDED TO SPRAY CHLOROPYRIPHOUS 2ML LIT WATER FOR CONTROL OF LEAF EATING CATERPILLAR IN GROUNDNUT
How to control weeds in groundnut,Pendimethalin  1 litre aiha can be applied as pre-emergence spray to control weeds
moongphali bone ka samay,15 june to 15 jully
Leaf Eating Caterpillar,SPRAYING  of Chloropyriphos 40 ml  15 lit of water
Asked about what fertilizer will good for groundnut crops DAP OR 20:20 complex fertilizer,:      20 20      :
Ask about groundnut information,WP 50
TELL ME NUTRIENT MANAGEMENT IN GROUND NUT,SPRAY OF MULTIPLAX MICRONUTRIENT 4 ML PER LITER WATER
GROUND NUT GROWTH,MULTI-K 1 KGACRE IN 200 LT WATER
Asking about weather forecast,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEKTEMP -MIN-16 DEGREE AND MAX- 33
farmer want to know information about How to control of tarmit attack in Groundnut crop,recommended for to control of tarmit attack in Groundnut crop plz drench the field with chlorpyriphos
leaf minor,Dimethiate 30 EC 660 mlha
attack jassids,spray confidor super or actra or regent
asked about tikka leaf spot management in groundnut,:       :  2  1
ASKED ABOUT GROUNDNUT CULTIVATION,-  -  -    --     ------ -- -
CUTTING PEST IN GROUNDNUT,SPRAY MONOCROTOPHOS 36  SL 2 ML LTR WATER
tel me weather report in BARMER,RAIN POSSIBILITY IN AFTER 1-2 DAYS
Ask for Gnut fertilizer,Suggest to use sulphar fertilizer
Farmer asked Aphid problem in GROUNDNUT  crop,SL 6-8
fertilizers in ground nut,apply gupsum 100 kgs acre  at  45  days  time  and apply potash also
Farmer Asked sucking pests control information of groundnut,4    4  40 ml
INFORMATION REGARDING SEED RATE OF GROUNDNUT,SEED RATE OF GROUNDNUT 40-45 KG PER ACRE
stem rot in groundnut,recommended to spray mancozeb  400 grams per acre
ground nut tobaccocatter piller,RECOMMENDED TO SPRAY DICHLOROVAS NUVAN DOOM FUME LAVA 250 ML PER  ACRE
Information regarding water management in groundnut,1
Farmer asked query on Weather,:      :                 39      26      6
TELL ME DISEASE CONTROL IN  GROUNDNUT,USE CARBOFURAN 3 G 25-30 KG PER HA
TELL ME TERMAIT CONTROL IN GROUNDNUT,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
groundnut seed management,recommended for hand weeding
POWDERY MILDEW,RECOMENDED DOSE OF SULFEX 5GM1LIT WATER SPRAY
ABOUT THRIPS CANTROL IN GROUNDNUT,SPRAY OF IMIDACHLOPRID 175 SL 05 ML PER LITER WATER
stem rot in groundnut,Copper Oxychloride  25 gramliter pani me spre kare
fertilizers,recomended as per dose
Asked about to  ABOUT INSECT CONTROL IN  peanut,06   6-7
Basal fertilizer management for groundnut,recommended for apply DAP 5Okg  gypsum 80 kg ac
Information regarding weather,Some clouds and chance of rain fall today
Farmer asked fungus control information of,wp 35
TELL ME BLACK ROOT DISEASE CONTROL IN  GROUNDNUT,TRICODARMA 25 KG 100 KG FYM HAC
CONTROL OF COLLAR ROT IN GROUNDNUT,RECOMMENDED FOR SPRAY  THIOPHANATE METHYL 75 WP  1 GM   1  LIT OF WATER
LEAF MOSAIC IN GROUND NUT,RECOMMENDED TO SPRAY DIMETHOATEROGAR ROGARIN 400 ML PER ACRE
Farmer wants to know information about how to control sucking pest in groundnut crop,5  SC 30 ml
Asked about bio fertilizer management in groundnut,:      :             20
ASKED ABOUT TO CONTROL OF INSECT IN  GROUNDNUT,5  1   3
plant protection,Recommended MICRONUTRIENT TONIC SPRAY
SUCKING PEST,METHYL DEMETON
weed management in onion,Recommended for apply hand weeding
Seed treatment for groundnut,recommended for treat the seeds with carbendazim 2gmkg of seed
Farmer wants to know about sowing time of grount nut crop,sowing time of grount nut crop is mid of june to 1 st week of july
TELL ME PLANT PLANT PROTECTION IN GROUNDNUT,SPRAY OF MENCOJEB 2GM PAR LITAR WATER
GROUND NUT WHITE FLY,RECOMMENDED TO SPRAY CHLORPYRPHOSKORBAN DURSBAN LETHAL CLASSIC RADAR 500 ML PER ACRE
parthenium irradiction,removal of plants
Askad about to irrigation in groundnut  crop,15  20
ASKED ABOUT TO INSECT CONTROL IN  GROUNDNUT,5  sc 2
weed management in ground nut 30days,recommended to hand weeding best method
TELL ME ABOUT YELLOWING IN GROUNDNUT,TOP DRESSING OF ZINC SULPHATE 5 KGUREA 25 KGBEEGHA
Soil treatment for Groundnut,Recommended to apply  Chloropyriphos 15  DP  10 kg per acre for Soil treatment for Groundnut
groundnut nutrients management,recommended to spray mucronutrients mixture  5 gram  liter water
Ask about fungus problem in Rootof Groundnut crop,WP
--TELL ME ABOUT INSECT CONTROL IN GROUNDNUT,25   4
wilt,drenching of bavistin 15 gm  humic acid 30 ml per pump
ASKED GROUNDNUT,RECOMMENDED TO SPRAY QUINOLPHOSEKALUX FLASH DHANULUXQUINGUARD 400 ML PER ACRE
Information about Fertilizer Dose in Groundnut Crop,- DAP - 52   MOP - 27
ASKED ABOUT DISEASE CONTROL IN GROUNDNIUT,50   250
FARMER ASKED ABOUT GROUNDNUT CROP FERTILIZER DOSE,-                                                  -                    -
Farmer asked about fungus problem in groundnut,-   WP -
leaf eating catterpillar management in groundnut,recommended to spray profinophas 400 milliacre
TELL ME TERMITE CONTROL IN GROUNDNUT,APPLY CHOLOROPYRIPHOS 20 EC 1 LITAR PAR BIGHA
Asking about Neem cake application for groundnut,:     :   10
WEATHER REPORT OF UDAYNARAYANPURHOWRAH,CLOUDY HAZY SKY WITH NO RAINFALL IN NEXT FIVE DAYS
sucking pest in groundnut,spray acephate- 2 gram per 1 litre water
Farmer asked mite control information of Groundnut crop,EC 35-
moongfali ke khet me Deemak ka prakop hai,Cartap Hydrochloride 4G 8 kilogramacre mrida me bakher kar halki sinchai kare
Farmer needs information regarding control measure of termite in groundnut  crop,-                             -
AS KABT WEEDISIDE,not use weedicide
asking about Leaf curl management in Groundnut 20 days,:     20  :    3      1   1
Asked about  toDISEASE CONTROL IN peanut,50   250
groundnut me phasal kali pad rhi hai,MANCOZEB 75 500 GRAM ACRE SPRAYB KARE
ROOT ROT CONTROL OF GROUNDNUT,USE CARBENDAZIM 250GM  BHIGA WITH IRRIGATION
WEED MANAGEMENT RELATED QUERY,Pendimethalin 30  EC 4  5
ask about plant protection information in groundnut crop,:                            -
Asked about plant protection in   GROUNDNUT,Suggested to spray  KAVACH or  CHLOROTHALONIL 15g per lit water
Ask for groundnut fertilizer information,I suggested not use fertilizer in groundnut
SOIL TESTING,CONSULT WITH ASSISTANT AGRICULTURE OFFICER IN BLOCK FOR SOIL TESTING
ASKING ABOUT CONTROL OF WHITE GRUB IN GROUNTNUT PLANT,SPRAY   CHLORPYRIPHOS 20 EC  25 ML   LIT OF WATER
ask about nutrient managment in groundnut,Spray Microlla 30 ml15 Lit of Water
Farmer asked Army worm Problem in groundnut,SC 7-8
Farmer asked fungus control information of groundnut,SE 10
farmer wants to know about control caterpillars in  groundnut crop,5 sg 8-10 gm
ROOOT PROBLEM IN GROUNDNUT,300 GRAM KARBANDAZIM PAE BIGHA
Asking about Leafhopper management in Groundnut,:       :  3   1
TELL ME CONTROL COLAR ROT DISEASES OF GROUNDNUT,USE-BAWSTEEN 250GMBIGA WITH IRRIGATION
Bacterial leaf blight in groundnut,Recommended for spray copper oxychloride 2gm  lit
FARMER ASKED QUERY ON FERTILIZER MANAGEMENT  IN GROUND NUT CROP,RECOMENDED TO APPLY GYPSUM  200KG PER  ACRE
TELL ME FUNGAL DIS CONTROL IN GROUNDNUT,SPRAY OF MENCOJEB 2GM PAR LITAR WATER
TELL ME FANGUS CONTROL OF GROUNDNUT,SPRAY OF CARBENDAZIM 250 GRAM PER BHIGA OF GROUNDNUT
Farmer asked about thrips problem in groundnut,5  25
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,-- 75  150
yollowing,feso4 1kgacre
insect control of groundnut crop,--              2 ml
ground nut fertilizer management,recommended to apply urea 18kg acre  30days after sowing
attack of thrips on groundnut,Spray Actra 5 Gm15 Liter Of WaterThiomithoxom 25-Syngenta
TELL ME WEATHER CONDITION IN FEROZPUR DIST,50-60 CHANCE OF RAIN NEXT 5 DAYS
Ask about information of    PM - KISAN Beneficiary Status,https:pmkisangovinbeneficiarystatusaspx
Asking about  dressing fertilizer management for  Ground nut,Recommended for apply gypsum 75 kg borax 4 kgac
TELL ME ABOUT DISEASE CONTROL IN GROUNDNUT,75    2        2
wilt,spray m 45
Ask Caterpillar,I suggested spray Quinalphos 20mlPump
TELL ME VARIETY OF GROUNDNUT,TG-37A AND GG-20  VARIETY OF GROUNDNUT
ask for ground nut wilt,suggest:bavistin 30 gmpump dranching
weed management in groundnut,recommended to spray targa super 2mlltr of water
Asking about Leaf eating caterpillar control in Groundnut,:          : 3
Asked about Leaf miner and Tobacco caterpillar management for Groundnut Imidacloprid and Emamectin benzoate can be mixed,:         :   125  1
ask for gnut wilt,suggest:bavistin 25-30 gmpump
ground nut crown rot,RECOMMENDED FOR 30 gr COPPOR OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER
Asked about groundnut foliar application,5
leaf folder in paddy,Recommended for spray Fipronil 2ml  litre of water
Ask about seed,Suggested: -
Farmer asked fungus in root control information of Groundnut crop,:                  WP  200
ASKING ABOUT DISEASE MANAGEMENT IN GROUNDNUT,SUGGESTED TO SPRAY CARBENDAZIM  1 GRAM PER LITRE OF WATER
Ask about blank pod information in groundnut crop,100
Asking about Fipronil and Profenophos insecticide trade name,:       :
Ask about variety of summer groundnut crop,- -
Irrigation schedule for Groundnut,Irrigation schedule for Groundnut : At flowering stage Areal root penetration into soil and seed formation stage
TELL ME CONTROL LAT IN GROUNDNUT,50   2
Farmer asked query on Weather,REPORT: THERE IS CHANCE OF DRY WEATHER IN YOUR AREA
ask about ground nut wilt,i suggest spray blue copper 40 gm  pump
TELL ME MICRONUTRIENT IN GROUNDNUT,MULTIPLAX MICRONUTRIENT 2 TO 3 KG PER BHIGHA
tell  me about control of yellow color in groundnut,FERUS SALPHAT 5 GRAM PAR LITER SPREY
Gypsum fertiliser management in groundnut,apply Gypsum 150 kgac
WHITE GRUB AND TERMITE IN GROUNDNUT,USE QUINALPHOS 25 EC 4 LITER PER HA WITH IRRIGATION
moongphali me uktha lag gaya hai,4 gram triekoderma liter pani milakar sprey kare
Farmer asked  white grub Problem in crop,80-100 GRAMPUMP SPRAY
THRIPS IN GROUNDNUT,THRIPS IN GROUNDNUT-SPRAY IMIDACHLOPRID 5ML IN 15LITRE OF WATER
moongphli acre me kitani hoti hia,10 qunnatal acre
ASKED ABOUT TO  DISEASE   CONTROL   IN   GROUNDNUT,GROUNDNUT      80  2
Farmer asked Larvae control information of Groundnut Crop,SG 7-8
variety of groundnut,tag-24sb-11phule pragati
farmer want to know information about nutrient management in groundnut crop,mp krashi
Asked about thrips and leaf miner in groundnut,:        :     2
weed management in ground nut,RECOMMENDED TO SPRAY PENDIMETHALIN 1LITRE 200 LITRES OF WATER ACRE
TELL ME ABOUT INSECT CONTROL  PEANUT,1   3
TELL ME NUTRIENT MANAGEMENT GROUNDNUT,4
TELL ME CONTORL IN FIELD WHITE GURB,USE QUINOLPHOS 15 DUST 5 KGBIGHA BROADCASTING IN FIELD
Asked about Pest management in Groundnut,:        :  2  1
asking about Weed management in Groundnut,:    :
POPING IN GROUNDNUT,APPLY ZYPSUM  100KGACRE FOR POPING IN GROUNDNUT
Asking about Sprinkler irrigation suitable for Groundnut,:       :
SEED TREETMENT GROUNDNUT,THIRAM 3 GM  KG
spray harbisid in groundnut,spray pesuite
LEAF EATING INSECTS IN GROUNDNUT,LEAF EATING INSECTS IN GROUNDNUT - SPRAY CHLOROPYRIPHOS 20  EC 2 ML IN 1 LITRE WATER
Farmer asked query on Tata Metri Herbicides Metribuzin 70 WP uses,Tata Metri herbicide is an effective herbicide that has a Metribuzin molecule that belongs to the Triazine group and it inhibits Photosynthesis in photo-system IIMetri herbicide works to control weeds in sugarcane potato tomato soybean and wheatTata Metri herbicide Metribuzin 70 WP acts through the roots and leaves and therefore can be used for pre-and post-emergence applicationsTata Metri Metribuzin controls both narrow and broadleaf weedsMetribuzin effectively controls Phalaris minor which has developed resistance to most herbicides and many other types of grass and broadleaf weedsMetribuzin is economical because of its broad-spectrum activity and low doseMetri Tata Rallis leaves no residual effect on succeeding cropsSelective weeds are eradicated in sugarcane potato tomato soybean and wheat
TELL ME ABOUT PEST CONTROL IN GROUNDNUT,SPRAY OF MONOCROTOPHOS 36 SL 2 ML PER LITER WATER
varity of moongfali,tg-37a
Asked about Groundnut tobacco caterpillar management,:      :      1
GROUNDNUT WEED MANAGEMENT POST EMERGENCE,IMAZATHIPYR 400 MILLI LITER  LITER WATER
GROUNDNUT LEAF SPOT,FOR GROUNDNUT LEAF SPOT SPRAY SAAF 2GLT OF WATER
Asking about sowing season for Ground nut,Recommended for season Karthigaipattam
Asking About Weather Forecast,cloudy weather NO  rainfall chances today
green caterpillar in ground nut,recomended for phlithora 350mlacre
Asking about Tobacco caterpillar management in groundnut,:     : :             2
Asked about Groundnut pest monitoring details,:       :
Farmer asked query on Weather,32       27     8
asking about to increase the growth in ground nut,GRADE 2  2-3 GRAMMILI KORE PROTI LITTER JOLLE GULLE SPRAY KARUN
mung phalli me dimak lgai hai,chloropiryphos 20EC 10 literecar sinchai ke pani ke sath de
ASKED ABOUT WATER MANAGEMENT IN GROUNDNUT,-                -                          -                         -
Farmer asked weed control in groundnut   crop,30 EC    60     -  -
Ask about harvesting time of  groundnut crop,-      -
MOONGFALI ME GRASS,persute 100ml ka spra krein
ALTERNATE LEAF SPOT IN GROUNDNUT,RECOMMENDED TO SPRAY MANCOZEB 3 GRAM PER LITRE WATER TO CONTROL ALTERNATE LEAF SPOT IN GROUNDNUT
farmer asked about attack of aphids on groundnut,-
Ask about use fertilizer information in Groundnut crop,DAP 10     90 2
TELL ME ABOUT MARKET INFORMATION,JAIPUR GRAIN  GROUNDNUT WHITE 4250
fertilizer dose for gnut,1bag dap acre
herbicide groundnut,khurapani kARA
ASKING ABOUT MICRO  NUTRIENT IN ONION,RECOMMENDED FOR  SPRAY GRADE 2    2  GM  LIT OF WATER
groundnut foliar application,spray urea 10gm DAP 20gm acre
Ask for some problem in groundnut,suggest: hirakashi powder 100 gmleman flower 10 gmpump sprey
ASKED ABOUT SUCKING PEST ATTACK ON GROUNDNUT,10
TELL ME WEEDCONTROL IN GROUNDNUT,SPRAY OF PENDIMETHILIN 30 EC 25-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION
Farmer needs information regarding control measures of white grub,Recommended for clopyrephos 1 liter mixed to be 7-8 kg send then apply per acar to field
Farmer asked fungus control information in Groundnut crop,WP -
Farmer need information regarding control measures of white grub in graundnut crop,Recommended for fhoret 10 G 8 to 10 kg per acer for control of white grub in groundnut crop
Farmer asked Fertilizer dose information of Groundnut crop,-   67      67
groundnut leaf spot,recommended for spray chlorothalanil 2 glit
INSECT CONTROL IN GROUNDNUT,USE QUINOLPHOS 15 DUST 25 KG PER HA MIX IN SOIL
Ask about sucking pests problem in crop,Suggested: Acephate 75 sp 15 grampump spray
Asking about Yellowing of Groundnut leaves and  Sucking pests management for groundnut,:            :   3     1   1
WEED MANAGEMENT IN  GROUNDNUT SOWN AFTER 50-60 DAYS CROP,NO HERBICIEDS RECOMMENDED  IN  GROUNDNUT SOWN AFTER 50-60 DAYS CROP
ground nut me gidar laga hi patti kha raha hi,monokrotophos 36sl ka 2ml dawa liter pani milakar sprey karo
Asking about top dressing fertilizer management for ground nut 25 days after planting,:    :  6   12     25
groundnut,Imazethapyr  750 mlha
TELL ME YELLOING IN GROUNDNUT,SPRAY FERAS SALPHAT 4 GM LITER
MORE FLOWER GROWTH IN GROUNDNUT,SPRAY BOOM FLOWER 2ML PER 1LTR OF WATER
ask about root fungus control in groundnut crop,WP 25
FARMER ASKED ABOUT FERTILIZER DOSE FOR GROUNDNUT CROP,- 50
ASKING ABOUT ATTACK OF SUCKING PEST ON GROUNDNUT,-
thrips in groundnut,spray rogordimethoate 2 ml per 1 ltr water
asked about to Information about irrigation in groundnut crop,8-------10
groundnut tikka leaf spot,recommended to tilt 400mlaCRE
Farmer asked query on Weather,34        11
LEAVES ARE YELLOWISH IN GROUNDNUT,SPRAY FERS SULPHET 5 GML WATER
Asking about Leaf miner and Tobacco caterpillar management for Groundnut,:         :  2  1
Ground nut dry root rot control,Recommended for spot drenching with carbendazim 2 g   lit of water
Ask about larvae control information,Suggested: Cypermethrin 25  EC 10 mlpump spray
ROOT PROBLEM IN GROUNDNUT,USE CARBENDAZIM 250 GM PER BIGHA
tell me growth in groundnut,growth in groundnut zn sulphate 25 kg per bigha
Farmer asked query on Weather,: CLOUDY WEATHER  CHANCE OF SHOWERS  IN YOUR AREA
sowing time of groundnut,sowing time of groundnut last septah jun to 1st septah july
APHIDS IN GROUNDNUT,SPRAY DIMETHOATE 30 ECROGOR 2 ML PER 1 LITRE WATER TO CONTROL APHIDS IN GROUNDNUT
TELL ME BLACK ROT CONTROL IN GROUNDUT,TELL ME ROOT ROT CONTROL IN GROUNDNUT
