QueryText,KccAns
IRON DEFECIENCY,SPRAYING OF 1 KG ANNABEDI PER 200 LIT OF WATER
Attack  Stem Borer,FORET 5 KG  ACRE
ask for the basal dose of fertilizers of groundnut,preffered for the N-125 kg and P-25 kgha
Ask aboutsulphor fertilizer,All information provided thanks for calling in kisan call center
GROUND NUT POD BORER,RECOMMENDED TO SPRAY NEEM OIL 1LITER IN 200 LITER WATER PER ACRE
TELL ME WHITE GURB CONTROL IN GROUNDSNUT,WHITE GURB      20   4
moongphali me kide lage ghai,Spray- cypermethrin 25 EC  1mllit  of water of water
fertilizer,give 15kg urea ssp 50kg  gypsum
PEANUT STEM NECROSIS IN GROUNDNUT,RECOMONDED FOR CONTROL PEANUT STEM NECROSIS TO SPRAY DIMITHOATE 2MLLITER
gypsum     dose,200   kg  acre
Farmer asked query on Weather,WEATHER REPORT:CLOUDY WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
moongfali me deemak lag gyi hai,baweria bavasiyana  4kilogram ek warsh purani 70 se 80 kilo gobar ki sadi khaad me milakar prayog kre
assk abt gnut,suggested proper info
TELL ME BLACK ROOT CONTROL IN IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
fertilizer,apply pottash 50 kilo  gypsum 100 kilo  ekar
ASKED ABOUT FERTILIZER DOSE OF GROUNDNUT CROP,MANCOZEB 75 WP
ask abt weediside,suggested proper info
TELL ME CUT WORM CONTROL IN  GROUNDNUT,-- 145   1
top dressing fertilizer management for groundnut,apply 150 kg gypsum
sucking pest in gnut,thiomethoxam 5-6 gm  pump
TELL ME SOWING TIME OF GROUNDNUT,10        30
GREEN CATER PILLER IN GROUNDNUT,SPRAY OF QUINOLPHOS 25 EC 25 ML PER LITER WATER
asked about groundnut caterpillar attack,Spray Propanophos 25 ml  10  Lit of Water
asked for groundnut pest,recommended-spray mancozeb at 2g in 1 liter water
tell me control of insect in groundnut,SPRAY OF MONOCROTOPHOS 36 SL 2 ML PER LITER WATER
ground nut flowering,spray borax 2grams per 1 litre water
ask about nutrient management in groundnut crop,100
2ND DOSE FERTILIZER USE,APPLY SUPER 16KG  POTASH 16KG
ABOUT THRIPS CANTROL IN GROUNDNUT,SPRAY OF IMIDACLOPRID 178  5ML PAR LITAR WATER
TELL ME CONTROL OF ROOT ROT IN GROUNDNUT,BLACK ROT CONTROL IN GROUNDNUT USE TRIGODRAMA 25 KG WITH 100 KG FYM  PER HA
Farmer asked fungus control information of  ground nut crop,EC 10
Asking about Leaf spot and Root rot management for Groundnut,:          :  5
Asking about Leaf cutter bee management in Groundnut,Recommended for spray Malathion 2 ml  litre of water
TELL  ME INSECT CONTROL,USE CHLOROPYRIFOS 20 EC 40 ML PER PALNT WITH IRRIGATION
weed control in gnut,recommended to spray targasuper 2ml1 liter of water
ask for groundnut fungiside information,suggest: drenching with mancozeb
Groundnut Basal fertilizer,Recommended for apply FYM 5 t DAP 50 kg  potash 25 kg acre
LARVAL PEST IN GNUT,QUINALPHOS 30 ML  PUMP
Ask about sucking pests problem in crop  Jassid Aphid White Flies,WG  8
LEAF SPOT DISEASE IN GROUNDNUT,RECOMMENDED TO SPRAY RIDOMIL GOLD  25 GRAM  1 LIT OF WATER
Ask about Fertilizer dose of Sesame crop,-
TELL ME ABOUT NUTRIENT MANAGEMENT IN,10     25
ROOT PROBLEM IN GROUNDNUT,KARBANDAZIM 300 GRAM PER BHIGA
ROOT ROT ON GROUND NUT,USE BAVISTIN FOR CONTROLING ROOT ROT IN GROUND NUT
ASK ABOUT FUNGISIDE IN PEANUT,suggest:bavistin 30 gmpump dranching
TELL ME FUNGAL CONTROL IN GROUNDNUT,SPRAY OF MENCOZEB 2 GM PER LITER WATER
varities of groundnut crop,you can sowing tg-24tpg 41 this is agroundnut varities
BLACK SPOT ON LEAF,CABENDISMMANCOZEB 2GLIT JALE GOLE SPRAY KARUN
asking about  Aphids management in groundnut leaf curl,:     :      2
farmer want to know information about  how to increase growth  of groundnut crop,25-30 ml
red hairy caterpillar in ground nut,RECOMMENDEDTO SPRAY SPINOSAD 75 MLACRE SPRINTER  TRACER
termite in groundnut,To prevent the outbreak of termites Cloropirifos 3 liters per hectare rate of drug use
Asking about Groundnut harvest price,recommended for Tractor Groundnut Harvester Rs 35000-
Ground nut Thrips control,Recommended for spray daimethoate 2 ml  lit of water
gram pod borer in groundnut,spray neem oil 3 ml  lit of water
Powdery mildew:,Powdery mildew: Dinocap Karathane 005
Farmer asked  Fertilizer dose information of Groundnut crop,-      64
ASKING ABOUT WEATHER INFORMATION,CHANCES OF RAIN ON 7  8 AUGUST
How to control of fungal attack in pea nut crop,Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water
Asking about hairy cater pillar in groundnut,:      :
ASKED ABOUT VARITIES  ON GROUNDNUT,VARITIES OF GROUNDNUT : TAG-24 SB-11 DAFTARIPHULE PRAGATI
Asked about Groundnut micronutrient management,:    : 5
ASKING ABOUT NUTRIENT MANAGEMENT OF GROUNDNUT,RECOMMENDED FOR SPRAY   N-TRIACONTANOL   1 ML  3 LIT OF WATER
Ask about general  information of Delegate,SC
TELL ME WEATJER REPORT IN JODHPUR,NO  RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY
ground nut aphids management,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML 150 LITERS OF WATER  ACRE
WEED MANAGEMENT IN GROUNDNUT,WEED MANAGEMENT IN GROUNDNUT: NO HERBICIDE IS RECOMMENDED
Asking about Top fertilizer management for Groundnut 70 days plant,:   70     : 70
Ask about termiteNematodwhite grub control information,suggested:karbofuran 3G 6 kgvigha
ASKING ABOUT FERTILIZER DOSE OF GROUNDNUT CULTIVATION,-
Fertilizer dose in Groundnut,Recommended to apply Urea9 kg SSP40 kg MOP13 kg per half acre in Groundnut
disease,carbendizim 2 gm 1 liter
Asking about early leaf spot and leaf blight in groundnut,:       :   2
TELL ME ROO ROTE OF GROUNDNUT,HACJACONOL 1 KG  HACTEIR
TELL ME ABOUT ROOT ROT CONTROL IN groundnnut,250
FARMER ASKED ABOUT TO TREATMENT IN GROUNDNUT,50 25
FARMER ASKED ABOUT  NUTRIENT MANAGEMENT IN GROUNDNUT,5  7
GROUNDNUT WILT:,GROUNDNUT WILT: RECOMMANDED FOR DRENCH THE SOIL COPER OXY CHLORIDE 3 GL
Ask about larva issue in groundnut,SC         SC 7-8
Stem rot management in groundnut,Recommended for apply Trichoderma viride 1 kg  farm yard manure 20 kg  acre
GNut Plant Protection,Provide Detail Information onGNut
yellowing of leaves in ground nut,recommended for agromin max 5grmslt water
TELL ME WEATEHR INFORMATION,FOUR DAYS RAIFNALL
jassid in groundnut,recommended for Spray dimethoate 30EC 2ml1 liter of water
Groundnut top dressing management,Recommended for apply urea 5 kg  potash 13 kg  gypsum 75  kg acre
TELL ME APHID CONTROL IN PEANUT,SPRAY OF NEEM OIL 3 ML PER LITER WATER
FARMER NEED INFORMATION ABOUT VARIETIES OF GROUNDNUT,-            -    -
Farmer asked Army worm Problem in ground nut crop,SC
information for mung phali veriety,kisan bhai aap mung phali ki -amber  prakash chitra koushal ka prayog kare
Root rot management groundnut,Recommended for soil apply Trichoderma viride 1kg  FYM 20kg ac
ground nut weed management,recommended for spray pendimethelin 800 ml  acre
TELL ME PEST CONTROL IN GROUNDNUT,SPRAY OF THIOMETHOXAM 25 WG 05 GM  PER LITER WATER
FARMER ASKED QUERY ON FERTILIZER MANAGEMENT IN GROUNDNUT,RECOMMENDED TO APPLY ZYPSUM  200KG ACRE
SEED TREATMENT OF GROUNDNUT,2 GM MENCOJEB 4 ML CHLOROPYRIPHOS  20 GM RHIZOBIUM SEED TREATMENT PER KILOGRAMS
Asking about top fertilizer application for groundnut,:     :  80   4
ASKED ABOUT FERTILIZER DOSE FOR GROUNDNUT,-       -    -
MICRO NUTRIANT DEFICIANCY IN GROUND NUT,AGROMIN MAX 1KGACRE IN 200 LT WATER
FARMER ASKED ABOUT VARIETIES OF GROUNDNUT CROP,- -      -
TELL ME CONTROL OF GREEN CATER PILLER,SPRAY OF QUINOLPHOS 25 EC 2 ML PER LITER WATER
Farmer needs information regarding how to control sucking pest in groundnut crop,CARBOFURAN 3 CG 4-5 kg per acre
TELL ME  INSECT CONTROL IN GROUNDNU,SPRAY OF DIMETHOATE  30 EC 2 ML PER LITER WATER
asking about leaf Rust management in groundnut,Recommended for spray Mancozeb 2 gramlitre of water
moonphali peele pad rahi hai,spray mencozeb 75   400 gm  acre
RAT PROBLEM IN GROUND NUT,RAT PROBLEM IN GROUND NUT-APPLY ZINC PHOSPHIDE TO THE FOOD FOR RAT TRAP
Farmer asked query on Weather,thunderstorm with squall is likely to take place in your area
SUCKING PEST IN COTTON,SPRAY THIOMETHOCZAM EKTARA  10GM15LIT WATER FOR SUCKING PEST IN COTTON
TELL ME PLANT PROTECTION IN GROUNDNUT,BLACK ROT CONTROL IN GROUNDNUT USE TRIGODRAMA 25 KG WITH 100 KG FYM  PER HA
ROOT ROT AND FUNGAL GROWTH ON GROUNDNUT,SPRAY AND DRENCH THE SOIL WITH SAAF 2 GRAM  PLANTOMYCIN 1 GRAM PER 1 LITRE WATER TO CONTROL ROOT ROT AND FUNGAL GROWTH ON GROUNDNUT
ask groundnut wilt problem,I suggested copper oxichloride 40 gram drenching and ammonium sulphet fertilizer applay
Asking about Leaf miner and sucking pests management in Groundnut,Recommended for spray Fipronil 15 ml1 litre of water
Seed treatment in Groundnut,Seed treatment in Groundnut3g Captan or Thiram in per kg seed
TELL ME ABOUT TERMITE CONTROL IN GRPUNDNUT,20   4
tell me firtilizer in groundnut,no firtilizer use in groundnut
Ask about Larvae control in Groundnut crop,GR 2
ask about harvesting time groundnut crop,90  100
Information about Weed Control in Groundnut Crop,-
CONTROL OF LEAF CATERPILLAR IN GROUNDNUT,RECOMMENDED FOR SPRAY   FIPRONIL 5 SC   1 ML   LIT OF WATER
insect problem in groundnut,kisan bhai aap Quinalphos 25 EC  2 ml prati litre pani ki dar se spray kare
TELL ME ROOT ROT CONTROL IN GROUNDNUT,-- 1              25   4
Ground nut thrips management,Recommended for spray Dimethoaet 30 EC 2 mllitre of water
Ask for weather information,There are no chances of rainfall during next four days
Ask about weed management in groundnut,- 5 EC   25 -30        -
ROOT ROT MANAGEMENT,ROOT ROT MANAGEMENT : TRICODERMA VIRIDE FORMULATION PREPARATION: TRICODERMA VIRIDE 2 KGS COW DUNG 90 KGS NEEM KERNAL POWDER 10 KGS
Farmer asked about govt Schemes,visit to Tahsil Agricultural Officer to getting detail information about Govt Schemes
TELL ME CROWN ROT CONTROL,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
TELL ME ROOT ROT DISEASE CONTROL IN GROUNDNUT,HEXAKENAJOL 1ML LITER SPRAY KARE
fertilzer dose,spraying of potash 15  bag  acre
sucking pest in cotton,thiomethoxam 6 gram  puymp
groundnut nutrient mgt,apply micronutrient mixter 5 kg  ac
FARMER ASKED QUERY ON APPLICATION METHOD OF GYPSUM  IN GROUNDNUT,RECOMMENDED TO APPLAY GYPSUM-200 KGS  ACREAPPLICATION METHOD-Apply gypsum hoe and incorporate it in the soil and then earth up IF LABOUR IS NOT AVAILABLE - APPLAY AS USUAL LIKE FERTILIZER APPLICATIONAND GIVE IRRIGATION
TELL ME  SEEDTREATMENT IN GROUNDNUT,USE CARBENDAZIM 2 GM PER KG SEED
GIPSOM DOSE,5KGACRE
weedicide,alachlor 3mll
Farmer asked query on Weather,:   -      : :            35  C    25 C     5
FARMER ASKED ABOUT TO INSECT CONTROL IN  GROUNDNUT,5     2-3
asking about Root grub management in Groundnut,:       :  3 - 5
Farmer asked control of  of White Grub,-        10 -5
ASKING ABOUT CONTROL OF STEM ROT OF GROUND NUT,SPRAY   THIOPHANATE METHYL 70 WP  1 GM    LIT OF WATER
TELL ME PEAST CONTROL,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
TELL ME CONTROL OF PEANUT BUD NECROSIS IN GROUNDNUT,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
increases the growth of grnut,spray microll 25 ml in 10 lts of water
Asked about plant protection in groundnut,Suggested to spray Imidacloprid  05 mlltr of water
Asked about Root rot disease management in groundnut,:         :   1-2  25
TELL ME CONTROL OF ROOT ROT IN GROUNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
Farmer asked seed treatment of white grub control groundnut,WDG -
Farmer asked about Larvae problem in groundnut,:                                                 -             -               -
variety of groundnut,variety of groundnut  TAG 21  SB 11
POD BORER CONTROL ON GROUNDNUT CROP,YOU CAN SPRAY PROCLEM 10 GRAM PAMP WTAER USE FOR POD BORER CONTROL ON GROUNDNUT CROP
asked about nutrient management in groundnut,:     :   200  10
Asking about weed management for cotton,:    : :  3      1     200
Asking about Early leaf spot and Tobacco caterpillar management in groundnut,:           : :      2    2
Groundnut leaf miner,recommended for spray dimethoate 2 mlliter
Farmer asked fungus control information of groundnut tikka,wp
SUCKING PESTS IN GROUNDNUT,RECOMMENDED TO SPRAY ROGOR 2ML1 LIT WATER
asked about seed treatment in groundnut,2
Asking about groundnut sowing season,Recommended for thiruvannamalai groundnut sowing season  Karthigaipattam Nov- Dec Purattasipattam Sep- Oct
Asking about time of application in fertilizer after weeding,:         :
ask for fungus problem,suggest:copper oxicloride 40 ml with humic acid pump
fertilizers use in ground nut at 25th day,recommended for gypsum 200kgacre
mung phalli ke root me kide ki samsya,Cartap Hydrochloride 4G 8-10 Kgacre ka pryog kare
WEED MANAGEMENT IN GROUNDNUT,RECOMMENDED TOSPRAY PROPAQUIJAPOP 250 MILLILITERS PER ACRE
FARMER ASKED ABOUT CULTIVATION OF GROUNDNUT,-- -
groundnut fertilizer management,Recommended for groundnut fertilizer management spray TNAU Groundnut rich 220kg  ac
Farmer asked Varieties information of GROUNDNUT  crop,-
fertilizer ussage in ground nut,biozyme 3 ml per lit
Asking about Groundnut sucking pest management,:      :  - 3
Farmer asked  white grub Problem in crop,EC                                       GR
GROUNDNUT  LEAF SPOT MANAGEMENT,400
Ask about weed management,nall information provided - thanks for calling in kisan call centre
TELL ME CONTROL OF COLAR ROT IN GROUNDNUT,USE CARBENDAZIM 250 GM PER BIGHA FOR ROOT ROT
ground nut leaf eating caterpillar,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS 150 LITRES OF WATER  ACRE
FARMER ASKED ABOUT T A G-24 GROUNDNUT VARITIE,:
ground nut tobacco catter piller,RECOMMENDED TO SPRAY QUINOLPHOSEKALUX FLASH DHANULUXQUINGUARD 400 ML PER ACRE
groundnut season Margazhipattam Dec- Jan,groundnut season Margazhipattam Dec- Jan
Wooly aphids,spray acepate 2mllit
SUCKING PEST,IMIDACLOPRID 1ML3LITRES
fertiliser dose,use 50 kg gypsum  acre
seed treatment in groundnut,apply with thiram 3gmkg of seed
SUCKING PEST IN GROUNDNUT,RECOMMENDED TO SPRAY QUINALPHOS 2ML 1 LIT WATER
preventive   measures for pest control in groundnut,spray neem ark 30 ml  15 liter of water for controlling sucking pest on groundnut
Asking for Groundnut 2nd irrigation,Suggested after 20DAS when proper germination occurred
TELL ME WEATHAR INFORMATION,NO RAIN  FALL IN 5 DAY
Farmer wants to know information about how to control stem borer in paddy,Recommended for to control stem borer in paddy apply phorate 10G  125kghac
Farmer asked query on Weather,3        I    I     32      26   I          I
ASKING ABOUT VARIETIES OF GROUND NUT FOR RABBI,VARIETIES OF GROUND NUT FOR RABBI -TPG -41
fungus in gnut,carbendazin 30 grambigha
VARITIES OF GROUNDNUT,YOU CAN SOWING GROUNDNUT VARITIES LIKE 15 JAN -15 FEB
TELL ME SEED TRITMANT IN GROUNDNUT,SEED TRITMANT IN GROUNDNUT KARBNDAJEEM 2GMKG SEED
TELL ME BLACK ROOT CONTROLE IN GROUNDNUT,DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION
Farmer asked fungus control information of Groundnut crop,EC -3
TELL ME SOWING TIME OF GROUNDNUT,SOWING TIME OF GROUNDNUT MAY JUNE
--TELL ME DISEASE CONTROL IN  GROUNDNUT,50   250
ask about yield of TAG-24 variety yield  information,-24   20
GROUNDNUT ROOT ROT MANAGEMENT,GROUNDNUT ROOT ROT MANAGEMENT RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS  1 LITER OF WATER
TELL ME ROOT ROT DISEASE CONTROL IN GROUNDNUT,TRICODERMA 25 KGHECTAR FYM-100KG
Query about plant protection,70  WP   3
asked about control of caterpillar in groundnut crop,30          EC
Information about treatment if there is no flowering in groundnut crop,-     55  70
termites in groundnut,recommended to apply carbofuran3G-10kg per acre
Farmer needs information regarding use of Neem oil as preventive measure to control pest attack   in Groundnut  crop,-         I
CONTROL OF BLAST IUN GROUNDNUT,APPLY HEXACONAZOLE  15MLLIT OF WATER
TELL ME ABOUT OF TARMIT CONTROL IN GROUNDNUT,APPLICATION OF CLOROPIRIFOSH 20 EC  1 LIT PER BHIGA WITH IWRRIGATION
YALLOWING IN GROUNDNUT,FERUS SULPHATE 4-5 GRAM  LITTER WATER SPRAY
VARIETIES,SB-XIJL-24 PHULE PRAGATI
Asked about plant protection in groundnut,Suggested to spray with Imidachlorid  05 mlltr of water
Farmer want to know how to control White Grub in Groundnut crop,Recommended for apply to 1 liter chlorpyriphos mixed to sand then apply to farm field for control of termite
attack of sucking pest on groundnut,spray supar confidor 6  ml  saaf 20 gm  15 litter of water for controlling sucking pest on groundnut
Ask about fungus Control in Groundnut,SC -
mungfali ka ped apne aap such jata hai,chlopiriphos 25 ec 1 liter  aked
asking abt the control of whitish leaves in gnut,i have suggested to spray fungicide
leaf minor in groundnut,recommended for spray Chlorpyriphos 2mlteepol 1mllit of water
FARMER ASKED ABOUT CONTROL OF BLIGHT ATTACK ON GROUNDNUT CROP,-     SG -            -
TELL ME CONTROL TARMAIET PEST OF GROUNDNUT,USE CHLOROPYRIPHOSE 20 EC 4 LITER PER HAC WITH IRRIGATION
control of caterpilar attack,spraying of chloropayrifos 30 ml  15 liter water
FARMER ASKED ABOUT THE DISEASE IN GROUNDNUT,50  1
TELL ME WEATHER BREPORT IN JODHPUR,RAINFALL IN NEXT 5 DAYS BUT SOME CLOUD POSSIBILITY
Ask about water logging problem information in Groundnut crop,90 1 15
Farmer asked query on Weather,34      26     2
IMPROPER POD FILLING IN GROUNDNUT,RECOMMENDED APPLY BORONBORAX10KGACRE FOR CONTROL OF IMPROPER POD FILLING IN GROUNDNUT
Bihar hairy caterpillar,Recommended for  Bihar hairy caterpillar Spray fipronil  2ml  lit of water
FERTILIZER DOSE FOR GROUNDNUT,05 BAG UREA 2 BAG PHOSPATE 05 BAG POTASH
Dimac ke control ke liye,Forate  40 kilo acre prayog kare
Farmer asked query on Weather,5      -
NUTIRENT MANAGEMNET,GYPSUM 200 KG ACRE AT FLOWER STAGE
YELLOWING IN GROUNDNUT,SPRAY OF FARRES SULPHATE 5GM  LIT WATER
flower shed  in groundnut,spray planofix 5 ml10lit of water
Farmer  want to know information about weed management in groundnut crop,30
Ask for groundnut whitegrub information,cloripyriphos 30 ml per pump and to drenching
TELL ME CONTROL OF LEAF YELLOW IN SOYABEAN,SPRAY OF MULTIPLAX MICRONUTRIENT 25 ML PER LITER WATER
ASKED ABOUT ATTACK OF ROOT ROT IN GROUNDNUT,:                             o
ASKINg abvt the rainfall,i have givem ther is little rain in this week
fertilizer management in ground nut,recommended to apply 9kgs of urea  33kgs mop after 30 days
Farmer asked query on Weather,INCOMPLETE CALL
Provide about information of termite control in groundnut crop,03  8
top dressing for groundnut,apply DAP 50 kg  acre
control narrowbroad leaf weeds in  groundnut,spray imazothyper 75 wp  300 ml  acre
FARMER ASKED QUERY ABOUT FERTISOL NUTRIENT COMPOSITION  AND USES,Fertisol super is potassium magnesium sulphate which supplement potash magnesium and sulphur for crop nutrition It is instantly soluble in waterPotassium improves yield and quality of crops and fruitsMagnesium helps producing chlorophyll required for photosynthesisSulphur is essential for protein and amino formation
GROUND NUT VARIETIES,RECOMENDED TO  SOW NARAYANI GREESHMA
asked about root rot,recommended 3 grams copper oxy chloridelit of water
TELL ME DISEASE CONTROL IN GRANDNUT,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
groundnut nutrient mgt,foliar spray DAP 2 kg  ac
Farmer asked Spotted bollworm problem in Ground Nut crop,SC
mausam,17 18 ko baris ki sambhavana hai
TERMITE,CHLOROPYRIPHOS 10KGACRE
SEASON in groundnut,Chithiraipattam Apr  May
Farmer asked how to use zinc sulphate in groundnut crop,5
ABOUT PEST CANTROL IN MUSTRAD,SPARY OF MITHAYAL PERATHIYAN 2 25 KG HE
TELL ME WEATHER REPORT IN HANUMANAGRH,RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY
quantity of urea used for ground nut,5-6 kg urea used for ground nut
weedicide for groundnut,weedicide for groundnut : spray persuit 25 ml15 ltr water
ask about sucking pest,I suggested methyl-o-demeton 10 ml10 lit water spray
tell me control OF termite in groundnut,USE CHLOROPYRIFOS 20 EC 4 LITER PER HA WITH IRRIGATION
basal fertilizer management in groundnut,apply DAP 50kg  ac
moongfal kam lag rahi hai,jipsam 4-5 quntal ekar de
groundnut leaf miner control measures,RECOMMENDED TO SPRAY CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE
groundnut wilt,recommended for  coper oxy chloride 3 gliter to apply soil at the base of plant
Groundnut termite attack,Recommended for apply carbofuron 2 kg  acre
asked about  weed management for groundnut,weed management for groundnut - hand weeding
Farmer asked weed control in Groundnut crop,-  -    30 EC     80-
Ask about seed treatment of,WG
ASKED ABOUT LEAF SPOT,MANCOZEB 35 GRAM  PUMP
asking about Groundnut Micro nutrient deficiency information,:      :  5      5
TELL ME WEATHER INFORMATION,NO RAIN POSSIBILITY IN NEXT 5 DAYS IN YOUR DISTIC
GROUNDNUT  NUTRIENT S   FOLIAR  SPRAY,GROUNDNUT  NUTRIENT S   FOLIAR  SPRAY RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS1 LITRE OF WATER
Farmer asked Spotted bollworm problem in crop,EC 15
Asked  about  to  fertilizer  use  in  groundnut,375   35
GROWTH IN GNUT,SULFER 5 KG BIGHA
groundnut root rot,recommended for apply tricoderma viride 1 kilo  fym 20 kilo  acre
TELL ME FUNGAL DIS CONTROL IN GROUNDNUT,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATERSAAF
TELL ME FERTILIZERS IN GROUNDNUT,USE 250 KG SSPUREA-30 KGHAC BEFOR SOWING
TEL ME WEATHER INFORMATION,NO RAIN POSSIBILITY IN NEXT 5 DAYS
TELL ME BLACK ROT CONTROL OF GROUNDNUT,DRENCHING OF CARBENDAZIM 250 GM PER BHIGA
sowing time of groundnut,sowing time of groundnutlast week of june-first week of july
TELL ME CONTROL BLACK ROOT IN GROUNDNUT CROP,USE-BAVISTIN 200GM PER BIGHA WTIH IRRIGATION
USE OF BORAX,APPLY BORAX 4 KG PER ACRE IN GROUNDNUT AT 45 DAYS AFTER SOWING
groundnut  spodoptera,recommended to spray  corragen  60mlacre
Farmer asked Fertilizer dose information of Groundnut crop,- --- 60
TELL ME BLACK ROT CONTROL IN GROUNDNUT,--  SUBCIDICE ON CULTIVATER
farmer want to know information about how to control white grub  in ground nut,recommended for to control white grub in ground nut  apply phorate 10G  125kghac
ask for white grub control in g nut,I suggested to give cloropyriphos 4 litre per hactare
TELL ME INSECT CONTROL,SPRAY OF FIPRONIL 5  SC 2 LITER PER HA
Ground nut early leaf spot,Recommended for spray carbendazim 2 gram litre of water
CONTROL OF LEAF MINER IN GROUND NUT,RECOMMENDED FOR SPRAY FIPRONIL 5SC  1 ML LIT OF WATER
