QueryText,KccAns
TELL ME PLANT NUTRIENT IN GROUNDNUT,SPRAY MICRO NUTRIENT 4 GLIT WATER
ask about ground nut wilt,I suggest spray blue copper 200 gm  vigha
SEED TREATMENT ---,SEED TREATMENT --- THIRAM OR BAVISTIN  3 GRAM KG OF SEED
groundnut sucking pest management,RECOMMENDED TO SPRAY Thiamethoxam 40 grams acre
asking about sowing season for groundnut G 7 variety,:         :  -    -
Seed rate of groundnut,kisan bhai 40 kgacre moogphal ke beej ki boovai kare
FARMER ASKED ABOUT SEED RATE IN GROUNDNUT,80-100
GROUNDNUT  HELICOVERPA MANAGEMENT,RECOMMENDED TO SPRAY  NOVOLURON  300 MILLI LITER  ACRE
variety,s b11
Asked about Root rot management in groundnut organic,:       :   1        20
Farmer asked  Seed rate and Spacing information of Groundnut crop,- -      -    -     -
Asking about Groundnut foliar nutrition spray management,:     : TNAU   -  2 200
GROUNDNUT SEEDS AVAIALBLE PLACE,RECOMMENDED TO CONTACT KVK  RESEACH STATION
Asked about root grub management in groundnut precaution,:       :   2     40
weedicide in groundnut,weedicide in groundnut - use parshut
yallo diesses in groundnut,feras salphate 05 spray
VARIETIES OF GROUND NUT,VARIETIES OF GROUND NUT  tag - 24  sb11
TELL ME ROOT ROT CONTROL GROUNDNUT,1
ask about general informationall information provided - thanks for calling in kisan call centre,all information provided - thanks for calling in kisan call centre
Asking fertiliser in ground nut,Prefer 25-25Kgha
foliar spray in sesame,Recommended for spray DAP 2 kgac on 30th and 45th day after sowing
yvmv,suggest him control sucking pest
pod borer damage in groundnut,pod borer damage in groundnut :RECOMMENDED TO SPRAY AZADIRHACHTIN 1 LITER 200 LITERS OF WATER ACRE
ASKED  ABOUT TERMITE CONTROL IN GROUNDNUT,20   4
TELL ME ABOUT THE WATER MANAGEMENT IN GROUNDNUT,--
Asking about Tobacco caterpillar management in groundnut,:          :      2
top dressing fertilizer for groundnut,apply gypsum 150 kgac
ground nut rot,drench copper oxi chloride 3gliter
Farmer asked query on Weather,:    -      : :            38  C    26 C     8
fertilizer,provide all infromation
yellowing of leaves,recommended to spray with imidachloprid 1ml3ltr of water
ASKED ABOUT TREATMENT IN GROUNDNUT,50 25
plant protection,grund nut tikka desease
Asking about leaf eating caterpillar management in groundnut,recommended for the spray : chloripirophose 2 ml lit of water
varities of groundnut,varities of groundnut - phule unnati TAG-24
WEED MANAGEMENTG IN GROUNDNUT,WEED MANAGEMENTG IN GROUNDNUT EXPLAINED
Farmer asked about rust of groundnut,WP 30
TOBACCO CATERPILLAR IN GROUND NUT,40     200
Asking about caterpillar management in groundnut,:     : :      1
Groundnut booster application,recommended for Foliar spray peanut rich 2 kg  200 lit of waterac
groundnut zinc defeciency,recommended for spray zinc sulphate 3 g liter
TELL ME WHITE GRUB CONTROL ON GROUNDNUT,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
NUTRIENT MANAGEMENT IN GROUND NUT,RECOMMENDED TO SPRAY AGROMIN MAX 3 GRAMS 1 LITER OF WATER
TELL ME CONTROL IN WHITE GRAB,SPRAY OF FIPRONIL 5  SC 2 LITER PER HA
asking about leaf spot in groundnut,Recommended for spray mancozeb  carbendazim SAAF25gmlit of water
Tikka leaf spot management in groundnut,Recommended for spray Mancozeb 2 gram  litre of water
TELL ME INSECT CONTROL IN,SPRAY OF IMIDACHLOPRID 178 SL 05 ML PER LITER WATER
TELL ME ROOT ROT CONTROL IN GN,DRENCHING OF CARBENDAZIM 1 KG PER HA WITH IRRIGATION
Aphids in groundnut,Recommended for spray daimethoate  2 ml  lit of water
farmer asked about post emergent weed management in ground nut45 days after sowing,recommended to go for manual weeding
Asking about Groundnut Thresher price,Recommended for Cost of the unit approx : Rs 60000- without  prime mover
ground nut see,tag 24 western 51 ya bhumugachi lagavd karavi
groundnut seed rate,recommonded 60kg acre
asking about groundnut TNAU foliar application information,Recommended for groundnut foliar spray TNAU Groundnut rich 2kg  acre  200 litre of water
root rot and black appear,spray Copper Oxychloride 50 WP 25 gramliter of water
seed treatement,rhizobium culture 3-4 gm1kg seed
Ask about larvae control information in Groundnut,SC
Varieties of Ground Nut,- - :- --         - -  -:- -  -    - --  -       -
Groundnut leaf miner control,Recommended for spray chlorpyriphas 2 ml  lit of water
TELL ME FUNGAL DISAESE CONTROL IN GROUNDNUT,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER
MIRCH KI PATTI SIKUD RAHE HAI,Dimethoate 30  EC10 mllit
LEAF SPOT OF  GROUNDNUT,Spray mancozeb  25gl or carbendazim  1gl of water
Asking about Foliar nutrient spray for groundnut,Recommended for spray Ferrous sulphate 5 gram  Zinc sulphate 5 gram  borax 2 gram litre of water
nformation about biological seed treatment in groundnut,2
TELL ME CONTROL OF TERMITE IN GROUNDNUT,SPRAY OF FIPROLIN 5  2 LITER PER HA
Asking about Weed management for Groundnut,:   :   20       300
information about the sea treatment in groundnut crop,2
ASKED ABOUT TO INSECT CONTROL IN GROUNDNUT,5   2
FARMER ASKED ABOUT CONTROL BLIGHT ATTACK ON GROUND NUT,-
Ground nut leaf miner control,Recommended for spray FipronilRegent15ml  lit of water
ABOUT  ASKED WEATHER INFORMATION,KISAN BHAI- APKE YEHA 09 OCTOBER  SE 14 OCTOBER TAK MAUSAM SAF RAHEGA HAI
ASKED ABOUT  DISEASE CONTROL IN  GROUNDNUT,50  250
Asked about plant protection  in groundnut,Recommended to Spray lancer gold Acephate 50  Imidacloprid 18 SP  2g per lit of water
how to control weed in ground nut,to control weed in ground nut apply imezithiper 10sl 25mlpump
groundnut rust,groundnut rust RECOMMENDED TO SPRAY CHLOROTHALANILIL  400 GRAMS PER ACRE
ASKING ABOUT WEATHER REPORT IN NORTH DINAJPUR DISTRICT,thunderstorm in spots this evening followed by a couple of thunderstorms around late
TELL ME PEST CONTROL  IN MUSTRAD,Lady Bird Beetle Coccenella Spectamactcta  5000 beetle  ha was found to be effective with the highest yield
attack pest,Spray Confidor super  Confidor 10ml15 Lit of Water
Weed management in groundnut,Kisan bhai aap Imazethapyr 10 SL  1 ml  4 litre pani ka ghol banakr chirkaav kare
Asking about Groundnut leaf webber management,:       :    1                          5     15
TELL ME  DISAESE CONTROL IN GROUNDNUT,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
Weather information,There is a possibility of light rain in your area this week till august 14
Fertilizer management in ground nut,Recommended to apply Urea-4kg Potash-25kg
FARMER ASKED ABOUT GROUNDNUT  FERTILIZER DOSES,-   -    -           -
tell me pest controal of groundnut,spary of dimithoat 30ec  2ml liter water
Asked about plant protection in Ground nut,Suggested to spray copper oxychloride 3g per lit of water and streptocycline05g per lit  of water
TIKKA  DISEASE IN GROUNDNUT,MANCOJEB 2 GRAM  LITTER WATER SPRAY
Asking about yellowing in groundnut leaves,:       :         2  200
FARMER ASKED ABOUT VARIEIES OF GROUNDNUT,-   -    -  -  - -  -
groundnut stem rot damage management,recommended to spray mancozeb m-45 2 gramliter water
weedicide for groundnut,spray persuit 2 mlliter water
Asked about Water management in ground nut,Recommended to spray confider 05mlliter
Asking about root rot in groundnut,Recommended for soil apply Trichoderma viride 1kg  FYM 20kg  ac
Groundnut leaf miner management,recommended for spray Daimethoate  2 ml  lit of water
TELL ME BLACK ROOT CONTROL IN GROUND NUT,USE CARBENDAZIM 250 GM BHEEGA IN ROOT ZONE WITH IRRIGATION
Variety of ground nut,Ak-1224TMV-2devi
Farmer needs information regarding how to control sucking pest in groundnut crop,Profenofos 40  Cypermethrin 4 EC  40 ml
Asked about jassids  caterpillar management in groundnut,:        :   2   1
variety of groundnut,variety of groundnut   weatern
PRE EMERGENCE WEED MANAGEMENT IN GROUND NUT,PRE EMERGENCE WEED MANAGEMENT IN GROUND NUT : NOT RECOMMENDED TO SPRAY ANY WEEDICIDE
GROUNDNUT POD ROT,RECOMMENDED FOR 30 gr COPPOR OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER
Farmer asked query on Weather,1       6
ASKED ABOUT ATTACK OF SUCKING PEST  ON GNUT,:-
Farmer asked seed treatment of fungus problem in Ground Nut,DS
Farmer asked Termite problem in  groundnut crop,SGCG
swoing time of,may-jun
ask for wilt in groundnut  information,suggest: drenchig with  bavistin 15 gmump
Farmer need information regarding control measures of tikka disease attack in Groundnut crop,50    400
leaf spot,Dithane M-45 powder
tell me insect control in groundnut,USE QUINOLPHOS 25 EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB
Asking about Root Termite management in Groundnut field,:     :                 50
ASKING FERTILIZER FOR GROUNDNUT,1 BAG DAP AND 50 KILO GYPSUM PER ECRE
asked about groundnut tcp,recommended THIODECARB  300 ML PER ACRE
Asked about plant protection in sucking pests,Recommended to spray Imidacloprid 178 SL- 05 ml per lit water for sucking pests
asking about groundnut leaf minor,recommended for spray Dimethoiate  - 2 ml lit of water
asking about pest control organic in groundnut,Recommended for spray Azadirachtin 3ml  lit
SOWING TIME OF GROUNDNUT,1 MAY TO 15 JUN SOWING TIME OF GROUNDNUT
CATERPILLAR IN GROUND NUT,RECOMMENDED TO SPRAY CHLORPYRPHOSKORBAN DURSBAN LETHAL  RADAR 500 ML PER ACRE
Farmer asked query on Weather,--      5
ASKED ABOUT TO NUTRIENT MANAGEMENT IN  GROUNDNUT,4 ML
ground nut pod borer,spray quenolphos 2mlliter
tell me about coiiar rot,DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION
Farmer asked query on Weather,WEATHER REPORT : CLOUDY WEATHER
Asking about leaf caterpillar pre-management in Groundnut,:    : :      3
leaf eating caterpiller in groundnut management,--    90    150
Farmer asked query on Weather,34    15     9
TELL ME TIKHA DISEASES CONTROL IN GROUNDNUT,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER
ATTACK OF aphid,Spray Actara 5 gm 15 liter of waterThiamethoxam-Syngenta
Asking about top dressing for groundnut,recommended for apply Gypsum 150kgborax 4kgac
Asking about top fertilizer management for groundnut25 th day,:     : :  6    12    25
Asked about Groundnut seeder availability,:     :
attack of tikka on groundnut,tikka on groundnut - Tilt 4 ml  Microla 30 ml  15 lit of water
cuting pest of groundnut,8-10 kg  acre
Asking about seed treatment of groundnut with carbendazim days,:    : :    2
Ask about fungus problem in Root in groundnut crop,WP 20-25
TELL ME DISEASE CONTROL OF GROUNDNUT,USE HEXACONAZOLE 5 EC 1 LITER PER HA WITH IRRIGATION
Asked about plant protection in  Groundnut,Suggested to call again after confirming the sprayed chemical
fertilizer management in ground nut,GROUNDNUTBASAL DOSE: 2 BAGS SSP 18KG UREA 33KG MOP
FARMER ASKED ABOUT WHITE GRUB ATTACK ON GROUNDNUT CROP,- 4
dawa lagane ke kitane samay baad pahi nahi barse,kisan ji 12 se 16 ghante tak barish nahi honi chahiye
TELL ME ROOT ROT IN GROUNDNUT,DRENCHING CARBENDAZIM 250 GM PAR BIGHA WITH IRRIGATION
GROUND NUT LEAF SPOT,RECOMMENDED TO SPRAY CHLOROTHALANILKAVACH DACONIL BRAVO  400 GRAMS PER ACRE
ASKED ABOUT SEEDS OF GROUNDNUT,SOMNATHJL-24
Farmer want to know information about how to control caterpillar in groundnut crop,5 SG 7-8
TELL ME ROOT ROT CONTROL IN GROUNDUT,USE CARBENDAZIM 250 GM PER BIGHA FOR ROOT ROT
FARMER ASKED QUERY ON WEED MANAGEMENT IN GROUNDNUT,RECOMMENDED   MANUAL WEEDING IN GROUNDNUT
groundnut wilting,groundnut wilting recommended to spray imidachloprid 1ml3liter
cater pillar in groundnut,recommended to spray chloropyriphos  5oomlacre
plant protection,melathion
GROUNDNUT STEM ROT MANAGEMENT,2
Farmer asked query on Weather,KHAJUWALA
Farmer asked fungus control information of Groundnut Crop,wp
control of weeds in groundnut,no weediside use in groundnut after zermination
Farmer Asked sucking pests control information of Groundnut crop,WG   WS 8
ASKING ABOUT NUTRIENT MANAGEMENT IN GROUNDNUT,RECOMMENDED FOR SPRAY GRADE 2    2-3 GMML  LIT OF WATER  BOZNMO
TELL ME WHITE GRUB CONTROL IN GROUNDNUT,USE CARTAP  HYDROCHLORIDE 3 KG BHIGA WITH IRRIGATION
Farmer want to know how to control sucking pest of groundnut crop,5    30
Collar rot in Groundnut,Spray RedomilMetalaxylMancozeb-2gm per litre of wateror Benomeal-1gm per litre of water
TELL ME CONTROL OF ROOT ROT IN GROUNDNUT,TRICODERMA 25 KILOHA  100 KILO FYM IN MIXTURE
TELL ME PLANT PROTECTION OF GROUNDNUT,SPRAY OF CARBENDAZIM 12  MANCOZEB 63 WP 2 GM PER LITER WATER
moong phalli  ka paudha such raha hai,copper oxi cloraid 50 wp 25  gram liter  pani ke dar se spray
Farmer asked fungus in root control information of Groundnut crop,WP       200
Information about Nutrient Management in Groundnut crop,2           l
weather information,TO POSSIBILITY OF CLOUDY AND NO RAINFALL CONDITION IN THIS WEEK
root rot management in ground nut,1       or  3
TELL ME ABOUT INSECT CONTROL  GROUNDNUT,--   1   3
Asked about Groundnut Seed germination and Test information,:        :    5  10    10
FERTILIZER DOSE FOR GROUNDNUT,- -     20-25
moongphali me urea kitani dalni hai,25-30 kigra  acre
root rot in groundnut,Recommended for soil drenching copper oxy chloride 25 g  lit of water
seed rate ground nut,50 kg ac
vaerity of groundnut,tag24 pragatidaftari phule unap
asking about groundnut foliar application,Recommended for groundnut foliar spray TNAU Groundnut rich 2kg  ac  200 liter of water
Asking about Groundnut seeds availability,: DAP       :  DAP         2  200
powdery mildew in ground nut,recomended to spray wettable sulphur 400 gramsacre
nutrient management in ground nut,kisan bhai aap moongfali me 25 kg urea prati acre pryog kare
SEED TREATMENT IN GROUNDNUT,SEED TREATMENT IN GROUNDNUT-TREAT THE SEEDS WITH THIRAM 3GM PER KG OF SEEDS BEFORE 7DAYS OF SOWING
Asked about Iron deficiency management in Groundnut,:       :   5
Attack of leaves,Spinoside 30 ml  15 lit of water
leaf folder,chloripyriphas 25 mll
TELL ME SEED TREATMENT OF GROUNDNUT FOR CONTROL OF WHITE GURB,USE CLOTHIANIDAYIN 50 WDG 2 GRAM PER KG SEED
groundnut seed rate,50 kg of kernelsac
Farmer asked seed treatment of fungus problem in Soybean crop,DS
ASKING ABOUT PREVENTIVE PLANT PROTECTION FOR GROUNDNUT,SPRAY   AZOXYSTROBIN 23 SC  1 ML   LIT OF WATER
herbicide,herbicide-parsuit
Asking about thrips in groundnut,Recommended for spray Azadirachtin 3ml  lit
TELL ME CONTROL TIKKA DISEASE IN GROUNDNUT,SPRAY OF MENCOJEB 2GM PAR LITAR WATER
rotting in groundnut,spray redomil m z 2 gm in 1  litre of water for rotting in groundnut
Asked about seed rate for groundnut,:      : :   50   500gmcent
ask about white grub,I suggested to give chloropyriphos 4 lit ha with irrigation for  white grub
asking about control of caterpillar in groundnut,SPRAY EMAMECTIN BENZOATE 5  SG  05 GM  1 LIT OF WATER
Farmer asked about growth problem in groundnut,SC 7-8
ground nut growthing,recomended for multi k 1kgacre
asking about leaf eating caterpillar in groundnut,Recommended for spray indoxacarb 1 ml  litre of water
Ask about Variety and sowing time of Ground nut,-37  -39
farmer want to know about seedrate of groundnut,100          80
varieties of groundnut,advised to sow Kadir-456 Narayani vemana thirupathi-4 varieties
Farmer asked query on Weather,:   -      : :             35  C    24  C     9
mongfali ke beeej ka upchar karna hai,traicodarma 4gm1gm carbaksin 1kg Beej upchar Karen
CROWN ROT IN GROUNDNUT,SPRAY COPPER OXYCHLORIDE  3GM1LIT WATER FOR CROWN ROT IN GROUNDNUT
Information about use of expiry date Coragen in Groundnut crop,Coragen
moongphali ki fasal ki jad me sadan ho rahi hai,carbendazim 12   mancozeb 63   2 gram  liter pani ke sath spray kare
rust in groundnut,recommended for the spray of kavach chlorothalonil at the rate of 2 gram in 1 litre of water
patti safed pad ga rahi hai,maicronutreants ka prog kare
FERTILIZER FOR groundut,UREA 1 BAG  SINGLE SUPER PHOSPHATE 75 KG  MICRO NUTRIENTS 10 KGACRE
Farmer asked fungus control information of GROUNDNUT CROP,WG -
nutirnt management in ground nut,recomended to spray multik1kgacre200liters of water
TELL ME WHITE GRAB GROUNDNUT,USE IMIDACHLOPRID 178 SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE
ASKED ABOUT ROOT ROT  DISEASE CONTROL IN  GROUNDNUT,50  250
ASKING ABOUT CONTROL OF CATERPILLAR IN GROUND NUT,EMAMECTIN BENZOATE 5  SG
tell me black root control in groundnut,DRENCHING OF CARBENDAZIM 250 GMBIGHA IN ROOT ZONE WITH IRRIGATION
TELL ME GROUND NUT IN SOWING  TIME,JUNE- MONTH GROUND NUT IN SOWING  TIME
FARMER ASKED ABOUT VARIETIES OF SESAME,- -
Asking about groundnut top fertilizer management in organic method,:     :     300
TELL ME ABOUT CONTROL OF FUNGAL INFECTION IN GROUNDNUT,2
ground nut ki veraity,ground nut ki veraity-avatar tiji 37 a di ah 86
mung phalli me demak lag rhi hai,apply- chlorpyriphos 50-3-4 liha prayog kre
aphids,tafgor 15mililiter
Asked about groundnut leaf spot management,:      :  2     1
TELL ME ROOT ROT CONTROL  IN GROUNDNUT,1
asking about planting ground nut,-  -  -    --     ------ -- -
TELL ME FERTLIZAR  INFORMATION,APPLID IN GROUNDNUT   FERTLIZAR  SSP 250 KG PER HE
blight in gnut,ridomil mz 2 gramlitar
Asked about caterpillar and leaf spot management in groundnut,:         :  2   2  1
Basal fertilizer management for groundnut,apply DAP  50 KG AC
Ask about 20:20:00:13 fertilizer application in groundnut crop,:::        150     15
Red headed hairy caterpillar,Recommended to spray  Malathion 5 D  8 kgacre during morning hours OR emamectin benzoate 05 ML PER LITER OF WATER
fertiliser dose in gr nut,fertiliser dose in gr nut - 1 bag DAP  acer
tikka leaf spot in ground nut,RECOMMENDED TO SPRAY MERGER  400 GRAMS PER ACRE
seeds availability,contact to agriculture department
Farmer asked query on Weather,Weather forecast in Balangir District at saintala  Block- There is possibility of  medium   rainfall in next 4 days  cloudy  weather may remain
leaf burn in groundnut,recommend for ridomil 2 gm ltr water in groundnut
Farmer asked about control of   Wilt Mar on Groundnut crop,Copper Oxichloride
ask about weed management in ground nut,suggested imazethapir 10 SL 1 kghactar0 - 3 days
Farmer asked fungus control information of groundnut,Ws
TELL ME INSECT CONTROL  PEANUT,30  2
ABOUT THE GROUNDNUT IRON DEFFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY FERROUS SULPHATE 5GRAMS1GRAM NEEM SALT PER LITER WATER
ASKING ABOUT SPRAYING AT FLOWERING STAGE ON GROUNDNUT,-  : :
Spray Dimethoate 30 EC  17 mllit water,Spray Dimethoate 30 EC  17 mllit water
TELL ME ABOUT WHITE GRUB CONTROL IN GROUNDNUT,178   1
Farmer wants to know information about Top shoot borer in groundnut,carbofuran 3 g at 33 kg  hec in sugarcane
Farmer asked query on Weather,1      24     6
Asked about plant protection,suggested to spray carbendazim 2 ml per litre of water
CONTROL OF STEM ROT IN GROUNDNUT,SPRAY  CARBENDAZIM 50 WP  1 GM   LIT OF WATER
ROOT ROT IN GROUNDNUT,BAVISTIN 250 GRAM   BIGA
FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN GROUNDNUT,PLEASE DO RETURN CALL
